,https://roic.ai/company/PCYG,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,225031,214001,- -,5230000,6510000,1500000,3869420,5350182,6029823,3631812,7085125,2592166,3344973,5964767,10874560,10752132,10098547,11318574,11928416,13648715,14010693,18939263,22036278,21169608,20038054,21007076
2,COGS,- -,- -,- -,- -,1020000,1010000,490000,839700,1101871,1030689,1448726,1586535,- -,2419227,3580567,4428481,4028222,4581765,4490438,5087973,5256251,4279724,5318042,6587486,5830084,6997424,6884647
3,Gross Profit,- -,- -,- -,- -,4210000,5500000,1010000,3029720,4248311,4999134,2183086,5498590,- -,925746,2384200,6446079,6723910,5516782,6828136,6840443,8392464,9730969,13621221,15448792,15339524,13040630,14122429
4,Gross Profit Ratio,- -,- -,- -,- -,0.8050,0.8449,0.6733,0.7830,0.7940,0.8291,0.6011,0.7761,- -,0.2768,0.3997,0.5928,0.6254,0.5463,0.6033,0.5735,0.6149,0.6945,0.7192,0.7011,0.7246,0.6508,0.6723
5,Research and Development Exp.,- -,- -,- -,- -,880000,1040000,290000,725562,1151907,1304151,1019411,292191,1717793,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,2160000,1740000,850000,3523693,3641372,3035944,3393258,2893886,3510828,3917126,2225960,3190255,3053818,2949108,2474169,3812265,4279641,3165077,4136996,4894746,4742205,4948443,5214936
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1347705,1602231,2742061,2640292,3054361,4741574,5941349,5371005,5097072,6403343,6006597,5775309,4995578
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,2160000,1740000,850000,3523693,3641372,3035944,3393258,2893886,3510828,3917126,3573665,4792486,5795879,5589400,5528530,8553839,10220990,8536082,9234068,11298089,10748802,10723752,10210514
9,Other Expenses,- -,- -,- -,- -,300000,140000,140000,- -,2242079,- -,- -,- -,368636,505539,726067,811900,786790,900094,901407,879329,768165,507446,486024,633854,601433,838866,1019515
10,Operating Expenses,- -,- -,- -,- -,3340000,2920000,1280000,4249255,7035358,4340095,4412669,3186077,5597257,4422665,4299732,5604386,6582669,6489494,6429937,9433168,10989155,9043528,9720092,11931943,11350235,11562618,11230029
11,COGS and Expenses,- -,470747,142504,- -,4360000,3930000,1770000,5088955,8137229,5370784,5861395,4772612,5597257,6841892,7880299,10032867,10610891,11071259,10920375,14521141,16245406,13323252,15038134,18519429,17180319,18560042,18114676
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247059,224908,237269
13,Interest Expense (Gain),- -,- -,- -,- -,-180000,-190000,-350000,- -,- -,- -,- -,- -,- -,- -,505146,- -,346704,- -,- -,- -,- -,- -,- -,2671,42684,67732,106680
