,https://roic.ai/company/ELDN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,120000,120000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,120000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,7370000,12201000,14577000,32638000,25024000,2022000,6817000,8128000,9489000,9489000
6,General and Administrative Exp.,2279000,3548000,8885000,12623000,13099000,11099000,7243000,6056000,8317000,8317000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2279000,3548000,8885000,12623000,13099000,11099000,7243000,6056000,8317000,8317000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,9649000,15749000,23462000,45261000,38123000,13121000,14060000,14184000,17806000,17806000
11,COGS and Expenses,9649000,15749000,23462000,45261000,38123000,13121000,14060000,14184000,17806000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,9000,10000,21000,109000,171000,22000,11000,182000,5000,- -
15,EBITDA,-9640000,-15739000,-23607000,-45152000,-37952000,-13099000,-14049000,-12135000,-24713000,-24718000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-205.9417,-205.9833
17,Operating Income,-9649000,-15749000,-23462000,-45261000,-38123000,-13121000,-14060000,-16051000,-18465000,-36867000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-153.8750,-307.2250
19,Total Other Income Expenses (Gains),- -,24000,166000,174000,164000,5000,-5000,40000,-6253000,12149000
20,Income Before Tax,-9649000,-15725000,-23296000,-45087000,-37959000,-13116000,-14065000,-16011000,-24718000,-24718000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-205.9833,-205.9833
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,404000
23,Net Income,-9649000,-15725000,-23296000,-45087000,-37959000,-13116000,-14065000,-16011000,-24718000,-25122000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-205.9833,-209.3500
25,EPS,-102.14,-208.98,-583.20,-325.62,-272.16,-41.40,-28.08,-24.48,-15.72,-34.85
26,EPS Diluted,-102.14,-208.98,-583.20,-325.62,-272.16,-41.40,-28.08,-24.48,-15.72,-34.85
27,Weighted Average Shares Outstanding,94804,75495,39934,138793,139720,259869,500301,655531,1451432,720834
28,Weighted Average Shares Outstanding Diluted,94804,75495,39934,138793,139720,259869,500301,655531,1451432,720834
