,https://roic.ai/company/NDVN,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,10375,31040,4203921,5872767,5927173
2,COGS,- -,4985,14702,1141407,3794196,4107556
3,Gross Profit,- -,5390,16338,3062514,2078571,1819617
4,Gross Profit Ratio,- -,0.5195,0.5264,0.7285,0.3539,0.3070
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,34521,60034,- -,- -,3217188
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,34521,60034,5361362,- -,3217188
9,Other Expenses,- -,- -,- -,- -,3008496,- -
10,Operating Expenses,- -,34521,60034,5361362,3008496,3217188
11,COGS and Expenses,- -,39506,74736,6502769,6802692,7324744
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,94773,81057,109810
14,Depreciation and Amortization,- -,- -,- -,568055,511142,432
15,EBITDA,- -,-29131,-43696,-1730793,-388026,-1388684
16,EBITDA ratio,- -,-2.8078,-1.4077,-0.4117,-0.0661,-0.2343
17,Operating Income,- -,-29131,-43696,-2298848,-899168,-1397571
18,Operating Income ratio,- -,-2.8078,-1.4077,-0.5468,-0.1531,-0.2358
19,Total Other Income Expenses (Gains),- -,- -,- -,-94773,-81057,-101355
20,Income Before Tax,- -,-29131,-43696,-2393621,-980225,-1498926
21,Income Before Tax Ratio,- -,-2.8078,-1.4077,-0.5694,-0.1669,-0.2529
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,- -,-29131,-43696,-2393621,-980225,-1498926
24,Net Income ratio,- -,-2.8078,-1.4077,-0.5694,-0.1669,-0.2529
25,EPS,-0.00,-0.00,-0.00,-0.06,-0.02,-0.04
26,EPS Diluted,-0.00,-0.00,-0.00,-0.06,-0.02,-0.04
27,Weighted Average Shares Outstanding,5000000,11851805,14306333,38365165,41014810,41437625
28,Weighted Average Shares Outstanding Diluted,5000000,11851805,14306333,38365165,41014810,41437625
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1659183/000164033417002689/0001640334-17-002689-index.html,- -,https://www.sec.gov/Archives/edgar/data/1659183/000147793220001509/0001477932-20-001509-index.htm,https://www.sec.gov/Archives/edgar/data/1659183/000147793221001792/0001477932-21-001792-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,5000,25494,1318,154941,1757695,1806606
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5000,25494,1318,154941,1757695,1806606
34,Net Receivables,- -,825,1050,478174,548825,531244
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3563,- -,- -,72974,107428,121339
37,Total Current Assets,8563,26319,2368,706089,2413948,2459189
38,PP&E,- -,- -,- -,497833,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,657871,455320
41,Intangible Assets,- -,- -,- -,860422,657871,455320
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,752979,- -
45,Total Non-Current Assets,- -,- -,- -,1358255,1410850,455320
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,8563,26319,2368,2064344,3824798,2914509
48,Accounts Payable,- -,9887,5632,131850,137582,153427
49,Short-Term Debt,- -,- -,- -,688413,57492,105615
50,Tax Payable,- -,- -,- -,184821,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1977825,870184
52,Other Current Liabilities,- -,- -,10000,538783,733065,1031716
53,Total Current Liabilities,- -,9887,15632,1359046,2905964,2160942
54,Long-Term Debt,- -,- -,- -,114233,14666,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
