,https://roic.ai/company/AMEH,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1057354,2441452,3896584,5110806,7776131,10484305,32989742,44048740,356216273,514681653,555409307,682226000,767374000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,1046103,1813944,3314722,4132399,6316164,9076213,22067421,34000786,274656697,361132111,467804899,539211000,596142000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,11251,627508,581862,978407,1459967,1408092,10922321,10047954,81559576,153549542,87604408,143015000,171232000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.0106,0.2570,0.1493,0.1914,0.1877,0.1343,0.3311,0.2281,0.2290,0.2983,0.1577,0.2096,0.2231
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,7804,10089,13339,27484,36651,- -,827287,694319,566649,1379153,3517536,5286610,11282221,16962687,26437602,43353787,41482375,49116000,62077000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,7804,10089,13339,27484,36651,- -,827287,694319,566649,1379153,3517536,5286610,11282221,16962687,26437602,43353787,41482375,49116000,62077000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,19779,35704,11198,12589,20918,31361,334434,351396,17544216,17964727,11708045,13396000,10976000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,36651,- -,847066,730023,577847,1391742,3538454,5317971,11616655,17314083,43981818,61318514,53190420,62512000,73053000
11,COGS and Expenses,- -,- -,7804,10089,13339,27484,36651,- -,1893169,2543967,3892569,5524141,9854618,14394184,33684076,51314869,318638515,422450625,520995319,601723000,669195000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1015204,1258638,2023873,2813000,1571000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,8950,93066,163931,131534,930176,679184,1326407,542296,79689,560515,4733256,9499000,5394000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,19780,35703,11198,12589,20918,31361,334434,351396,19075353,19303179,18753270,18350000,17517000
15,EBITDA,-4959,- -,-7804,-10089,-13339,-27484,-36651,- -,-862285,-66511,20398,-570404,-7948670,-3828816,22032,-8521389,48843669,53058336,45769703,121822000,125223000
16,EBITDA ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-0.8155,-0.0272,0.0052,-0.1116,-1.0222,-0.3652,0.0007,-0.1935,0.1371,0.1031,0.0824,0.1786,0.1632
17,Operating Income,-4959,- -,-7804,-10089,-13339,-27484,-36651,- -,-835815,-102515,4015,-413335,-2078487,-3909879,-694334,-7266129,35145967,88432162,32419988,80503000,98179000
18,Operating Income ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-0.7905,-0.0420,0.0010,-0.0809,-0.2673,-0.3729,-0.0210,-0.1650,0.0987,0.1718,0.0584,0.1180,0.1279
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,-55200,-92765,-158746,-301192,-6821277,-629482,-489831,-978297,14565146,-5805031,-6580039,97924000,-20431000
20,Income Before Tax,-4959,- -,- -,- -,- -,- -,- -,- -,-891015,-195280,-154731,-714527,-8899764,-4539361,-1184165,-8244426,49711113,82627131,25839949,178427000,77748000
21,Income Before Tax Ratio,-Infinity,- -,- -,- -,- -,- -,- -,- -,-0.8427,-0.0800,-0.0397,-0.1398,-1.1445,-0.4330,-0.0359,-0.1872,0.1396,0.1605,0.0465,0.2615,0.1013
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,800,800,1600,5819,4800,19513,163792,-71037,3886785,22359640,8166632,56107000,28454000
23,Net Income,-4959,- -,-7804,-10089,-13339,-27484,-36651,- -,-891815,-196080,-156331,-720346,-8904564,-4558874,-1802601,-9344044,25801842,10835002,14116545,37866000,73858000
24,Net Income ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-0.8434,-0.0803,-0.0401,-0.1409,-1.1451,-0.4348,-0.0546,-0.2121,0.0724,0.0211,0.0254,0.0555,0.0962
25,EPS,-0.00,- -,-0.45,-0.58,-0.76,-1.57,-0.10,- -,-0.40,-0.10,-0.06,-0.20,-2.56,-0.97,-0.37,-1.59,0.80,0.33,0.41,1.04,2.03
26,EPS Diluted,-0.00,- -,-0.45,-0.58,-0.76,-1.57,-0.10,- -,-0.40,-0.10,-0.06,-0.20,-2.56,-0.97,-0.37,-1.59,0.80,0.29,0.39,1.01,1.97
27,Weighted Average Shares Outstanding,55549099,- -,17507,17507,17507,17507,299699,- -,2400798,2649105,2749047,2907892,3484344,4695246,4863389,5876852,32304876,32893940,34708429,36409615,36409615
28,Weighted Average Shares Outstanding Diluted,55549099,- -,17507,17507,17507,17507,299699,- -,2400798,2649105,2749047,2907892,3484344,4695246,4863389,5876852,32304876,37914886,36403279,37491089,37491089
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1083446/000107878202000063/0001078782-02-000063-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1083446/000116462104000024/0001164621-04-000024-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1083446/000101629508000056/0001016295-08-000056-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1083446/000114420409028013/0001144204-09-028013-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000114420410027620/0001144204-10-027620-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000114420411029382/0001144204-11-029382-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000114420412029578/0001144204-12-029578-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000114420413025748/0001144204-13-025748-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000114420414028378/0001144204-14-028378-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1083446/000114420416110594/0001144204-16-110594-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1083446/000114420419014671/0001144204-19-014671-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000162828020003626/0001628280-20-003626-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000162828021004679/0001628280-21-004679-index.htm,https://www.sec.gov/Archives/edgar/data/1083446/000162828022004291/0001628280-22-004291-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,347,- -,352,124,9,12,- -,- -,84161,665737,397101,164361,1176727,6831478,5014242,9270010,99749199,106891503,103189328,193470000,233097000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1143095,1127102,116538673,67695000,53417000
33,Cash and Short-Term Investments,347,- -,352,124,9,12,- -,- -,84161,665737,397101,164361,1176727,6831478,5014242,9270010,100892294,108018605,219728001,261165000,286514000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,257715,483850,733744,999622,1588153,1532502,4046269,3994659,20117304,56455956,98950324,60665000,93631000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,25025,30164,66638,85241,107242,62200,792568,293828,23149964,8388231,10390093,16747000,18637000
