,https://roic.ai/company/FLNG,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,27329000,77209000,119967000,164464000,343448000
2,COGS,- -,- -,- -,- -,-2262000,1155000,870000,815000,743000,37574000,43573000,22423000,82542000,134404000
3,Gross Profit,- -,- -,- -,- -,2262000,-1155000,-870000,-815000,-743000,-10245000,33636000,97544000,81922000,209044000
4,Gross Profit Ratio,- -,- -,- -,- -,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.3749,0.4356,0.8131,0.4981,0.6087
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,10214000,13433000,-12544000,3048000,1506000,1410000,725000,2369000,4639000,7506000,6302000,7887000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,10214000,13433000,-12544000,3048000,1506000,1410000,725000,2369000,4639000,7506000,6302000,7887000
9,Other Expenses,- -,- -,- -,- -,301256000,-209968000,1000,3000,2000,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,- -,288712000,-206920000,1507000,1413000,727000,2369000,4639000,7506000,6302000,7887000
11,COGS and Expenses,14767000,10664000,108903000,125724000,286450000,-205765000,2377000,2228000,1470000,39943000,48212000,68348000,88844000,142291000
12,Interest Income ,- -,- -,- -,- -,88000,21000,3000,20000,9000,123000,607000,1073000,327000,41000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,35000,267000,314000,234000,17640000,33875000,41805000,56221000
14,Depreciation and Amortization,- -,250000,211000,146000,116000,32000,1000,3000,2000,2000,17412000,28747000,41846000,69833000
15,EBITDA,-14767000,-10414000,-108692000,-125578000,-274465000,206090000,-2373000,-2205000,-1459000,-10155000,46821000,79771000,91840000,288358000
