,https://roic.ai/company/REVG,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,1173051000,1721116000,1735081000,1925999000,2267783000,2381300000,2403700000,2277000000,2380800000
2,COGS,1055743000,1557877000,1553127000,1696068000,1973179000,2103300000,2151900000,2049000000,2089800000
3,Gross Profit,117308000,163239000,181954000,229931000,294604000,278000000,251800000,228000000,291000000
4,Gross Profit Ratio,0.1000,0.0948,0.1049,0.1194,0.1299,0.1167,0.1048,0.1001,0.1222
5,Research and Development Exp.,1863000,8275000,5106000,4815000,4219000,6500000,4800000,5000000,4400000
6,General and Administrative Exp.,- -,- -,- -,- -,188257000,182800000,199300000,204000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,188257000,182800000,199300000,204000000,189000000
9,Other Expenses,94777000,120610000,110895000,149194000,14924000,18100000,17200000,15000000,9800000
10,Operating Expenses,96640000,128885000,116001000,154009000,207400000,207400000,221300000,224000000,203200000
11,COGS and Expenses,1152383000,1686762000,1669128000,1850077000,2180579000,2310700000,2373200000,2295000000,2293000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),23222000,26195000,27272000,29158000,20747000,25600000,32500000,-25000000,17300000
14,Depreciation and Amortization,14377000,18901000,19084000,24593000,37812000,46000000,45700000,40200000,32000000
15,EBITDA,51142000,49879000,81168000,96994000,108580000,73800000,62400000,-30800000,105000000
16,EBITDA ratio,0.0436,0.0290,0.0468,0.0504,0.0479,0.0310,0.0260,-0.0135,0.0441
17,Operating Income,9490000,30978000,62084000,72401000,82688000,27800000,15900000,-17900000,83800000
18,Operating Income ratio,0.0081,0.0180,0.0358,0.0376,0.0365,0.0117,0.0066,-0.0079,0.0352
19,Total Other Income Expenses (Gains),4053000,-26195000,-27272000,-29158000,-32667000,-25600000,-32500000,-28100000,-28100000
20,Income Before Tax,13543000,4783000,34812000,43243000,50021000,2200000,-16600000,-46000000,55700000
21,Income Before Tax Ratio,0.0115,0.0028,0.0201,0.0225,0.0221,0.0009,-0.0069,-0.0202,0.0234
22,Income Tax expense (Gain),-11483000,3295000,11935000,13050000,18650000,-10800000,-3500000,- -,11300000
23,Net Income,25026000,1488000,22877000,30193000,31371000,13000000,-12300000,-46000000,44400000
24,Net Income ratio,0.0213,0.0009,0.0132,0.0157,0.0138,0.0055,-0.0051,-0.0202,0.0186
25,EPS,0.39,0.02,0.36,0.68,0.52,0.20,-0.20,-0.48,0.70
26,EPS Diluted,0.39,0.02,0.36,0.67,0.50,0.20,-0.20,-0.48,0.69
