,https://roic.ai/company/WH,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,1301000000,1269000000,1347000000,1868000000,2053000000,1300000000,1565000000
2,COGS,690000000,647000000,670000000,1072000000,1186000000,- -,770000000
3,Gross Profit,611000000,622000000,677000000,796000000,867000000,1300000000,795000000
4,Gross Profit Ratio,0.4696,0.4901,0.5026,0.4261,0.4223,1.0000,0.5080
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,90000000,83000000,88000000,196000000,152000000,118000000,113000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,370000000,- -
8,"Selling, General and Administrative Exp.",90000000,83000000,88000000,196000000,152000000,488000000,113000000
9,Other Expenses,258000000,241000000,280000000,281000000,273000000,-2000000,227000000
10,Operating Expenses,348000000,324000000,368000000,477000000,425000000,486000000,340000000
11,COGS and Expenses,1038000000,971000000,1038000000,1549000000,1611000000,486000000,1110000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,1000000
13,Interest Expense (Gain),1000000,1000000,6000000,60000000,100000000,-112000000,94000000
14,Depreciation and Amortization,67000000,73000000,75000000,99000000,109000000,98000000,95000000
15,EBITDA,317000000,368000000,336000000,382000000,416000000,-172000000,524000000
16,EBITDA ratio,0.2437,0.2900,0.2494,0.2045,0.2026,-0.1323,0.3348
17,Operating Income,250000000,295000000,261000000,283000000,307000000,-46000000,446000000
18,Operating Income ratio,0.1922,0.2325,0.1938,0.1515,0.1495,-0.0354,0.2850
19,Total Other Income Expenses (Gains),-1000000,-1000000,-6000000,-60000000,-100000000,-112000000,-111000000
20,Income Before Tax,249000000,294000000,255000000,223000000,207000000,-158000000,335000000
21,Income Before Tax Ratio,0.1914,0.2317,0.1893,0.1194,0.1008,-0.1215,0.2141
22,Income Tax expense (Gain),100000000,118000000,12000000,61000000,50000000,-26000000,91000000
23,Net Income,149000000,176000000,243000000,162000000,157000000,-132000000,244000000
24,Net Income ratio,0.1145,0.1387,0.1804,0.0867,0.0765,-0.1015,0.1559
25,EPS,1.49,1.76,2.63,1.62,1.63,-1.42,2.61
26,EPS Diluted,1.49,1.76,2.63,1.62,1.62,-1.42,2.61
27,Weighted Average Shares Outstanding,99900000,99900000,99900000,99500000,96500000,93400000,93400000
28,Weighted Average Shares Outstanding Diluted,99900000,99900000,99900000,99800000,96600000,93400000,93400000
