,https://roic.ai/company/EVIO,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , 
1,Revenue,125199,560961,3021030,3365525,3789815
2,COGS,- -,501888,2456523,3837288,4725855
3,Gross Profit,125199,59073,564507,-471763,-936040
4,Gross Profit Ratio,1.0000,0.1053,0.1869,-0.1402,-0.2470
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -
9,Other Expenses,1422536,851621,2635348,7704661,6389664
10,Operating Expenses,1422536,851621,2635348,7704661,6389664
11,COGS and Expenses,1422536,1353509,5091872,11541949,11115519
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),38438,324282,1011150,- -,- -
14,Depreciation and Amortization,17010,89454,284993,724865,1465724
15,EBITDA,-1400787,-2138354,-2293906,-11211478,-17075303
16,EBITDA ratio,-11.1885,-3.8119,-0.7593,-3.3313,-4.5056
17,Operating Income,-1297337,-792548,-2070842,-8176424,-7325704
18,Operating Income ratio,-10.3622,-1.4128,-0.6855,-2.4295,-1.9330
19,Total Other Income Expenses (Gains),-158898,-1732654,-1489352,-3457667,-13335635
20,Income Before Tax,-1456235,-2525202,-3560194,-11634091,-20661339
21,Income Before Tax Ratio,-11.6314,-4.5016,-1.1785,-3.4568,-5.4518
22,Income Tax expense (Gain),- -,- -,- -,- -,7694
23,Net Income,-1456235,-2552090,-3590049,-11936343,-18548721
24,Net Income ratio,-11.6314,-4.5495,-1.1884,-3.5467,-4.8944
25,EPS,-0.44,-0.49,-0.37,-0.72,-0.69
26,EPS Diluted,-0.44,-0.49,-0.37,-0.72,-0.69
27,Weighted Average Shares Outstanding,3316697,5148798,9628206,16548473,26887932
28,Weighted Average Shares Outstanding Diluted,3316697,5148798,9628206,16548473,26887932
