,https://roic.ai/company/SHCR,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,- -,412815000
2,COGS,- -,235819000
3,Gross Profit,- -,176996000
4,Gross Profit Ratio,- -,0.4288
5,Research and Development Exp.,- -,- -
6,General and Administrative Exp.,306904,136594000
7,Selling and Marketing Exp.,- -,51407000
8,"Selling, General and Administrative Exp.",306904,188001000
9,Other Expenses,- -,310257000
10,Operating Expenses,306904,498258000
11,COGS and Expenses,306904,498258000
12,Interest Income ,- -,96000
13,Interest Expense (Gain),- -,27662000
14,Depreciation and Amortization,- -,32601000
15,EBITDA,- -,-26887000
16,EBITDA ratio,- -,-0.0651
17,Operating Income,-306904,-85443000
18,Operating Income ratio,-Infinity,-0.2070
19,Total Other Income Expenses (Gains),82119,-1707000
20,Income Before Tax,-224785,-87150000
21,Income Before Tax Ratio,-Infinity,-0.2111
22,Income Tax expense (Gain),- -,-2150000
23,Net Income,-224785,-85000000
24,Net Income ratio,-Infinity,-0.2059
25,EPS,-0.00,-0.25
26,EPS Diluted,-0.00,-0.25
27,Weighted Average Shares Outstanding,339033984,339033984
28,Weighted Average Shares Outstanding Diluted,339033984,339033984
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1816233/000121390021018695/0001213900-21-018695-index.htm,https://www.sec.gov/Archives/edgar/data/1816233/000181623322000006/0001816233-22-000006-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,1121103,271105000
32,Short-Term Investments,345082119,- -
33,Cash and Short-Term Investments,346203222,271105000
34,Net Receivables,- -,108583000
35,Inventory,- -,- -
36,Other Current Assets,-344715619,11278000
37,Total Current Assets,1487603,390966000
38,PP&E,- -,4534000
39,Goodwill,- -,192442000
40,Intangible Assets,- -,155086000
41,Intangible Assets,- -,347528000
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,345082119,12173000
45,Total Non-Current Assets,345082119,364235000
46,Other Assets,- -,- -
47,Total Assets,346569722,755201000
48,Accounts Payable,- -,27155000
49,Short-Term Debt,- -,- -
50,Tax Payable,- -,- -
51,Deferred Revenue,- -,11655000
52,Other Current Liabilities,292647,56250000
53,Total Current Liabilities,292647,95060000
54,Long-Term Debt,- -,419000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,12075000,36681000
58,Total Non-Current Liabilities,12075000,37100000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,12367647,132160000
62,Preferred Stock,- -,- -
63,Common Stock,158,35000
64,Retained Earnings,- -,-477113000
65,Other Comprehensive Income/Loss,- -,-2061000
66,Other Total Stockholders Equity,4999847,1042164000
67,Total Stockholders Equity,5000005,563025000
68,Total Liabilities And Stockholders Equity,17367652,695185000
69,Minority Interest,329202070,60016000
70,Total Liabilities & Equity,346569722,755201000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1816233/000121390021018695/0001213900-21-018695-index.htm,https://www.sec.gov/Archives/edgar/data/1816233/000181623322000006/0001816233-22-000006-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,- -,-85129000
74,Depreciation and Amortization,- -,32601000
75,Deferred Income Tax,- -,-2196000
76,Stock Based Compensation,- -,46780000
77,Change in Working Capital,- -,- -
78,Accounts Receivable,- -,-31469000
79,Inventory,- -,- -
80,Accounts Payable,- -,- -
81,Other Working Capital,- -,295906000
82,Other Non-Cash Items,- -,-46159000
83,Cash Provided by Operating Activities,- -,-54103000
84,CAPEX,- -,-40829000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,- -,-109964000
89,Cash Used for Investing Activites,- -,-112387000
90,Debt Repayment,- -,-66350000
91,Common Stock Issued,- -,50000000
92,Common Stock Repurchased,- -,-19581000
93,Dividends Paid,- -,- -
94,Other Financing Activites,- -,451151000
95,Cash Used/Provided by Financing Activities,- -,415220000
96,Effect of Forex Changes on Cash,- -,-228000
97,Net Change In Cash,- -,248502000
98,Cash at the End of Period,- -,271105000
99,Cash at the Beginning of Period,- -,- -
100,Free Cash Flow,- -,-94932000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1816233/000181623322000006/0001816233-22-000006-index.htm
102,false,,
