,https://roic.ai/company/MG,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,152268000,209133000,272128000,338589000,436875000,529282000,623447000,711252000,684762000,700970000,742354000,748586000,592571000,677131000
2,COGS,- -,97437000,139867000,188990000,235186000,307185000,380911000,450504000,526519000,- -,513258000,534480000,531289000,414040000,479984000
3,Gross Profit,- -,54831000,69266000,83138000,103403000,129690000,148371000,172943000,184733000,194134000,187712000,207874000,217297000,178531000,197147000
4,Gross Profit Ratio,- -,0.3601,0.3312,0.3055,0.3054,0.2969,0.2803,0.2774,0.2597,0.2835,0.2678,0.2800,0.2903,0.3013,0.2912
5,Research and Development Exp.,- -,954000,1255000,2402000,2150000,2059000,2447000,2995000,2521000,2670000,2272000,3310000,3045000,2892000,2518000
6,General and Administrative Exp.,- -,- -,2100000,297000,- -,83098000,101792000,123690000,143978000,155234000,153025000,172238000,169469000,156937000,161334000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,2100000,297000,- -,83098000,101792000,123690000,143978000,155234000,153025000,172238000,169469000,156937000,161334000
9,Other Expenses,- -,37519000,51086000,58928000,71642000,6455000,8781000,10620000,13048000,10689000,10363000,11957000,19771000,13520000,11950000
10,Operating Expenses,- -,38473000,54441000,61627000,73792000,91612000,113020000,137305000,159547000,168593000,165660000,187505000,192285000,173349000,175802000
11,COGS and Expenses,- -,135910000,194308000,250617000,308978000,398797000,493931000,587809000,686066000,659221000,678918000,721985000,723574000,587389000,655786000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,3531000,4614000,3531000,2773000,3803000,3288000,3192000,4622000,3075000,4386000,7950000,13698000,12955000,10882000
14,Depreciation and Amortization,- -,11423000,12636000,15183000,18761000,22171000,26647000,28429000,33286000,32388000,31383000,34413000,38533000,35705000,34921000
15,EBITDA,- -,27773000,27274000,35670000,48467000,59618000,54208000,66667000,63729000,57929000,35536000,56625000,62650000,-65507000,53058000
16,EBITDA ratio,- -,0.1824,0.1304,0.1311,0.1431,0.1365,0.1024,0.1069,0.0896,0.0846,0.0507,0.0763,0.0837,-0.1105,0.0784
17,Operating Income,- -,16358000,14825000,20897000,29611000,36769000,27554000,38295000,30353000,25546000,4160000,22221000,24137000,-101217000,18170000
