,https://roic.ai/company/ARCO,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,2665476000,3018118000,3657649000,3797394000,4033310000,3651065000,3052740000,2928630000,3319525000,3081571000,2959077000,1984219000,2659941000
2,COGS,2210271000,2499298000,3005921000,3242874000,3471973000,3212667000,2695213000,2570361000,2870503000,2667644000,2591536000,1868784000,2335882000
3,Gross Profit,455205000,518820000,651728000,554520000,561337000,438398000,357527000,358269000,449022000,413927000,367541000,115435000,324059000
4,Gross Profit Ratio,0.1708,0.1719,0.1782,0.1460,0.1392,0.1201,0.1171,0.1223,0.1353,0.1343,0.1242,0.0582,0.1218
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,314619000,317745000,272065000,270680000,221075000,244664000,229324000,212515000,171382000,210909000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,314619000,317745000,272065000,270680000,221075000,244664000,229324000,212515000,171382000,210909000
9,Other Expenses,248396000,314263000,400975000,3261000,15070000,95476000,-6560000,-41386000,-68577000,61145000,-4910000,10807000,-26369000
10,Operating Expenses,248396000,314263000,400975000,317880000,332815000,367541000,264120000,179689000,176087000,290469000,207605000,182189000,184540000
11,COGS and Expenses,2458667000,2813561000,3406896000,3560754000,3804788000,3580208000,2959333000,2750050000,3046590000,2958113000,2799141000,2050973000,2520422000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,60749000,54247000,88156000,72750000,64407000,66880000,68357000,52868000,52079000,59068000,49546000
14,Depreciation and Amortization,56296000,63218000,71818000,92328000,114860000,116811000,110715000,92969000,99382000,105800000,123218000,126853000,120394000
15,EBITDA,155027000,172689000,292699000,307282000,299592000,112707000,146305000,298300000,350219000,243651000,294030000,54002000,247359000
16,EBITDA ratio,0.0582,0.0572,0.0800,0.0809,0.0743,0.0309,0.0479,0.1019,0.1055,0.0791,0.0994,0.0272,0.0930
17,Operating Income,206809000,204557000,250753000,236640000,228522000,70857000,93407000,178580000,272935000,123458000,159936000,-66754000,139519000
18,Operating Income ratio,0.0776,0.0678,0.0686,0.0623,0.0567,0.0194,0.0306,0.0610,0.0822,0.0401,0.0540,-0.0336,0.0525
19,Total Other Income Expenses (Gains),-107746000,-94815000,-90350000,-75677000,-131928000,-147406000,-121960000,-39951000,-90122000,-38289000,-40983000,-65100000,-61733000
20,Income Before Tax,99063000,109742000,160403000,160963000,96594000,-76549000,-28553000,138629000,182813000,85169000,118953000,-131854000,77786000
21,Income Before Tax Ratio,0.0372,0.0364,0.0439,0.0424,0.0239,-0.0210,-0.0094,0.0473,0.0551,0.0276,0.0402,-0.0665,0.0292
22,Income Tax expense (Gain),18709000,3450000,44603000,46375000,42722000,32479000,22816000,59641000,53314000,48136000,38837000,17532000,31933000
23,Net Income,80022000,106021000,115529000,114332000,53854000,-109333000,-51633000,78810000,129166000,36847000,79896000,-149451000,45486000
24,Net Income ratio,0.0300,0.0351,0.0316,0.0301,0.0134,-0.0299,-0.0169,0.0269,0.0389,0.0120,0.0270,-0.0753,0.0171
25,EPS,0.38,0.50,0.53,0.54,0.25,-0.51,-0.24,0.36,0.59,0.18,0.38,-0.72,0.22
26,EPS Diluted,0.38,0.50,0.53,0.54,0.25,-0.51,-0.24,0.36,0.59,0.18,0.38,-0.72,0.22
27,Weighted Average Shares Outstanding,212124560,212124560,221410995,215356314,215587329,215947970,216288353,216504936,216801695,214952817,209677220,208352110,208352110
28,Weighted Average Shares Outstanding Diluted,213122246,213122246,221540688,215611875,215587329,215947970,216452928,216504936,217891919,214952817,210360071,208644189,208644189
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1508478/000162828021008225/0001628280-21-008225-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,167975000,208099000,176301000,184851000,175648000,139030000,112519000,194803000,308491000,197282000,121880000,165989000,278830000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,19588000,- -,25000,- -,- -
33,Cash and Short-Term Investments,167975000,208099000,176301000,184851000,175648000,139030000,112519000,194803000,328079000,197282000,121905000,165989000,278830000
34,Net Receivables,118666000,186882000,160467000,236766000,247273000,148150000,98977000,112080000,147612000,109637000,128036000,94249000,104211000
35,Inventory,50545000,66431000,50729000,54824000,105421000,53403000,44641000,48915000,82735000,46089000,37815000,- -,37800000
36,Other Current Assets,56825000,90943000,201117000,125057000,138109000,106613000,122859000,89392000,94611000,111554000,117612000,155293000,119275000
37,Total Current Assets,394011000,552355000,588614000,601498000,666451000,447196000,378996000,445190000,653037000,464562000,405368000,415531000,540116000
38,PP&E,785862000,911730000,1023180000,1176350000,1244311000,1116281000,833357000,861245000,901053000,865967000,1890921000,1587501000,1513049000
39,Goodwill,15530000,17541000,17754000,18179000,16904000,14895000,12250000,7119000,7078000,5939000,6783000,- -,5210000
40,Intangible Assets,21871000,29723000,40665000,49092000,53471000,42969000,37236000,35925000,40651000,35082000,36261000,- -,33598000
41,Intangible Assets,37401000,47264000,58419000,67271000,70375000,57864000,49486000,43044000,47729000,41021000,43044000,37046000,38808000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13105000
43,Tax Assets,145782000,190764000,142848000,133708000,97687000,75319000,63321000,70446000,74299000,58334000,68368000,55567000,67802000
44,Other Non-Current Assets,119892000,82153000,62345000,70336000,101435000,98120000,81817000,85128000,127625000,148155000,149984000,198309000,188377000
45,Total Non-Current Assets,1088937000,1231911000,1286792000,1447665000,1513808000,1347584000,1027981000,1059863000,1150706000,1113477000,2152317000,1878423000,1821141000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1482948000,1784266000,1875406000,2049163000,2180259000,1794780000,1406977000,1505053000,1803743000,1578039000,2557685000,2293954000,2361257000
48,Accounts Payable,124560000,186700000,184113000,244365000,311060000,220337000,187685000,217914000,303452000,242455000,259577000,209535000,269215000
49,Short-Term Debt,11046000,17947000,3811000,2202000,12276000,38684000,164099000,28099000,4359000,4192000,86676000,59957000,83861000
50,Tax Payable,79493000,124677000,138989000,125713000,137492000,120763000,97587000,112593000,136918000,114849000,123805000,91284000,137362000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,34341000,- -,- -,- -,- -,- -
52,Other Current Liabilities,261204000,400501000,401368000,331707000,335820000,283045000,225889000,267954000,297772000,246665000,249194000,233979000,264787000
53,Total Current Liabilities,396810000,605148000,589292000,578274000,659156000,542066000,577673000,548308000,605583000,493312000,595447000,503471000,617863000
54,Long-Term Debt,454461000,451423000,525951000,649968000,771171000,761080000,494743000,551580000,629142000,626424000,1485157000,787979000,1446336000
