,https://roic.ai/company/ALJJ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,100000,6400000,11200000,13300000,29039000,26892000,33076000,9203000,- -,69182475,139777206,150920904,185612715,110079361,112828496,162020525,158784471,- -,149604762,209946579,268369000,326718000,369776000,354997000,389149000,440853000
2,COGS,- -,- -,- -,- -,1546000,15043000,15277000,2312000,- -,62939014,120372082,129358556,158547710,97601925,96952237,137455886,136580958,- -,115919903,165274786,204486000,250704000,285872000,277454000,313997000,355245000
3,Gross Profit,- -,- -,- -,- -,27493000,11849000,17799000,6891000,- -,6243461,19405124,21562348,27065005,12477436,15876259,24564639,22203513,- -,33684859,44671793,63883000,76014000,83904000,77543000,75152000,85608000
4,Gross Profit Ratio,- -,- -,- -,- -,0.9468,0.4406,0.5381,0.7488,- -,0.0902,0.1388,0.1429,0.1458,0.1133,0.1407,0.1516,0.1398,- -,0.2252,0.2128,0.2380,0.2327,0.2269,0.2184,0.1931,0.1942
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1700000,11100000,16100000,18500000,41434000,29912000,34922000,- -,- -,2816125,5973657,6960258,11070430,5245875,5653532,7281690,7410205,641493,21038277,28557455,50171000,63311000,76656000,72375000,75813000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,735381,1532624,1771691,1787400,1684370,1695618,2071418,2116274,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1700000,11100000,16100000,18500000,41434000,29912000,34922000,10332000,1070000,3551506,7506281,8731949,12857830,6930245,7349150,9353108,9526479,641493,21038277,28557455,50171000,63311000,76656000,72375000,75813000,76688000
9,Other Expenses,300000,1300000,1800000,2200000,34908000,13868000,865000,2289000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6651586,- -,- -,- -,- -,- -,355054000
10,Operating Expenses,2000000,12400000,17900000,20700000,76342000,43780000,35787000,12621000,- -,3551506,7506281,8731949,12857830,6930245,7349150,9353108,9526479,- -,21038277,35209041,50171000,63311000,76656000,72375000,75813000,431742000
11,COGS and Expenses,2000000,12400000,17900000,20700000,77888000,58823000,51064000,14933000,1090000,66490520,127878363,138090505,171405540,104532170,104301387,146808994,146107437,641493,136958180,200483827,254657000,314015000,362528000,349829000,389810000,786987000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,575,9593,27656,17124,14201,53656,28680,- -,- -,- -,- -,- -,- -,- -,200000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9784421,8099817,6348365,5443927,4902120,4263855,3326046,- -,1269806,2187861,9129000,9744000,10558000,10611000,10528000,-10190000
14,Depreciation and Amortization,300000,1300000,1800000,2200000,34908000,6321000,3668000,775000,22000,638196,730165,722397,705408,768823,400522,550559,360666,- -,4499805,7169827,13260000,16611000,19048000,20553000,20341000,21567000
15,EBITDA,-1600000,-4700000,-5200000,-6800000,-14480000,-231207000,-16660000,-2323000,-1068000,-2792366,13286631,16135951,14357815,6617694,11627223,14536715,13933829,-641493,16876105,15793705,27099000,29604000,26573000,25191000,-38847000,6305000
16,EBITDA ratio,-16.0000,-0.7344,-0.4643,-0.5113,-0.4986,-8.5976,-0.5037,-0.2524,-Infinity,-0.0404,0.0951,0.1069,0.0774,0.0601,0.1031,0.0897,0.0878,-Infinity,0.1128,0.0752,0.1010,0.0906,0.0719,0.0710,-0.0998,0.0143
17,Operating Income,-1900000,-6000000,-6700000,-7400000,-48849000,-31931000,-17988000,-5730000,-1090000,2691955,11898843,12830399,14207175,5547191,8527109,15211531,12677034,-641493,12646582,9014494,13839000,12695000,7525000,4638000,-59388000,9111000
18,Operating Income ratio,-19.0000,-0.9375,-0.5982,-0.5564,-1.6822,-1.1874,-0.5438,-0.6226,-Infinity,0.0389,0.0851,0.0850,0.0765,0.0504,0.0756,0.0939,0.0798,-Infinity,0.0845,0.0429,0.0516,0.0389,0.0204,0.0131,-0.1526,0.0207
19,Total Other Income Expenses (Gains),100000,- -,-300000,-1600000,-539000,-1038000,-2630000,1781000,8000,-6553448,-9126798,-4110969,-5593370,-5076374,-919366,-3777892,-909570,87203129,-1258122,-2177902,-9129000,-9446000,-10558000,-10611000,-10328000,-12262000
