,https://roic.ai/company/RGEN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3600000,3700000,10200000,8500000,12700000,7600000,11700000,27300000,26800000,16900000,10900000,3800000,2400000,2600000,3450596,2346698,4301565,7771781,6914341,9360309,12911404,14074239,19296281,29361521,20971069,27291024,62266536,68169623,63548349,83537000,104541000,141236000,194032000,270245000,366260000,670534000
2,COGS,2600000,4400000,7200000,7600000,10500000,-600000,-200000,-500000,1500000,-1100000,100000,300000,300000,400000,782233,1122997,1992734,3480441,3248377,3887802,3550861,3614837,6160245,6776874,5506170,7117425,27170247,25163299,28022034,35251000,47117000,67050000,86531000,119099000,156634000,279280000
3,Gross Profit,1000000,-700000,3000000,900000,2200000,8200000,11900000,27800000,25300000,18000000,10800000,3500000,2100000,2200000,2668363,1223701,2308831,4291340,3665964,5472507,9360543,10459402,13136036,22584647,15464899,20173599,35096289,43006324,35526315,48286000,57424000,74186000,107501000,151146000,209626000,391254000
4,Gross Profit Ratio,0.2778,-0.1892,0.2941,0.1059,0.1732,1.0789,1.0171,1.0183,0.9440,1.0651,0.9908,0.9211,0.8750,0.8462,0.7733,0.5215,0.5367,0.5522,0.5302,0.5847,0.7250,0.7432,0.6808,0.7692,0.7374,0.7392,0.5636,0.6309,0.5590,0.5780,0.5493,0.5253,0.5540,0.5593,0.5723,0.5835
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000,12300000,1400000,1400000,1800000,3753908,5786392,5360720,5226524,6483925,5036766,5163098,5924439,7240812,12771573,14159721,12528819,10489811,7340698,5608693,5740000,7355000,8672000,15821000,19450000,20182000,34274000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4597085,5417339,6360292,10173400,5933090,7071859,8018851,- -,12701195,17154555,24699000,30853000,51509000,65692000,95613000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3000000,3600000,3600000,3700000,3900000,15600000,23600000,37400000,42100000,4700000,4900000,2400000,1300000,1600000,2480398,2493014,2525827,4159220,4709703,4597085,5417339,6360292,10173400,5933090,7071859,8018851,13226732,12701195,17154555,24699000,30853000,51509000,65692000,95613000,119621000,183866000
9,Other Expenses,500000,600000,500000,600000,800000,900000,1100000,1700000,2400000,2600000,1400000,200000,200000,300000,324409,276852,- -,- -,2413244,- -,- -,- -,-40170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3500000,4200000,4100000,4300000,4700000,16500000,24700000,39100000,44500000,38300000,18600000,4000000,2900000,3700000,6558715,8556258,7886547,9385744,13606872,9633851,10580437,12284731,-22755788,18704663,21231580,20547670,23716543,20041893,22763248,30439000,38208000,60181000,81513000,115063000,139803000,218140000
11,COGS and Expenses,6100000,8600000,11300000,11900000,15200000,15900000,24500000,38600000,46000000,37200000,18700000,4300000,3200000,4100000,7340948,9679255,9879281,12866185,16855249,13521653,14131298,15899568,-16595543,25481537,26737750,27665095,50886790,45205192,50785282,65690000,85325000,127231000,168044000,234162000,296437000,497420000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49849,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2963,1972,26167,56714,49849,49957,32000,3768000,6441000,6709000,9292000,12133000,12714000
14,Depreciation and Amortization,500000,600000,500000,600000,800000,900000,1100000,1700000,2400000,2600000,1400000,200000,200000,300000,324409,276852,257537,802228,886705,756258,398434,539032,824626,1077347,1378999,1674528,3508592,3113892,4019387,4594000,5334000,10507000,15778000,20868000,27067000,38447000
15,EBITDA,-900000,-20100000,800000,-2700000,-1600000,-4800000,-11700000,-9600000,-17100000,-29400000,-10100000,-300000,-600000,-2200000,-3491974,-5002015,-4203080,-3734844,-8664155,-2227316,1095294,-350231,38758611,6853037,-3517639,1657186,14836712,26177562,15207927,18049000,20794000,24196000,43923000,56311000,98417000,204704000
16,EBITDA ratio,-0.2500,-5.4324,0.0784,-0.3176,-0.1260,-0.6316,-1.0000,-0.3516,-0.6381,-1.7396,-0.9266,-0.0789,-0.2500,-0.8462,-1.0120,-2.1315,-0.9771,-0.4806,-1.2531,-0.2380,0.0848,-0.0249,2.0086,0.2334,-0.1677,0.0607,0.2383,0.3840,0.2393,0.2161,0.1989,0.1713,0.2264,0.2084,0.2687,0.3053
17,Operating Income,-2500000,-4900000,-1100000,-3400000,-2500000,-8300000,-12800000,-11300000,-19200000,-20300000,-7800000,-500000,-800000,-1500000,-3890352,-7332557,-5577716,-5094404,-9940908,-4161344,-1219894,-1825329,35891824,3879984,-5766681,-374071,11083113,22873240,10691073,13764000,15974000,14005000,25988000,36083000,69823000,167249000
18,Operating Income ratio,-0.6944,-1.3243,-0.1078,-0.4000,-0.1969,-1.0921,-1.0940,-0.4139,-0.7164,-1.2012,-0.7156,-0.1316,-0.3333,-0.5769,-1.1274,-3.1246,-1.2967,-0.6555,-1.4377,-0.4446,-0.0945,-0.1297,1.8600,0.1321,-0.2750,-0.0137,0.1780,0.3355,0.1682,0.1648,0.1528,0.0992,0.1339,0.1335,0.1906,0.2494
19,Total Other Income Expenses (Gains),1100000,-15800000,1600000,- -,100000,2700000,- -,- -,- -,-11300000,-3600000,100000,- -,-1000000,73969,2053690,1117099,557332,-2023196,1177770,1169608,947547,2042161,1892743,868071,330562,188293,140581,447510,-341000,-4282000,-6757000,-4552000,-9932000,-10606000,-13706000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37933985,5772727,-4898610,-43509,11271406,23013821,11138583,13423000,11692000,7248000,21436000,26151000,59217000,153543000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.9659,0.1966,-0.2336,-0.0016,0.1810,0.3376,0.1753,0.1607,0.1118,0.0513,0.1105,0.0968,0.1617,0.2290
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,827471,26699,-834766,- -,-2884631,6920666,2968369,4078000,11000,-21105000,4819000,4740000,-709000,25252000
23,Net Income,-1400000,-20700000,300000,-3300000,-2400000,-5700000,-12800000,-11300000,-19500000,-32000000,-11500000,-500000,-800000,-2500000,-3816383,-5278867,-4460617,-4537072,-9550860,-2983574,696860,-889263,37106514,5746028,-4063844,-43509,14156037,16093155,8170214,9345000,11681000,28353000,16617000,21411000,59926000,128291000
24,Net Income ratio,-0.3889,-5.5946,0.0294,-0.3882,-0.1890,-0.7500,-1.0940,-0.4139,-0.7276,-1.8935,-1.0550,-0.1316,-0.3333,-0.9615,-1.1060,-2.2495,-1.0370,-0.5838,-1.3813,-0.3187,0.0540,-0.0632,1.9230,0.1957,-0.1938,-0.0016,0.2273,0.2361,0.1286,0.1119,0.1117,0.2007,0.0856,0.0792,0.1636,0.1913
25,EPS,-0.32,-3.59,0.03,-0.46,-0.31,-0.63,-1.14,-0.93,-1.53,-2.08,-0.75,-0.03,-0.05,-0.14,-0.18,-0.20,-0.17,-0.17,-0.32,-0.10,0.02,-0.03,1.20,0.19,-0.13,-0.00,0.46,0.51,0.25,0.28,0.35,0.74,0.38,0.44,1.14,2.33
26,EPS Diluted,-0.32,-3.59,0.03,-0.46,-0.31,-0.63,-1.14,-0.93,-1.53,-2.08,-0.75,-0.03,-0.05,-0.14,-0.18,-0.20,-0.17,-0.17,-0.32,-0.10,0.02,-0.03,1.18,0.18,-0.13,-0.00,0.45,0.50,0.25,0.28,0.34,0.72,0.37,0.44,1.11,2.24
27,Weighted Average Shares Outstanding,2997000,5766017,7298000,7173913,7741935,9047619,11228070,12150538,12745098,15356136,15370252,15677998,16501785,18017650,21537584,26547238,26639525,26812981,29686373,30061812,30125041,30379350,30834491,30957957,30752041,30781881,30914424,31667015,32497657,32881940,33572883,38233527,43767402,48342584,52553799,55015000
28,Weighted Average Shares Outstanding Diluted,2997000,5766017,7298000,7173913,7741935,9047619,11228070,12150538,12745098,15356136,15526316,15677998,16501785,18017650,21537584,26547238,26639525,26812981,29686373,30061812,30690941,30379350,31320997,31290233,30752041,30781881,31253434,32406641,33263667,33577091,34098898,39150374,45471169,49206242,53892261,57264000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730272/000119312505124977/0001193125-05-124977-index.htm,https://www.sec.gov/Archives/edgar/data/730272/000119312506127642/0001193125-06-127642-index.htm,https://www.sec.gov/Archives/edgar/data/730272/000119312507132409/0001193125-07-132409-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312508133668/0001193125-08-133668-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312509129275/0001193125-09-129275-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312510136879/0001193125-10-136879-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312511161972/0001193125-11-161972-index.html,- -,https://www.sec.gov/Archives/edgar/data/730272/000119312514099241/0001193125-14-099241-index.htm,https://www.sec.gov/Archives/edgar/data/730272/000119312515095569/d854858d10k.htm,https://www.sec.gov/Archives/edgar/data/730272/000119312516478518/0001193125-16-478518-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312517054220/0001193125-17-054220-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312518054262/0001193125-18-054262-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312519060645/0001193125-19-060645-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312520050136/0001193125-20-050136-index.html,https://www.sec.gov/Archives/edgar/data/730272/000119312521054675/0001193125-21-054675-index.htm,https://www.sec.gov/Archives/edgar/data/730272/000095017022001430/0000950170-22-001430-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6300000,18000000,8400000,8600000,17400000,22600000,31400000,30600000,27700000,13800000,6900000,3500000,4700000,3300000,25226546,16163625,8696194,6108004,3958677,3216681,5428477,7726505,32562138,5041410,12526040,14203544,29209821,39829653,35363024,54092000,122233000,173759000,193822000,528392000,717292000,603814000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8806367,7773427,12143170,9417224,9996070,13993284,13447600,14900840,17221653,43817915,40608710,35421520,10845195,21793550,23090209,17682000,19547000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6300000,18000000,8400000,8600000,17400000,22600000,31400000,30600000,27700000,13800000,6900000,3500000,4700000,3300000,34032913,23937052,20839364,15525228,13954747,17209965,18876077,22627345,49783791,48859325,53134750,49625064,40055016,61623203,58453233,71774000,141780000,173759000,193822000,528392000,717292000,603814000
34,Net Receivables,400000,700000,900000,2000000,1900000,2400000,1500000,1300000,2600000,1700000,400000,500000,200000,400000,847838,812481,865861,907501,972249,764232,593725,1311177,1548479,2577579,2866038,3772209,13429636,12026954,8100074,11445000,16062000,27738000,35753000,43672000,71389000,117420000
35,Inventory,100000,300000,100000,100000,200000,400000,400000,1900000,1300000,1200000,700000,500000,700000,600000,547448,634723,916091,889924,879381,633314,1465592,1514571,2804247,2413227,2201140,1953976,11143695,11798638,12383633,17998000,24696000,39004000,42263000,54832000,95025000,184494000
36,Other Current Assets,300000,200000,200000,300000,300000,400000,4100000,7200000,13800000,8100000,600000,200000,200000,200000,241654,270252,622309,522569,328229,263534,575038,277932,284669,933585,1479107,492767,1581104,901804,2008702,2035000,1615000,2281000,3901000,14932000,18676000,25949000
37,Total Current Assets,7100000,19200000,9600000,11000000,19800000,25800000,37400000,41000000,45400000,24800000,8600000,4700000,5800000,4500000,35669853,25654508,23243625,17845222,16134606,18871045,21510432,25731025,54421186,54783716,59681035,55844016,66209451,86350599,80945642,103252000,184153000,242782000,275739000,641828000,902382000,931677000
38,PP&E,1600000,2100000,2200000,2200000,3300000,3500000,3800000,11300000,11800000,5000000,500000,800000,700000,600000,536252,444121,1456938,2248413,2179611,1905408,2357361,3144858,3413258,3669787,3133023,2156315,9952461,12509223,14526240,13801000,14956000,22417000,32180000,74162000,92046000,226523000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,994000,994000,994000,994000,14184835,14346000,59548000,327333000,326735000,468413000,618305000,860362000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400208,1221458,7182012,6187632,14636307,12755000,29806000,144753000,135438000,212552000,287100000,337274000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2394208,2215458,8176012,7181632,28821142,27101000,89354000,472086000,462173000,680965000,905405000,1197636000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15101239,6011697,11878201,9914855,12218602,3550210,1633000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2557384,184848,- -,- -,- -,- -,4355000,2920000,2481000,1903000
44,Other Non-Current Assets,1600000,1700000,15700000,11500000,8300000,7800000,13000000,11200000,2400000,1500000,100000,100000,- -,100000,81382,6049360,4410852,6699621,11300653,6830679,4731548,200000,11005263,200000,200000,200000,200000,200000,450000,450000,450000,6234000,174000,238000,573000,615000
45,Total Non-Current Assets,3200000,3800000,17900000,13700000,11600000,11300000,16800000,22500000,14200000,6500000,600000,900000,700000,700000,617634,6493481,5867790,8948034,13480264,8736087,7088909,3344858,14418521,18971026,11738928,16449974,30800712,32294305,47347592,42985000,104760000,500737000,498882000,758285000,1000505000,1426677000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10300000,23000000,27500000,24700000,31400000,37100000,54200000,63500000,59600000,31300000,9200000,5600000,6500000,5200000,36287487,32147989,29111415,26793256,29614870,27607132,28599341,29075883,68839707,73754742,71419963,72293990,97010163,118644904,128293234,146237000,288913000,743519000,774621000,1400113000,1902887000,2358354000
48,Accounts Payable,- -,- -,- -,- -,- -,800000,500000,4100000,2000000,1200000,500000,200000,100000,300000,425565,529914,1407955,968551,714291,1016958,1066445,1161504,2721909,1922572,991005,930601,2454238,1721459,3863350,6724000,5061000,7282000,10489000,11425000,16880000,36203000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103488000,- -,248991000,263561000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98162,- -,- -,- -,- -,- -,- -,- -,1423000,4984000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38599,127170,- -,- -,- -,- -,599120,3341,129904,258000,408000,960000,1290000,5005000,15318000,14848000
52,Other Current Liabilities,1000000,1600000,2400000,2700000,3500000,2500000,2800000,5900000,10900000,14600000,3900000,500000,300000,300000,771520,726910,1258804,1274837,1736576,2180625,1830750,2048569,1867901,2626341,3666135,3692523,7698870,9576371,6689159,11799000,15606000,16969000,14575000,31883000,37767000,60650000
53,Total Current Liabilities,1000000,1600000,2400000,2700000,3500000,3300000,3300000,10000000,12900000,15800000,4400000,700000,400000,600000,1197085,1256824,2666759,2243388,2450867,3197583,2935794,3337243,4589810,4548913,4657140,4623124,10752228,11301171,10682413,18781000,21075000,25211000,129842000,48313000,318956000,375262000
54,Long-Term Debt,100000,200000,100000,100000,- -,- -,- -,4600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119891,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95272000,99250000,- -,232767000,26425000,102492000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25167000,25086000,29944000,27032000,33480000
