,https://roic.ai/company/CXXIF,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,86452,35207,5501,8040,2333,26969,8965,28477,34285,109465,249196,139449,142803,132345,- -,- -,- -,- -,- -,- -,2585511,37705095,36127286
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,10966,- -,141711,72067,40368,44797,- -,- -,- -,- -,- -,- -,2402944,24382394,17475131
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,23320,- -,107485,67382,102435,87548,- -,- -,- -,- -,- -,- -,182567,13322701,18652155
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.6802,- -,0.4313,0.4832,0.7173,0.6615,- -,- -,- -,- -,- -,- -,0.0706,0.3533,0.5163
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270746,160251,362427,143400,171056,238641,73505,71439,52359,627056,8838751,10012646,7466177
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4415,5301,12926,3690,3605,- -,- -,- -,- -,- -,2306357,1120929,166479
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,275162,165552,375353,147090,174661,238641,73505,71439,52359,627056,11145108,11133575,7632656
9,Other Expenses,334091,222334,152593,126664,- -,- -,- -,- -,280781,- -,190496,- -,- -,- -,- -,- -,- -,- -,- -,- -,579757,3405116,2112264
10,Operating Expenses,334091,222334,152593,126664,- -,- -,- -,- -,280781,- -,465657,165552,375353,147090,- -,- -,- -,- -,- -,- -,11724865,14538691,9744920
