,https://roic.ai/company/SCND,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2060000,1840000,2170000,2360000,2140000,2180000,2180000,2520000,2550000,2673200,2517500,3077100,3414700,3171300,3005400,3435000,3457300,3257100,3532600,3593000,3465200,4880000,6669400,5989100,7070100,5869800,6202600,7134500,6793200,7848400,9597600,8149300,8481400,10199800,8570300,9775200
2,COGS,1320000,1270000,1420000,1600000,1500000,1530000,1430000,1570000,1520000,1716600,1574000,1865900,2098200,1958500,1895900,2008600,2048100,1914500,1864100,1844500,1766700,2924300,4266400,3795400,4330300,3461000,3845200,4175800,4178900,4726800,5680300,5270000,5259700,5832700,4716900,4799800
3,Gross Profit,740000,570000,750000,760000,640000,650000,750000,950000,1030000,956600,943500,1211200,1316500,1212800,1109500,1426400,1409200,1342600,1668500,1748500,1698500,1955700,2403000,2193700,2739800,2408800,2357400,2958700,2614300,3121600,3917300,2879300,3221700,4367100,3853400,4975400
4,Gross Profit Ratio,0.3592,0.3098,0.3456,0.3220,0.2991,0.2982,0.3440,0.3770,0.4039,0.3578,0.3748,0.3936,0.3855,0.3824,0.3692,0.4153,0.4076,0.4122,0.4723,0.4866,0.4902,0.4008,0.3603,0.3663,0.3875,0.4104,0.3801,0.4147,0.3848,0.3977,0.4082,0.3533,0.3799,0.4282,0.4496,0.5090
5,Research and Development Exp.,30000,20000,30000,20000,10000,10000,- -,- -,- -,- -,76100,206700,174700,195400,285900,251800,289600,292300,364800,350200,316500,302100,394600,452600,343800,324400,375900,450500,426700,392200,349000,437500,520900,530500,1140000,1623800
6,General and Administrative Exp.,650000,690000,720000,730000,700000,580000,600000,660000,690000,646000,691500,724000,834600,838400,846800,822100,1033300,1007700,996000,998700,957100,1273600,1527900,909400,1098200,1175100,1230600,1277700,1513400,1700900,1695200,1665400,1748800,1924400,2412300,4028500
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,51400,84900,131300,139200,- -,- -,159200,- -,- -,- -,- -,- -,- -,- -,435500,554100,638500,714200,723100,792900,1045300,1415400,888800,957500,1136100,1436400,4031900
8,"Selling, General and Administrative Exp.",650000,690000,720000,730000,700000,580000,600000,660000,690000,697400,776400,855300,973800,838400,846800,981300,1033300,1007700,996000,998700,957100,1273600,1527900,1344900,1652300,1813600,1944800,2000800,2306300,2746200,3110600,2554200,2706300,3060500,3848700,8060400
9,Other Expenses,-0,- -,-10000,- -,- -,0,-0,-0,- -,- -,- -,- -,- -,94500,92700,- -,- -,- -,- -,- -,-848700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,680000,710000,740000,750000,710000,590000,600000,660000,690000,697400,852500,1062000,1148500,1128300,1225400,1233100,1322900,1300000,1360800,1348900,424900,1575700,1922500,1797500,1996100,2138000,2320700,2451300,2733000,3138400,3459600,2991700,3227200,3591000,4988700,9684200
11,COGS and Expenses,2000000,1980000,2160000,2350000,2210000,2120000,2030000,2230000,2210000,2414000,2426500,2927900,3246700,3086800,3121300,3241700,3371000,3214500,3224900,3193400,2191600,4500000,6188900,5592900,6326400,5599000,6165900,6627100,6911900,7865200,9139900,8261700,8486900,9423700,9705600,14484000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26100,23400,21900,12800,6800,- -,4300,6000,10600,6100,3400,12600,82200
13,Interest Expense (Gain),70000,70000,30000,20000,20000,- -,20000,20000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4600,4800,3100,4200,33900,2900,1700,1500,- -,- -
14,Depreciation and Amortization,- -,- -,- -,30000,30000,10000,10000,10000,10000,30600,52100,69400,77800,94500,92700,71800,65300,65400,68000,66600,78100,150100,213500,205500,197600,188400,185900,178800,262800,434800,641600,403900,305100,257300,160900,251500
15,EBITDA,190000,- -,80000,90000,- -,70000,240000,390000,390000,329900,175700,248900,288000,-296100,-19600,295300,170800,117700,393700,489600,547100,585200,758000,609400,975200,495600,252400,704400,158900,431700,894400,260000,308200,1029000,-979000,-4366000
16,EBITDA ratio,0.0922,- -,0.0369,0.0381,- -,0.0321,0.1101,0.1548,0.1529,0.1234,0.0698,0.0809,0.0843,-0.0934,-0.0065,0.0860,0.0494,0.0361,0.1114,0.1363,0.1579,0.1199,0.1137,0.1018,0.1379,0.0844,0.0407,0.0987,0.0234,0.0550,0.0932,0.0319,0.0363,0.1009,-0.1142,-0.4466
17,Operating Income,50000,-140000,20000,10000,-70000,60000,150000,290000,330000,259200,91000,149200,168000,84500,-115900,193300,86300,42600,307700,399600,1273600,380000,480500,396200,743700,270800,36700,507400,-118700,-16800,245000,-160400,-5500,776100,-1136300,-4708800
18,Operating Income ratio,0.0243,-0.0761,0.0092,0.0042,-0.0327,0.0275,0.0688,0.1151,0.1294,0.0970,0.0361,0.0485,0.0492,0.0266,-0.0386,0.0563,0.0250,0.0131,0.0871,0.1112,0.3675,0.0779,0.0720,0.0662,0.1052,0.0461,0.0059,0.0711,-0.0175,-0.0021,0.0255,-0.0197,-0.0006,0.0761,-0.1326,-0.4817
19,Total Other Income Expenses (Gains),70000,70000,20000,20000,20000,- -,20000,20000,20000,40100,32600,30300,42200,-475100,-12600,30200,19200,9700,18000,23400,-804600,55100,64000,7700,33900,36400,25200,13400,11700,9500,-26100,13600,6900,-5900,-3600,653800
20,Income Before Tax,120000,-70000,40000,30000,-50000,60000,170000,310000,350000,299300,123600,179500,210200,-390600,- -,223500,105500,52300,325700,423000,469000,435100,544500,403900,777600,307200,61900,520800,-107000,-7300,218900,-146800,1400,770200,-1139900,-4055000
21,Income Before Tax Ratio,0.0583,-0.0380,0.0184,0.0127,-0.0234,0.0275,0.0780,0.1230,0.1373,0.1120,0.0491,0.0583,0.0616,-0.1232,- -,0.0651,0.0305,0.0161,0.0922,0.1177,0.1353,0.0892,0.0816,0.0674,0.1100,0.0523,0.0100,0.0730,-0.0158,-0.0009,0.0228,-0.0180,0.0002,0.0755,-0.1330,-0.4148
22,Income Tax expense (Gain),- -,- -,10000,10000,- -,10000,60000,90000,130000,93000,42100,43800,29700,-43000,- -,-101600,28300,-11500,77000,118500,147300,123100,153000,84400,237900,79600,-4200,124400,-31700,-16000,53300,-74200,161900,124600,-436600,-945000
23,Net Income,120000,-70000,40000,30000,-50000,50000,150000,270000,240000,206300,81500,135700,180500,-347600,-112300,325100,77200,63800,248700,304500,321700,312000,391500,319500,539700,227600,66100,396400,-75300,8700,165600,-72600,-160500,645600,-703300,-3672500
24,Net Income ratio,0.0583,-0.0380,0.0184,0.0127,-0.0234,0.0229,0.0688,0.1071,0.0941,0.0772,0.0324,0.0441,0.0529,-0.1096,-0.0374,0.0946,0.0223,0.0196,0.0704,0.0847,0.0928,0.0639,0.0587,0.0533,0.0763,0.0388,0.0107,0.0556,-0.0111,0.0011,0.0173,-0.0089,-0.0189,0.0633,-0.0821,-0.3757
25,EPS,0.16,-0.09,0.05,0.04,-0.06,0.06,0.19,0.29,0.25,0.22,0.09,0.14,0.22,-0.42,-0.13,0.38,0.08,0.07,0.26,0.31,0.32,0.29,0.34,0.27,0.45,0.19,0.05,0.30,-0.05,0.01,0.11,-0.05,-0.11,0.43,-0.46,-1.15
26,EPS Diluted,0.16,-0.09,0.05,0.04,-0.06,0.06,0.19,0.29,0.25,0.22,0.09,0.14,0.18,-0.42,-0.13,0.33,0.08,0.06,0.24,0.29,0.32,0.27,0.32,0.26,0.45,0.19,0.05,0.30,-0.05,0.01,0.11,-0.05,-0.11,0.43,-0.46,-1.15
27,Weighted Average Shares Outstanding,750000,800000,800000,800000,800000,800000,800000,920000,960000,937727,905556,969286,826586,835540,835540,851978,930704,955766,965230,978008,1068445,1075878,1159494,1184884,1196051,1196577,1283118,1337048,1385054,1478126,1489112,1491167,1494112,1494112,1515103,3189602
28,Weighted Average Shares Outstanding Diluted,750000,800000,800000,800000,800000,800000,800000,920000,960000,937727,905556,969286,978547,835540,835540,981461,1009879,994109,1018810,1051039,1068445,1140751,1206236,1209910,1211895,1213482,1293589,1342212,1385054,1479882,1489387,1491167,1494112,1512178,1515103,3189602
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/87802/000008780208000012/0000087802-08-000012-index.htm,https://www.sec.gov/Archives/edgar/data/87802/000008780209000012/0000087802-09-000012-index.html,https://www.sec.gov/Archives/edgar/data/87802/000008780210000017/0000087802-10-000017-index.html,https://www.sec.gov/Archives/edgar/data/87802/000008780211000020/0000087802-11-000020-index.html,https://www.sec.gov/Archives/edgar/data/87802/000008780212000010/0000087802-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/87802/000008780213000010/0000087802-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/87802/000008780214000008/0000087802-14-000008-index.html,https://www.sec.gov/Archives/edgar/data/87802/000008780215000008/0000087802-15-000008-index.html,https://www.sec.gov/Archives/edgar/data/87802/000008780216000019/0000087802-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/87802/000165495417008901/0001654954-17-008901-index.html,https://www.sec.gov/Archives/edgar/data/87802/000165495418010612/0001654954-18-010612-index.html,- -,https://www.sec.gov/Archives/edgar/data/87802/000165495420010982/0001654954-20-010982-index.htm,https://www.sec.gov/Archives/edgar/data/87802/000165495421011097/0001654954-21-011097-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,70000,30000,70000,230000,570000,320000,315600,169900,146600,165900,229100,394600,275400,296800,107600,241400,183900,227700,388700,1065500,738400,632700,907800,769300,927300,493700,482000,1245000,1025100,1053100,1602500,7559700,9675200
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,530000,- -,- -,- -,- -,522500,171600,412000,481900,695400,802500,1026700,1168200,718000,682400,605500,665600,693400,718300,908400,415400,281800,290100,295500,314700,330900,331800,3744600
33,Cash and Short-Term Investments,- -,- -,- -,70000,30000,70000,230000,570000,850000,315600,169900,146600,165900,751600,566200,687400,778700,803000,1043900,1210600,1395900,1106700,1747900,1343900,1298300,1601200,1487600,1835700,909100,763800,1535100,1320600,1367800,1933400,7891500,13419800
34,Net Receivables,- -,- -,- -,120000,240000,240000,220000,200000,250000,270800,184400,281500,269300,323000,319900,300400,276000,409600,388800,450600,313900,750800,454800,806700,1494500,620000,623500,815900,756700,1081700,1231900,1424400,1722300,1974200,1398800,1628000
35,Inventory,- -,- -,- -,530000,460000,380000,400000,420000,310000,272100,294600,330000,341000,366000,416900,576400,679100,582200,666200,800400,930300,1289600,1521400,1598000,1272600,1639800,1613700,1705600,2309200,2213700,2412100,1961200,2267900,2592300,2884700,2977100
36,Other Current Assets,- -,- -,- -,40000,20000,10000,10000,20000,60000,711900,884600,1015800,1116200,150300,26900,71700,63200,64600,120500,106800,129400,86800,116100,155000,161000,275400,238000,145600,209100,482800,187800,209300,33500,91200,112300,406200
37,Total Current Assets,- -,- -,- -,760000,750000,700000,860000,1210000,1470000,1570400,1533500,1773900,1892400,1590900,1329900,1635900,1797000,1859400,2219400,2568400,2769500,3233900,3840200,3903600,4226400,4136400,3962800,4502800,4184100,4542000,5366900,4915500,5391500,6591100,12287300,18431100
38,PP&E,- -,- -,- -,60000,30000,20000,40000,30000,70000,107500,115800,143200,150800,180500,182300,194600,182900,152500,140500,136100,122100,247300,247400,241200,193400,175100,180500,156500,252100,235200,251100,199300,199500,318800,1083000,1077900
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12300,- -,- -,- -,- -,- -,13400,158400,265400,405200,447900,589900,589900,705300,705300,705300,705300,705300,705300,705300,4395400
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63400,52900,55200,42500,18700,- -,6500,15500,12500,35400,40200,596800,454600,330900,214200,112300,877300,773500,1795900,1451900,897600,579000,338700,175000,128700,2557800
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63400,52900,55200,42500,18700,12300,6500,15500,12500,35400,40200,610200,613000,596300,619400,560200,1467200,1363400,2501200,2157200,1602900,1284300,1044000,880300,834000,6953200
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
