,https://roic.ai/company/ARWR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,76590,60378,36998,24878,9312,2266,- -,196306,590683,595458,1208022,1303201,3773147,620097,296139,146875,290266,175000,382000,158333,31407709,16142321,168795577,87992066,138287000
2,COGS,36972,33785,2852,2094,6297,87,- -,- -,- -,- -,724088,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,39618,26593,34146,22784,3015,2179,- -,- -,- -,- -,483934,- -,3773147,620097,296139,146875,- -,- -,- -,- -,- -,- -,- -,87992066,- -
4,Gross Profit Ratio,0.5173,0.4404,0.9229,0.9158,0.3238,0.9616,- -,- -,- -,- -,0.4006,- -,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,3375,793354,3793377,8582019,20930548,12144529,8974666,1111473,3277760,5391463,8705627,23138050,57410147,41454452,31690298,52968505,81048686,128874979,206342000
6,General and Administrative Exp.,11281,12441,56182,132019,109280,143800,- -,- -,- -,- -,- -,- -,14140022,7995048,5229916,14095648,11692804,24419536,34718089,40998209,32022880,19110051,26556257,52275890,80981000
7,Selling and Marketing Exp.,78477,38135,34180,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",89758,50576,90362,132019,109280,143800,91063,2171841,5992739,12255061,17086595,23750845,14140022,7995048,5229916,14095648,11692804,24419536,34718089,40998209,32022880,19110051,26556257,52275890,80981000
9,Other Expenses,108480,18313,- -,- -,- -,1274593,- -,- -,167321,999000,415963,410408,387095,315625,1618729,1748975,3173064,3721313,4227740,-2602419,4690440,- -,- -,- -,- -
10,Operating Expenses,198238,68889,90362,132019,109280,1418393,94438,2965195,9953437,21836080,38433106,36305782,23501783,9422146,10126405,21236086,23571495,51278899,96355976,79850242,68403618,72078556,107604943,181150869,287323000
11,COGS and Expenses,235210,102674,93214,134113,115577,1418480,94438,2965195,9953437,21836080,39157194,36305782,23501783,9422146,10126405,21236086,23571495,51278899,96355976,79850242,68403618,72078556,107604943,181150869,287323000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,103787,18312,8120,7622,3526,9078,90,74740,644006,886956,1003868,1133381,994604,654689,267977,1748975,1751412,1345655,2336207,3260045,4690440,4699275,4439144,5942264,8267000
15,EBITDA,-750748,-33308,601123,-129931,-182295,-237129,-94348,-2421402,-5980818,-18110253,-28927250,-25955649,-18313788,-5119359,-2860908,-19376953,-29391877,-57279235,-89602275,-78460557,-29687455,-49748803,72587546,-78608562,-132579000
16,EBITDA ratio,-9.8022,-0.5517,16.2474,-5.2227,-19.5764,-104.6465,-Infinity,-12.3348,-10.1253,-30.4140,-23.9460,-19.9168,-4.8537,-8.2557,-9.6607,-131.9282,-101.2584,-327.3099,-234.5609,-495.5414,-0.9452,-3.0819,0.4300,-0.8934,-0.9587
17,Operating Income,-158619,-42297,-56216,-109235,-106265,-1416214,-94438,-2768889,-9362754,-21240622,-37949172,-35002581,-19728636,-8802049,-9830266,-21089211,-24589276,-53276286,-95973976,-81742726,-36995909,-55936235,61190634,-93158803,-149036000
18,Operating Income ratio,-2.0710,-0.7005,-1.5194,-4.3908,-11.4116,-624.9841,-Infinity,-14.1050,-15.8507,-35.6711,-31.4143,-26.8589,-5.2287,-14.1946,-33.1948,-143.5861,-84.7129,-304.4359,-251.2408,-516.2709,-1.1779,-3.4652,0.3625,-1.0587,-1.0777
19,Total Other Income Expenses (Gains),-695916,31762,-312243,-28318,-79556,1170007,- -,272747,2374869,-683384,329,-114729,571075,1465694,1045258,-1021432,-7113803,-5443826,4035494,22124,2618014,1488157,6957768,8607977,8190000
20,Income Before Tax,- -,- -,-368459,-137553,-185821,-246207,-94438,-2496142,- -,- -,- -,- -,- -,- -,-8785008,-22110643,-31703079,-58720112,-91938482,-81720602,-34377895,-54448078,68148402,-84550826,-140846000
21,Income Before Tax Ratio,- -,- -,-9.9589,-5.5291,-19.9550,-108.6527,-Infinity,-12.7156,- -,- -,- -,- -,- -,- -,-29.6652,-150.5405,-109.2208,-335.5435,-240.6767,-516.1312,-1.0946,-3.3730,0.4037,-0.9609,-1.0185
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,800,800,- -,- -,- -,- -,- -,- -,- -,- -,- -,5300,2400,2400,2400,2400,173553,2400,2000
23,Net Income,-854535,-51620,593003,-137553,-185821,-246207,-95238,-2496942,-6624824,-18997209,-29931118,-27089030,-19308392,-5774048,-3128885,-21125928,-31143289,-58630190,-91940882,-81723002,-34380295,-54450478,67974849,-84553226,-140848000
24,Net Income ratio,-11.1573,-0.8549,16.0280,-5.5291,-19.9550,-108.6527,-Infinity,-12.7196,-11.2155,-31.9035,-24.7770,-20.7865,-5.1173,-9.3115,-10.5656,-143.8361,-107.2922,-335.0297,-240.6829,-516.1464,-1.0946,-3.3732,0.4027,-0.9609,-1.0185
25,EPS,-175.32,-12.99,97.40,-19.48,-25.97,-32.47,-38.96,-2.30,-3.50,-5.90,-8.30,-6.90,-4.30,-0.90,-0.44,-1.90,-1.30,-1.25,-1.60,-1.34,-0.47,-0.65,0.72,-0.84,-1.36
26,EPS Diluted,-175.32,-12.99,97.40,-19.48,-25.97,-32.47,-38.96,-2.30,-3.50,-5.90,-8.30,-6.90,-4.30,-0.90,-0.44,-1.90,-1.30,-1.25,-1.60,-1.34,-0.47,-0.65,0.69,-0.84,-1.36
27,Weighted Average Shares Outstanding,4874,3975,6088,7061,7154,7583,7830,1100209,1872526,3195380,3586709,3919129,4516901,6434244,7181121,11129766,24002224,46933030,57358442,61050880,73898598,83638469,93858857,100722224,103745000
28,Weighted Average Shares Outstanding Diluted,4874,3975,6088,7061,7154,7583,7830,1355054,1872526,3195380,3586709,3919129,4516901,6434244,7830407,11129766,24002224,46933030,57358442,61050880,73898598,83638469,98607815,100722224,103745000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/879407/000119312504214808/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/879407/000119312505247560/d10ksb.htm,https://www.sec.gov/Archives/edgar/data/879407/000119312506253375/d10k.htm,https://www.sec.gov/Archives/edgar/data/879407/000119312507265636/0001193125-07-265636-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312508253655/0001193125-08-253655-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312509258134/0001193125-09-258134-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312510286618/0001193125-10-286618-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312511347334/0001193125-11-347334-index.html,https://www.sec.gov/Archives/edgar/data/879407/000119312512517638/0001193125-12-517638-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459013001463/0001564590-13-001463-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459014005961/0001564590-14-005961-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459015011489/0001564590-15-011489-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459016030217/0001564590-16-030217-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459017024834/0001564590-17-024834-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459018030805/0001564590-18-030805-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459019044376/0001564590-19-044376-index.html,https://www.sec.gov/Archives/edgar/data/879407/000156459020054893/0001564590-20-054893-index.htm,https://www.sec.gov/Archives/edgar/data/879407/000156459021057888/0001564590-21-057888-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1165,1018,124,1952,271,18491,1355289,8552667,22467016,28020304,24120097,10093585,2020224,6847162,7507389,3377288,19114444,132510610,81214354,85366448,24838567,30133213,221804128,143582667,184434000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,487887,76880,- -,- -,- -,- -,- -,634585,106500,9030261,21653032,17539902,- -,40769539,46400176,36899894,171909470,183355000
33,Cash and Short-Term Investments,1165,1018,124,1952,271,18491,1355289,9040554,22543896,28020304,24120097,10093585,2020224,6847162,8141974,3483788,28144705,154163642,98754256,85366448,65608106,76533389,258704022,315492137,367789000
34,Net Receivables,10418,4175,11300,1280,640,- -,- -,51835,33448,74214,276064,86599,147257,930683,1608382,2465418,83663,- -,- -,75000,67797,327375,661361,845673,10255000
35,Inventory,21713,22480,14295,12222,5925,13005,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,800,1837,627,628,39023,627,158625,404686,236651,681273,909267,380933,316074,353930,110818,618130,615351,637128,4116905,5061095,2227001,1907834,5881434,6032587,6553000
37,Total Current Assets,34096,29510,26346,16082,45859,32123,1513914,9497075,22813995,28775791,25305428,10561117,2483555,8131775,9861174,6567336,28843719,154800770,102871161,90502543,67902904,78768598,265246817,322370397,384597000
38,PP&E,64138,49139,55947,49067,446,31438,2025,882046,1078122,1270981,1439459,1245210,527044,141269,25437,4895652,3513235,3872753,4526848,15386761,15513019,13935425,23214899,47017953,66021000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,963150,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1461266,5038225,3354487,2938513,2749555,2362460,2046836,1731211,4784569,3240513,1013473,24824116,22164868,20464439,18764010,17063580,15363151,13663000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1461266,5038225,4317637,2938513,2749555,2362460,2046836,1731211,4784569,3240513,1013473,24824116,22164868,20464439,18764010,17063580,15363151,13663000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2219467,1999927,1836748,- -,- -,23088346,- -,- -,- -,- -,44175993,137486883,245595000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,9445,6133,- -,- -,- -,- -,- -,75391,110379,161469,169552,2699560,109648,34735,2433993,280261,1732164,41414,45789,122333,141918,141918,144148,265359,272000
45,Total Non-Current Assets,73583,55272,55947,49067,446,31438,2025,2418703,6226726,5750087,4547524,6694325,5218619,4222767,6027389,9960482,8485912,28015986,29396753,37673962,36119376,32841353,84598620,200133346,325551000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,107679,84782,82293,65149,46305,63561,1515939,11915778,29040721,34525878,29852952,17255442,7702174,12354542,15888563,16527818,37329631,182816756,132267914,128176505,104022280,111609951,349845437,522503743,710148000
48,Accounts Payable,1415389,1139015,169145,160681,180027,258529,92688,540739,471943,846580,1349105,1342000,1013281,681563,576809,877986,1199632,2579478,5031706,12232906,4076514,2806098,7649921,6828909,9457000
49,Short-Term Debt,1023936,1024936,522000,524000,526000,606000,- -,- -,- -,- -,- -,810456,726534,500000,- -,214801,1192902,263991,217548,194310,208506,223820,- -,1094777,2250000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,106250,- -,98570,- -,- -,- -,- -,37500,103125,103125,103125,2569792,5269741,600,77769629,19291075,111055000
52,Other Current Liabilities,244526,503524,344248,470621,611752,722213,3489,148959,445871,2073654,1448700,1573843,604423,3094683,2005140,4197601,6229361,8900430,10548192,10646786,9146287,9334433,11651129,13466672,23774000
53,Total Current Liabilities,2683851,2667475,1035393,1155302,1317779,1586742,96177,689698,1024064,2920234,2896375,3726299,2344238,4276246,2581949,5327888,8725020,11847024,15900571,25643794,18701048,12364951,97070679,40681433,146536000
54,Long-Term Debt,- -,311435,43000,39000,33000,27500,- -,- -,- -,- -,- -,- -,500000,- -,606786,839421,50000,- -,- -,2533455,2325018,2101198,- -,- -,23295000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,- -,- -,5035142,- -,131495000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,-266436,- -,- -,- -,- -,- -,- -,- -,- -,500000,1226534,- -,- -,135660,1551600,2819822,4984477,6745709,2474997,2129052,1902801,3703364,20043178,- -
58,Total Non-Current Liabilities,- -,44999,43000,39000,33000,27500,- -,- -,- -,- -,500000,1226534,500000,- -,742446,2391021,2869822,4984477,6745709,7508452,4454070,4003999,8738506,20043178,154790000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,726534,726534,- -,- -,1497259,1282458,972331,758340,- -,- -,- -,- -,21137955,25545000
61,Total Liabilities,2683851,2712474,1078393,1194302,1350779,1614242,96177,689698,1024064,2920234,3396375,4952833,2844238,4276246,3324395,7718909,11594842,16831501,22646280,33152246,23155118,16368950,105809185,60724611,301326000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10,18,16,16,- -,- -,- -,- -,- -
63,Common Stock,3191,3289,4912,5062,5276,5276,4680,13643,27997,34156,38622,42950,56428,71735,86423,108354,124859,147026,151914,162116,167155,180875,187876,194746,197000
