,https://roic.ai/company/TPIC,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,215054000,320747000,585852000,754877000,930281000,1029624000,1436500000,1670137000,1732583000
2,COGS,- -,206789000,306095000,544107000,677872000,817572000,956783000,1358652000,3167470000,1764163000
3,Gross Profit,- -,8265000,14652000,41745000,77005000,112709000,72841000,77848000,-1497333000,-31580000
4,Gross Profit Ratio,- -,0.0384,0.0457,0.0713,0.1020,0.1212,0.0707,0.0542,-0.8965,-0.0182
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,7566000,9175000,14126000,33892000,40373000,48123000,39916000,33496000,29246000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,7566000,9175000,14126000,33892000,40373000,48123000,39916000,33496000,29246000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,7566000,9175000,14126000,33892000,40373000,48123000,39916000,33496000,29246000
11,COGS and Expenses,- -,214355000,315270000,558233000,711764000,857945000,1004906000,1398568000,3200966000,1793409000
12,Interest Income ,- -,155000,186000,161000,344000,95000,181000,157000,102000,- -
13,Interest Expense (Gain),- -,3474000,7236000,14565000,17614000,12381000,10417000,8179000,10501000,13622000
14,Depreciation and Amortization,- -,5250000,7441000,11416000,12897000,20878000,26429000,38580000,49667000,52593000
15,EBITDA,- -,6657000,8954000,37640000,51348000,90029000,39092000,54166000,29857000,-66573000
16,EBITDA ratio,- -,0.0310,0.0279,0.0642,0.0680,0.0968,0.0380,0.0377,0.0179,-0.0384
17,Operating Income,- -,699000,5477000,27619000,43113000,72336000,24718000,15888000,18766000,-97698000
18,Operating Income ratio,- -,0.0033,0.0171,0.0471,0.0571,0.0778,0.0240,0.0111,0.0112,-0.0564
19,Total Other Income Expenses (Gains),- -,-5071000,-11200000,-15960000,-22276000,-15566000,-22472000,-8481000,-26509000,-35090000
20,Income Before Tax,- -,-4372000,-5723000,11659000,20837000,56770000,2246000,7407000,-7743000,-132788000
21,Income Before Tax Ratio,- -,-0.0203,-0.0178,0.0199,0.0276,0.0610,0.0022,0.0052,-0.0046,-0.0766
22,Income Tax expense (Gain),- -,-3346000,925000,3977000,6995000,13080000,-3033000,23115000,-11284000,26760000
