,https://roic.ai/company/LVS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,641199000,586973000,623336000,691754000,1197056000,1740912000,2236859000,2950567000,4389946000,4563105000,6853182000,9410745000,11131132000,13769885000,14583849000,11688461000,11410000000,12882000000,13729000000,13739000000,3612000000,4234000000
2,COGS,- -,- -,- -,- -,541721000,873452000,1164112000,1745843000,2768752000,2876873000,3875187000,4922677000,6069575000,7516457000,7745420000,6117090000,5837000000,6485000000,6974000000,6832000000,2608000000,2626000000
3,Gross Profit,- -,- -,- -,- -,655335000,867460000,1072747000,1204724000,1621194000,1686232000,2977995000,4488068000,5061557000,6253428000,6838429000,5571371000,5573000000,6397000000,6755000000,6907000000,1004000000,1608000000
4,Gross Profit Ratio,- -,- -,- -,- -,0.5475,0.4983,0.4796,0.4083,0.3693,0.3695,0.4345,0.4769,0.4547,0.4541,0.4689,0.4767,0.4884,0.4966,0.4920,0.5027,0.2780,0.3798
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,9728000,12789000,533000,1783000,11309000,19958000,15809000,14325000,10372000,9000000,13000000,12000000,24000000,18000000,109000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,845927000,948281000,1131809000,1268965000,1519275000,1432883000,1443584000,1540000000,1589000000,1685000000,1815000000,1261000000,1042000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,845927000,948281000,1131809000,1268965000,1519275000,1432883000,1443584000,1540000000,1589000000,1685000000,1815000000,1261000000,1042000000
9,Other Expenses,490239000,456771000,463401000,505628000,36867000,378009000,498650000,864986000,1444742000,699044000,831288000,955063000,1315338000,1298945000,1285139000,1240708000,1452000000,1313000000,1157000000,1280000000,1333000000,1119000000
10,Operating Expenses,490239000,456771000,463401000,505628000,36867000,378009000,498650000,874714000,1457531000,1545504000,1781352000,2098181000,2604261000,2834029000,2732347000,2694664000,3001000000,2915000000,2854000000,3119000000,2612000000,2270000000
11,COGS and Expenses,490239000,456771000,463401000,505628000,578588000,1251461000,1662762000,2620557000,4226283000,4422377000,5656539000,7020858000,8673836000,10350486000,10477767000,8811754000,8838000000,9400000000,9828000000,9951000000,5220000000,4896000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,11122000,8947000,14394000,23252000,16337000,25643000,15085000,10000000,16000000,59000000,74000000,21000000,4000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,321870000,306813000,282949000,258564000,271211000,274181000,265220000,274000000,327000000,446000000,555000000,536000000,621000000
14,Depreciation and Amortization,- -,- -,46662000,53859000,76324000,99796000,119977000,248090000,565995000,613052000,694971000,794404000,932211000,1047820000,1072187000,1037564000,1149000000,1208000000,1146000000,1216000000,1215000000,1097000000
15,EBITDA,16862000,7874000,34818000,120493000,557771000,387732000,624223000,386369000,342737000,576559000,1675480000,2849180000,2895631000,3813864000,4431637000,3505205000,3332000000,4132000000,4380000000,4937000000,28000000,752000000
16,EBITDA ratio,0.0263,0.0134,0.0559,0.1742,0.4660,0.2227,0.2791,0.1309,0.0781,0.1264,0.2445,0.3028,0.2601,0.2770,0.3039,0.2999,0.2920,0.3208,0.3190,0.3593,0.0078,0.1776
17,Operating Income,150960000,130202000,159935000,186126000,618468000,489451000,574097000,330010000,163663000,-28740000,1180586000,2389887000,2311382000,3408243000,4099226000,2841475000,2493000000,3462000000,3751000000,3698000000,-1688000000,-689000000
18,Operating Income ratio,0.2354,0.2218,0.2566,0.2691,0.5167,0.2811,0.2567,0.1118,0.0373,-0.0063,0.1723,0.2540,0.2077,0.2475,0.2811,0.2431,0.2185,0.2687,0.2732,0.2692,-0.4673,-0.1627
19,Total Other Income Expenses (Gains),-134098000,-122328000,1045000,825000,-137021000,-201515000,-69851000,-191731000,-391688000,-343887000,-324681000,-295064000,-248806000,-264731000,-266515000,-219593000,-238000000,-410000000,-425000000,74000000,-493000000,-785000000
20,Income Before Tax,16862000,7874000,- -,- -,481447000,287936000,504246000,138279000,-228025000,-372627000,855905000,2094823000,2062576000,3143512000,3832711000,2621882000,2255000000,3052000000,3326000000,3772000000,-2181000000,-1474000000
21,Income Before Tax Ratio,0.0263,0.0134,- -,- -,0.4022,0.1654,0.2254,0.0469,-0.0519,-0.0817,0.1249,0.2226,0.1853,0.2283,0.2628,0.2243,0.1976,0.2369,0.2423,0.2745,-0.6038,-0.3481
22,Income Tax expense (Gain),- -,- -,- -,- -,-13736000,4250000,62243000,21591000,-59700000,-3884000,74302000,211704000,180763000,188836000,244640000,236185000,239000000,-209000000,375000000,468000000,-38000000,-5000000
23,Net Income,16862000,7874000,-11844000,66634000,495183000,283686000,442003000,116688000,-163558000,-354479000,599394000,1560123000,1524093000,2305997000,2840629000,1966236000,1670000000,2806000000,2413000000,2698000000,-1685000000,-961000000
24,Net Income ratio,0.0263,0.0134,-0.0190,0.0963,0.4137,0.1630,0.1976,0.0395,-0.0373,-0.0777,0.0875,0.1658,0.1369,0.1675,0.1948,0.1682,0.1464,0.2178,0.1758,0.1964,-0.4665,-0.2270
25,EPS,0.05,0.02,-9.71,54.60,1.52,0.80,1.25,0.33,-0.48,-0.82,0.61,1.74,1.89,2.80,3.52,2.47,2.10,3.54,3.07,3.50,-2.21,-0.00
26,EPS Diluted,0.05,0.02,-9.71,54.51,1.52,0.80,1.24,0.33,-0.48,-0.82,0.51,1.56,1.85,2.79,3.52,2.47,2.10,3.54,3.07,3.50,-2.21,-0.00
27,Weighted Average Shares Outstanding,337240000,393700000,1220370,1220370,326486740,354161165,354277941,354807700,392131375,656836950,667463535,728343428,806395660,822282515,806130838,796785900,794627349,792000000,786000000,771000000,764000000,764000000
28,Weighted Average Shares Outstanding Diluted,337240000,393700000,1220370,1222370,326848911,354526604,355264444,355789619,392131375,656836950,791760624,811816687,824556036,826316108,808019219,797596082,795210673,792000000,786000000,771000000,764000000,764000000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1300514/000095012306002497/0000950123-06-002497-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095015307000439/0000950153-07-000439-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095012408000952/0000950124-08-000952-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095015309000169/0000950153-09-000169-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095012310018509/0000950123-10-018509-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095012311020089/0000950123-11-020089-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000095012312004305/0000950123-12-004305-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000119312513087854/0001193125-13-087854-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000144530514000758/0001445305-14-000758-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051415000005/0001300514-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051416000023/0001300514-16-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051417000005/0001300514-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051418000022/0001300514-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051419000021/0001300514-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051420000011/0001300514-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051421000033/0001300514-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1300514/000130051422000007/0001300514-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,106483000,152793000,1294898000,456846000,468066000,857150000,3038163000,4955416000,3037081000,3902718000,2512766000,3600414000,3506319000,2179490000,2128000000,2419000000,4648000000,4226000000,2121000000,1854000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,106483000,152793000,1294898000,456846000,468066000,857150000,3038163000,4955416000,3037081000,3902718000,2512766000,3600414000,3506319000,2179490000,2128000000,2419000000,4648000000,4226000000,2121000000,1854000000
34,Net Receivables,- -,- -,53536000,54197000,56582000,84778000,173683000,187195000,384819000,460766000,716919000,1336817000,1819260000,1762110000,1510772000,1267848000,776000000,615000000,726000000,844000000,338000000,202000000
