,https://roic.ai/company/CELU,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,- -,- -,21335000
2,COGS,- -,- -,- -,3649000
3,Gross Profit,- -,- -,- -,17686000
4,Gross Profit Ratio,- -,- -,- -,0.8290
5,Research and Development Exp.,- -,- -,- -,88353000
6,General and Administrative Exp.,- -,564339,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,564339,- -,71341000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,- -,564339,- -,159694000
11,COGS and Expenses,- -,564339,4219960,163343000
12,Interest Income ,- -,- -,- -,332000
13,Interest Expense (Gain),- -,- -,- -,3171000
14,Depreciation and Amortization,- -,- -,- -,8817
15,EBITDA,- -,-556468,-4222196,-96918183
16,EBITDA ratio,- -,-Infinity,-Infinity,-4.5427
17,Operating Income,- -,-564339,-4219960,-109059000
18,Operating Income ratio,- -,-Infinity,-Infinity,-5.1117
19,Total Other Income Expenses (Gains),- -,3745540,1781307,8961000
20,Income Before Tax,- -,3181201,-2438653,-100098000
21,Income Before Tax Ratio,- -,Infinity,-Infinity,-4.6917
22,Income Tax expense (Gain),- -,668230,191644,20000
23,Net Income,- -,2512971,-2630297,-100118000
24,Net Income ratio,- -,Infinity,-Infinity,-4.6927
25,EPS,- -,-0.03,-0.33,-12.49
26,EPS Diluted,- -,-0.03,-0.33,-12.49
27,Weighted Average Shares Outstanding,- -,8015444,8015444,8015444
28,Weighted Average Shares Outstanding Diluted,- -,8015444,8015444,8015444
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1752828/000121390020007185/0001213900-20-007185-index.html,https://www.sec.gov/Archives/edgar/data/1752828/000121390021028849/0001213900-21-028849-index.htm,https://www.sec.gov/Archives/edgar/data/1752828/000156459022013004/0001564590-22-013004-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,24707,917007,314696,37240000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,24707,917007,314696,37240000
34,Net Receivables,- -,- -,- -,2745000
35,Inventory,- -,- -,- -,9549000
36,Other Current Assets,- -,92150,44593,9566000
37,Total Current Assets,24707,1009157,359289,59100000
38,PP&E,- -,- -,- -,90625000
39,Goodwill,- -,- -,- -,123304000
40,Intangible Assets,- -,- -,- -,123187000
41,Intangible Assets,- -,- -,- -,246491000
42,Investments,- -,291000000,- -,- -
43,Tax Assets,- -,1653,- -,- -
44,Other Non-Current Assets,149750,-405460,291797144,17912000
45,Total Non-Current Assets,149750,290596193,291797144,355028000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,174457,291605350,292156433,414128000
48,Accounts Payable,- -,210211,3409872,9317000
49,Short-Term Debt,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,2196000
52,Other Current Liabilities,150555,18883,- -,14712000
53,Total Current Liabilities,150555,229094,3409872,26225000
54,Long-Term Debt,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,1871000
56,Deferred Tax Liabilities,- -,- -,602,10000
57,Other Non-Current Liabilities,- -,10812500,10812500,286604000
58,Total Non-Current Liabilities,- -,10812500,10813102,288485000
