,https://roic.ai/company/CNQ,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,157900000,259000000,281100000,636800000,920657613,877708978,1287615741,3222855429,3560967845,4082467737,5971918073,7547396208,10106989185,11642590867,12543450194,16172899466,11078000000,14322000000,15507000000,16195000000,17945000000,21301000000,13167000000,11098000000,17669000000,22282000000,24394000000,17491000000,32854000000
2,COGS,30900000,51300000,63900000,129900000,357398142,329721362,439814815,1039292142,1311684177,1534466478,2343166302,2661387089,3299220840,4636533085,3575330221,6403593978,5141000000,6651000000,7713000000,12935000000,14141000000,15815000000,13392000000,11535000000,14717000000,17069000000,18045000000,17422000000,22277000000
3,Gross Profit,127000000,207700000,217200000,506900000,563259471,547987616,847800926,2183563287,2249283668,2548001259,3628751771,4886009119,6807768345,7006057782,8968119973,9769305488,5937000000,7671000000,7794000000,3260000000,3804000000,5486000000,-225000000,-437000000,2952000000,5213000000,6349000000,69000000,10577000000
4,Gross Profit Ratio,0.8043,0.8019,0.7727,0.7960,0.6118,0.6243,0.6584,0.6775,0.6316,0.6241,0.6076,0.6474,0.6736,0.6018,0.7150,0.6041,0.5359,0.5356,0.5026,0.2013,0.2120,0.2575,-0.0171,-0.0394,0.1671,0.2340,0.2603,0.0039,0.3219
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1274000000,504000000,133000000,56000000,470000000,433000000,344000000,700000000,453000000,179000000,567000000,309000000,880000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1274000000,504000000,133000000,56000000,470000000,433000000,344000000,700000000,453000000,179000000,567000000,309000000,880000000
9,Other Expenses,38000000,59900000,86700000,190100000,301644031,345201238,400752315,721355729,1010824578,1438463960,1959294087,2308615311,3081753693,2965983225,6560730956,3041525012,2188000000,4036000000,3734000000,151000000,171000000,193000000,173000000,142000000,164000000,186000000,190000000,205000000,185000000
10,Operating Expenses,38000000,59900000,86700000,190100000,301644031,345201238,400752315,721355729,1010824578,1438463960,1959294087,2308615311,3081753693,2965983225,6560730956,3041525012,3462000000,4540000000,3867000000,207000000,641000000,626000000,517000000,842000000,617000000,365000000,757000000,514000000,1065000000
11,COGS and Expenses,68900000,111200000,150600000,320000000,659042173,674922600,840567130,1760647871,2322508755,2972930438,4302460389,4970002400,6380974533,7602516310,10136061177,9445118990,8603000000,11191000000,11580000000,13142000000,14782000000,16441000000,13909000000,12377000000,15334000000,17434000000,18802000000,17936000000,23342000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,8000000,53000000,48000000,97000000,59000000,76000000,72000000,- -
13,Interest Expense (Gain),6500000,12300000,20900000,26700000,- -,75851393,- -,161967606,138490926,158954989,157155739,189584833,148854518,139794967,276094945,127489072,410000000,449000000,373000000,366000000,282000000,338000000,374000000,431000000,728000000,798000000,912000000,828000000,711000000
14,Depreciation and Amortization,35000000,57100000,82400000,182400000,288777698,326625387,383391204,644871026,904170646,1314132830,1565116579,1768658507,2013024770,2390493942,2863243619,2683341428,2819000000,4036000000,3604000000,4328000000,4844000000,4880000000,5483000000,4858000000,5186000000,5161000000,5546000000,6046000000,5724000000
15,EBITDA,101600000,167000000,177200000,394700000,504646175,527863776,736400463,2102579483,2106017191,2456720177,3547597579,3953683705,3850447726,5928471574,5670870990,9904079650,5098000000,7363000000,7887000000,7303000000,8162000000,10381000000,5190000000,4226000000,8787000000,9481000000,11414000000,6001000000,16346000000
