,https://roic.ai/company/NTP,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,37900000,38400000,58000000,70800000,96600000,121200000,108234000,132854000,101649000,145054000,213688000,234006000,236016000,406306000,533861000,797237000,870174000,780822000,622852000,408137000,534420000,602317000,1147923000,855847000,2341000,2978000,2508000,1851000,493000,2965000,71206000
2,COGS,- -,30100000,47500000,55600000,77300000,95500000,86049000,98130000,76939000,120074000,182096000,203974000,197956000,340016000,457385000,704314000,783953000,693804000,552174000,367817000,483126000,574228000,1042146000,788212000,1073000,1949000,740000,- -,73000,1356000,27381000
3,Gross Profit,- -,8300000,10500000,15200000,19300000,25700000,22185000,34724000,24710000,24980000,31592000,30032000,38060000,66290000,76476000,92923000,86221000,87018000,70678000,40320000,51294000,28089000,105777000,67635000,1268000,1029000,1768000,1851000,420000,1609000,43825000
4,Gross Profit Ratio,- -,0.2161,0.1810,0.2147,0.1998,0.2120,0.2050,0.2614,0.2431,0.1722,0.1478,0.1283,0.1613,0.1632,0.1433,0.1166,0.0991,0.1114,0.1135,0.0988,0.0960,0.0466,0.0921,0.0790,0.5416,0.3455,0.7049,1.0000,0.8519,0.5427,0.6155
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,950000,1909000,1691000,2624000,3489000,2954000,2686000,4037000,5045000,7210000,7866000,9798000,10890000,6273000,5757000,3362000,1364000,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,12702000,13799000,13190000,15242000,17646000,21974000,17983000,24866000,28053000,33057000,30668000,36550000,36057000,28393000,25232000,27325000,28440000,33317000,13417000,13862000,8359000,9450000,20402000,12484000,15923000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5266000,5504000,5902000,2666000,462000,- -,- -,- -,- -,813000,6460000,6998000
8,"Selling, General and Administrative Exp.",- -,5900000,7000000,8300000,9600000,12400000,12702000,13799000,13190000,15242000,17646000,21974000,17983000,24866000,28053000,33057000,30668000,36550000,36057000,33659000,30736000,33227000,31106000,33779000,13417000,13862000,8359000,9450000,21215000,18944000,22921000
9,Other Expenses,- -,900000,800000,1100000,2000000,2600000,- -,- -,1445000,-848000,-10678000,- -,339000,- -,- -,- -,5207000,- -,17345000,- -,- -,- -,- -,-1609000,- -,- -,- -,-529000,- -,- -,- -
10,Operating Expenses,- -,6800000,7800000,9400000,11600000,15000000,13652000,15708000,16326000,17018000,10457000,24928000,21008000,28903000,33098000,40267000,43741000,46348000,64292000,39932000,36493000,36589000,32470000,32170000,13417000,13862000,8359000,8921000,21215000,18944000,22921000
11,COGS and Expenses,- -,36900000,55300000,65000000,88900000,110500000,99701000,113838000,93265000,137092000,192553000,228902000,218964000,368919000,490483000,744581000,827694000,740152000,616466000,407749000,519619000,610817000,1074616000,820382000,14490000,15811000,9099000,8921000,21288000,20300000,50302000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,818000,1484000,2728000,2112000,4939000,9173000,8357000,5570000,7621000,5601000,2357000,1326000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000,- -,- -,292000,- -,61000,360000,- -,- -,- -,67000,321000
14,Depreciation and Amortization,- -,900000,800000,1100000,2000000,2600000,2676000,4331000,4258000,5669000,8121000,11434000,10968000,12264000,14016000,17283000,19024000,21501000,22208000,23116000,24468000,16068000,26133000,21355000,4596000,4173000,1784000,328000,3801000,1985000,4150000
15,EBITDA,37900000,4000000,3500000,6400000,10300000,13400000,12250000,35449000,8827000,17407000,32089000,20706000,31764000,56465000,81780000,69240000,60157000,95034000,55720000,26253000,44725000,17105000,110645000,32795000,-20931000,-8625000,-7750000,4272000,-9453000,-13179000,26743000
16,EBITDA ratio,1.0000,0.1042,0.0603,0.0904,0.1066,0.1106,0.1132,0.2668,0.0868,0.1200,0.1502,0.0885,0.1346,0.1390,0.1532,0.0868,0.0691,0.1217,0.0895,0.0643,0.0837,0.0284,0.0964,0.0383,-8.9411,-2.8962,-3.0901,2.3079,-19.1744,-4.4449,0.3756
17,Operating Income,37900000,1500000,2700000,5800000,7700000,10700000,8533000,19016000,8384000,7962000,21135000,5104000,17052000,37387000,43378000,52656000,42480000,40670000,6386000,388000,14801000,-11451000,73307000,35465000,-12149000,-12833000,-6591000,-7599000,-20795000,-17335000,20904000
18,Operating Income ratio,1.0000,0.0391,0.0466,0.0819,0.0797,0.0883,0.0788,0.1431,0.0825,0.0549,0.0989,0.0218,0.0722,0.0920,0.0813,0.0660,0.0488,0.0521,0.0103,0.0010,0.0277,-0.0190,0.0639,0.0414,-5.1897,-4.3093,-2.6280,-4.1053,-42.1805,-5.8465,0.2936
19,Total Other Income Expenses (Gains),- -,1600000,- -,-500000,600000,100000,1041000,12102000,-3815000,3776000,2833000,4168000,3744000,5902000,37202000,7479000,4806000,55135000,32560000,360000,5456000,12488000,11607000,16894000,6733000,305000,-2943000,11543000,7541000,2104000,1368000
20,Income Before Tax,- -,3100000,2700000,5300000,8300000,10800000,9574000,31118000,4569000,11738000,23968000,9272000,20796000,43289000,80580000,60135000,47286000,95805000,38946000,748000,20257000,1037000,84914000,52359000,-5416000,-12528000,-9534000,3944000,-13254000,-15231000,22272000
21,Income Before Tax Ratio,- -,0.0807,0.0466,0.0749,0.0859,0.0891,0.0885,0.2342,0.0449,0.0809,0.1122,0.0396,0.0881,0.1065,0.1509,0.0754,0.0543,0.1227,0.0625,0.0018,0.0379,0.0017,0.0740,0.0612,-2.3135,-4.2069,-3.8014,2.1307,-26.8844,-5.1369,0.3128
22,Income Tax expense (Gain),- -,100000,200000,100000,200000,-600000,158000,279000,1040000,-60000,-33000,227000,773000,399000,879000,651000,377000,4030000,2877000,1283000,5251000,532000,17299000,11143000,- -,- -,- -,- -,- -,-2040000,6579000
23,Net Income,- -,3000000,2500000,5200000,8100000,11400000,9416000,30839000,3529000,11798000,24001000,9045000,20023000,43802000,66885000,51306000,40756000,69503000,30635000,1652000,15006000,505000,66921000,297000,-25588000,-13158000,-9534000,3944000,-13254000,-13191000,15693000
24,Net Income ratio,- -,0.0781,0.0431,0.0734,0.0839,0.0941,0.0870,0.2321,0.0347,0.0813,0.1123,0.0387,0.0848,0.1078,0.1253,0.0644,0.0468,0.0890,0.0492,0.0040,0.0281,0.0008,0.0583,0.0003,-10.9304,-4.4184,-3.8014,2.1307,-26.8844,-4.4489,0.2204
25,EPS,0.02,0.04,0.04,0.08,0.11,0.42,0.35,1.12,0.10,0.38,0.80,0.27,0.57,1.09,1.57,1.19,0.93,1.56,0.68,0.04,0.33,0.01,1.49,0.01,-0.58,-0.32,-0.26,0.11,-0.35,-0.35,0.39
26,EPS Diluted,0.02,0.04,0.04,0.08,0.10,0.42,0.35,1.12,0.10,0.38,0.78,0.26,0.56,1.07,1.57,1.19,0.93,1.55,0.68,0.04,0.33,0.01,1.48,0.01,-0.58,-0.32,-0.26,0.11,-0.35,-0.35,0.39
27,Weighted Average Shares Outstanding,12550504,12550504,17416757,21470316,26405944,26966775,26869032,27505054,34252059,30899524,30115323,33918750,34960794,40185321,42601911,43114286,43823656,44553205,44803735,44804000,44804000,44804000,44804000,45223000,44410000,40549000,36673000,36807000,37826000,38331000,43446000
28,Weighted Average Shares Outstanding Diluted,12550504,12550504,17416757,21470316,26405944,26966775,89416994,27654538,34252059,31146720,30938789,34308621,35524677,40936449,42601911,43114286,43823656,44840645,44805781,44810000,44822000,44841000,45345000,45693000,44439000,40549000,36673000,37492000,37826000,38331000,43479000
