,https://roic.ai/company/RVI,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,298280000,316058000,322879000,- -,239095000,169808000,55658000
2,COGS,83187000,85971000,89409000,- -,69297000,61555000,16252000
3,Gross Profit,215093000,230087000,233470000,- -,169798000,108253000,39406000
4,Gross Profit Ratio,0.7211,0.7280,0.7231,- -,0.7102,0.6375,0.7080
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,24515000,27227000,31049000,- -,25847000,22224000,9483000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",24515000,27227000,31049000,- -,25847000,22224000,9483000
9,Other Expenses,111061000,121760000,118739000,- -,74598000,57053000,17217000
10,Operating Expenses,135576000,148987000,149788000,- -,100445000,79277000,26700000
11,COGS and Expenses,218763000,234958000,239197000,- -,169742000,140832000,42952000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),99008000,96806000,90264000,- -,42674000,22742000,7899000
14,Depreciation and Amortization,111061000,121760000,118739000,92615000,74598000,57053000,33720000
15,EBITDA,171286000,160308000,-72184000,- -,164525000,-12367000,24068000
16,EBITDA ratio,0.5742,0.5072,-0.2236,- -,0.6881,-0.0728,0.4324
17,Operating Income,79517000,81100000,83682000,- -,158438000,98294000,36656000
18,Operating Income ratio,0.2666,0.2566,0.2592,- -,0.6627,0.5789,0.6586
19,Total Other Income Expenses (Gains),-119012000,-139358000,-365220000,- -,-111185000,-190456000,-10133000
20,Income Before Tax,-39495000,-58258000,-281538000,- -,47253000,-92162000,26523000
21,Income Before Tax Ratio,-0.1324,-0.1843,-0.8720,- -,0.1976,-0.5427,0.4765
22,Income Tax expense (Gain),3840000,950000,11266000,- -,504000,1392000,148000
23,Net Income,-42623000,-59208000,-292453000,- -,46749000,-93554000,-17699000
24,Net Income ratio,-0.1429,-0.1873,-0.9058,- -,0.1955,-0.5509,-0.3180
25,EPS,-2.31,-3.21,-15.84,- -,2.46,-4.72,1.26
26,EPS Diluted,-2.31,-3.21,-15.84,- -,2.46,-4.72,1.26
27,Weighted Average Shares Outstanding,18465166,18465166,18465166,19008000,19008000,19806000,21117000
28,Weighted Average Shares Outstanding Diluted,18465166,18465166,18465166,19008000,19008000,19806000,21117000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1735184/000156459019006279/0001564590-19-006279-index.html,https://www.sec.gov/Archives/edgar/data/1735184/000156459020008182/0001564590-20-008182-index.html,https://www.sec.gov/Archives/edgar/data/1735184/000156459021011897/0001564590-21-011897-index.htm,https://www.sec.gov/Archives/edgar/data/1735184/000156459022006922/0001564590-22-006922-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,7972000,8283000,44565000,71047000,56849000,110470000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,7972000,8283000,44565000,71047000,56849000,110470000
34,Net Receivables,- -,35206000,93629000,60848000,25195000,28302000,3891000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,23355000,6282000,76645000,123269000,129253000,1993000
37,Total Current Assets,- -,66533000,108194000,182058000,219511000,214404000,116354000
38,PP&E,- -,- -,- -,- -,1714000,1509000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,92496000,67495000,31882000,17859000,7943000,- -
41,Intangible Assets,- -,92496000,67495000,31882000,17859000,7943000,1098000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2558155000,2150913000,1748704000,1387603000,972020000,26946000
45,Total Non-Current Assets,- -,2650651000,2218408000,1780586000,1407176000,981472000,28044000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2717184000,2326602000,1962644000,1626687000,1195876000,144398000
48,Accounts Payable,- -,114123000,101986000,84832000,53789000,38568000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,57990000,39162000,23037000,69053000
53,Total Current Liabilities,- -,114123000,101986000,142822000,92951000,61605000,69053000
54,Long-Term Debt,- -,1218167000,1134152000,967569000,655833000,344485000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,190000000,190000000,190000000,8331000
58,Total Non-Current Liabilities,- -,1218167000,1134152000,1157569000,845833000,534485000,8331000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1332290000,1236138000,1300391000,938784000,596090000,77384000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1846000,1905000,1983000,2112000
64,Retained Earnings,- -,- -,- -,-15153000,-6857000,-123428000,-675602000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,1384894000,1090464000,675560000,692855000,721231000,- -
67,Total Stockholders Equity,- -,1384894000,1090464000,662253000,687903000,599786000,67014000
68,Total Liabilities And Stockholders Equity,- -,2717184000,2326602000,1962644000,1626687000,1195876000,144398000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2717184000,2326602000,1962644000,1626687000,1195876000,144398000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1735184/000156459019006279/0001564590-19-006279-index.html,https://www.sec.gov/Archives/edgar/data/1735184/000156459020008182/0001564590-20-008182-index.html,https://www.sec.gov/Archives/edgar/data/1735184/000156459021011897/0001564590-21-011897-index.htm,https://www.sec.gov/Archives/edgar/data/1735184/000156459022006922/0001564590-22-006922-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-42623000,-59208000,-292453000,- -,46749000,-93554000,-17699000
74,Depreciation and Amortization,111061000,121760000,118739000,92615000,74598000,57053000,33720000
75,Deferred Income Tax,- -,460000,10794000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-13163000,- -,53798000,33028000,87324000,26239000,-148908000
78,Accounts Receivable,1057000,1488000,-840000,-2994000,2890000,-4026000,10467000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1024000,-478000,-394000,1590000,-3955000,-5998000,-9066000
81,Other Working Capital,-47590000,-47590000,6208000,39236000,126560000,152799000,3891000
82,Other Non-Cash Items,18015000,39287000,205364000,-52818000,-113788000,61920000,194628000
83,Cash Provided by Operating Activities,73290000,102299000,96242000,72825000,94883000,51658000,61741000
84,CAPEX,- -,- -,- -,-65220000,236394000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-226102000,-177540000,-9643000,420113000,107691000,268935000,- -
89,Cash Used for Investing Activites,-226102000,-177540000,-9643000,354893000,344085000,268935000,- -
90,Debt Repayment,-301715000,-205691000,-234587000,-282742000,-1214514000,-320128000,-354202000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-6869000,-10970000,-190000000
94,Other Financing Activites,455196000,285257000,145282000,-42095000,854509000,- -,-469877000
