,https://roic.ai/company/MNOV,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,490282,804068,263877,- -,- -,- -,- -,- -,802580,6003257,- -,- -,- -,- -,- -,- -,- -,4037500
2,COGS,- -,- -,- -,437582,674232,146607,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,52700,129836,117270,- -,- -,- -,- -,- -,802580,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,0.1075,0.1615,0.4444,- -,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,952000,5551000,4723158,11317055,22738241,32170847,42121095,13827651,10873169,9710977,7784719,5013092,3365808,3259694,3017169,3519172,4223746,5625814,6079042,7484835,8538027
6,General and Administrative Exp.,- -,- -,- -,- -,7479244,9623956,11372873,8773695,10366291,8171811,8323715,6734844,6657989,5963317,5805217,7362662,8803347,9961012,7952035,6693488,5715285
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,7479244,9623956,11372873,8773695,10366291,8171811,8323715,6734844,6657989,5963317,5805217,7362662,8803347,9961012,7952035,6693488,5715285
9,Other Expenses,- -,- -,- -,37348031,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,48665086,30217485,41794803,53493968,22601346,21239460,17882788,16108434,11747936,10023797,9223011,8822386,10881834,13027093,15586826,14031077,14178323,14253312
11,COGS and Expenses,2015000,7013000,6261103,49102668,30891717,41941410,53493968,22601346,21239460,17882788,16108434,11747936,10023797,9223011,8822386,10881834,13027093,15586826,14031077,14178323,14253312
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,939909,1148242,361182,143626
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,1768354,1595093,- -,- -,628,514,454,298,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,29872,45298,-715918,-308374,345437,305018,219202,108257,41869,69528,100487,40186,26704,14127,28098,25881,23944,21342,26149
15,EBITDA,-2015000,-7095000,-6283204,-48227305,-26408053,-35997985,-53148531,-22296328,-21020258,-17774531,-16066565,-10880642,-3924006,-9182825,-8795682,-10867707,-12998995,-15560945,-14007133,-14156981,-10105535
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-98.3665,-32.8431,-136.4196,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-13.5571,-0.6536,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.5029
17,Operating Income,-2015000,-7013000,-6261103,-48612386,-30087649,-41677533,-53493968,-22601346,-21239460,-17882788,-16108434,-10945356,-4020540,-9223011,-8822386,-10881834,-13027093,-15586826,-14031077,-14178323,-10215812
