,https://roic.ai/company/HESM,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,169700000,269700000,254800000,565100000,509800000,565800000,662400000,848300000,1091900000,1203800000
2,COGS,101700000,202800000,44400000,86100000,99700000,113100000,123000000,142500000,156900000,165600000
3,Gross Profit,68000000,66900000,210400000,479000000,410100000,452700000,539400000,705800000,935000000,1038200000
4,Gross Profit Ratio,0.4007,0.2481,0.8257,0.8476,0.8044,0.8001,0.8143,0.8320,0.8563,0.8624
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,11600000,13000000,4900000,9300000,10400000,8100000,11500000,52400000,21100000,22700000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",11600000,13000000,4900000,9300000,10400000,8100000,11500000,52400000,21100000,22700000
9,Other Expenses,130300000,217700000,170700000,274800000,193400000,158400000,154300000,276800000,337400000,288300000
10,Operating Expenses,141900000,230700000,175600000,284100000,203800000,166500000,165800000,329200000,358500000,311000000
11,COGS and Expenses,243600000,433500000,220000000,370200000,303500000,279600000,288800000,471700000,515400000,476600000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,1900000,1500000,- -,1400000,1300000,62400000,94700000,105400000
14,Depreciation and Amortization,14300000,12500000,44400000,86100000,99700000,113100000,123000000,142500000,156900000,165600000
15,EBITDA,-59600000,-151300000,79200000,281000000,306000000,155700000,195100000,274900000,282900000,332000000
16,EBITDA ratio,-0.3512,-0.5610,0.3108,0.4973,0.6002,0.2752,0.2945,0.3241,0.2591,0.2758
17,Operating Income,-73900000,-163800000,34800000,194900000,206300000,286200000,373600000,376600000,576500000,727200000
18,Operating Income ratio,-0.4355,-0.6073,0.1366,0.3449,0.4047,0.5058,0.5640,0.4439,0.5280,0.6041
19,Total Other Income Expenses (Gains),- -,- -,-1900000,-1500000,- -,-1400000,-1300000,-59000000,-84500000,-94800000
20,Income Before Tax,-73900000,-163800000,32900000,193400000,206300000,284800000,372300000,317600000,492000000,632400000
21,Income Before Tax Ratio,-0.4355,-0.6073,0.1291,0.3422,0.4047,0.5034,0.5620,0.3744,0.4506,0.5253
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-100000,7300000,14600000
23,Net Income,-73900000,-163800000,32900000,193400000,206300000,41200000,70800000,70100000,24000000,46400000
24,Net Income ratio,-0.4355,-0.6073,0.1291,0.3422,0.4047,0.0728,0.1069,0.0826,0.0220,0.0385
25,EPS,-1.35,-3.00,0.60,3.54,0.73,0.75,1.27,1.22,1.33,1.81
26,EPS Diluted,-1.35,-3.00,0.60,3.54,0.73,0.75,1.27,1.22,1.31,1.76
27,Weighted Average Shares Outstanding,54559308,54559308,54559308,54559308,54559308,53800000,54600000,54600000,18045113,25600000
28,Weighted Average Shares Outstanding Diluted,54559308,54559308,54559308,54559308,54559308,53800000,54700000,54800000,18320611,25700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1789832/000156459020005754/0001564590-20-005754-index.htm,https://www.sec.gov/Archives/edgar/data/1789832/000156459021007205/0001564590-21-007205-index.htm,https://www.sec.gov/Archives/edgar/data/1789832/000095017022002541/0000950170-22-002541-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,47200000,20300000,3300000,2600000,2200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,108000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,47200000,20300000,3300000,110600000,2200000
34,Net Receivables,100000,8300000,36900000,51900000,45000000,59800000,63000000,87900000,93200000,120300000
35,Inventory,500000,300000,400000,500000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,1000000,3100000,2400000,4400000,2800000,4700000,-102400000,10600000
37,Total Current Assets,600000,8600000,38300000,55500000,47400000,111400000,86100000,95900000,101400000,133100000
38,PP&E,789200000,1260100000,1332200000,2291700000,2518600000,2520500000,2664100000,3010100000,3111300000,3125000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,67300000,107800000,108400000,101600000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,49800000,42500000,117300000
44,Other Non-Current Assets,- -,- -,4300000,8300000,8400000,3200000,2200000,14100000,10900000,8600000
45,Total Non-Current Assets,789200000,1260100000,1336500000,2300000000,2527000000,2523700000,2733600000,3181800000,3273100000,3352500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,789800000,1268700000,1374800000,2355500000,2574400000,2635100000,2819700000,3277700000,3374500000,3485600000
48,Accounts Payable,32500000,32400000,6500000,195300000,270100000,34700000,31100000,78500000,51000000,26900000
49,Short-Term Debt,- -,- -,1018900000,- -,- -,- -,11300000,- -,10000000,20000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,97900000,132100000,72800000,55600000,364100000,39700000,60000000,97600000,64000000,124000000
53,Total Current Liabilities,130400000,164500000,1098200000,252900000,634200000,74400000,102400000,176100000,125000000,170900000
54,Long-Term Debt,422800000,833100000,- -,- -,- -,- -,969800000,1753500000,1900100000,2543500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000
57,Other Non-Current Liabilities,800000,800000,1000000,5100000,4300000,5400000,-963400000,16000000,23400000,17700000
58,Total Non-Current Liabilities,423600000,833900000,1000000,5100000,4300000,5400000,6400000,1769500000,1923500000,2561600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,554000000,998400000,1099200000,258000000,638500000,79800000,108800000,1945600000,2048500000,2732500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-149500000,-161600000,-206000000,-385000000,-490900000,-604000000,1200000,400000,- -,- -
66,Other Total Stockholders Equity,385300000,431900000,481600000,2482500000,2426800000,3159300000,3437500000,2227000000,1326000000,- -
67,Total Stockholders Equity,235800000,270300000,275600000,2097500000,1935900000,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,789800000,1268700000,1374800000,2355500000,2574400000,2635100000,2819700000,3277700000,3374500000,2732500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,753100000
70,Total Liabilities & Equity,789800000,1268700000,1374800000,2355500000,2574400000,2635100000,2819700000,3277700000,3374500000,3485600000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1789832/000156459020005754/0001564590-20-005754-index.htm,https://www.sec.gov/Archives/edgar/data/1789832/000156459021007205/0001564590-21-007205-index.htm,https://www.sec.gov/Archives/edgar/data/1789832/000095017022002541/0000950170-22-002541-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-73900000,-163800000,32900000,193400000,206300000,41200000,70800000,70100000,24000000,46400000
74,Depreciation and Amortization,14300000,12500000,44400000,86100000,99700000,113100000,123000000,142500000,156900000,165600000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-100000,7300000,14600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,200000,900000,1500000,1500000,1400000
77,Change in Working Capital,6300000,-26100000,-904000000,862500000,-389400000,623800000,-53300000,-63900000,56600000,-18000000
78,Accounts Receivable,- -,-8200000,-33400000,-8200000,5900000,-15200000,-3200000,-19500000,-5000000,-27000000
79,Inventory,700000,200000,-100000,- -,500000,- -,- -,- -,- -,- -
80,Accounts Payable,3800000,12600000,-6700000,169400000,74800000,17800000,-3600000,15200000,-500000,6600000
81,Other Working Capital,-129800000,-155900000,-1059900000,-197400000,-586800000,37000000,-16300000,-80200000,-23600000,- -
82,Other Non-Cash Items,- -,42000000,856300000,-707200000,471100000,-378400000,352200000,320600000,395400000,585500000
83,Cash Provided by Operating Activities,-53300000,-135400000,29600000,434800000,387700000,399900000,493600000,470700000,641700000,795500000
84,CAPEX,-347500000,-473200000,-187800000,-361800000,-263600000,-136400000,-235600000,-306400000,-301100000,-163200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-67300000,-191100000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -
89,Cash Used for Investing Activites,-347500000,-473200000,-187800000,-361800000,-263600000,-136400000,-302900000,-497500000,-301000000,-163200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-2500000,-7500000,- -,-10000000
91,Common Stock Issued,- -,- -,- -,- -,- -,365500000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-750000000
93,Dividends Paid,- -,- -,-27600000,-339100000,-306900000,-477100000,-75700000,-85400000,-31600000,-49400000
94,Other Financing Activites,400800000,608600000,185800000,266100000,182800000,-105000000,-139400000,13700000,-309800000,176700000
95,Cash Used/Provided by Financing Activities,400800000,608600000,158200000,-73000000,-124100000,-216600000,-217600000,-79200000,-341400000,-632700000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,46900000,-26900000,-106000000,-700000,-400000
98,Cash at the End of Period,- -,- -,- -,- -,- -,47200000,20300000,3300000,2600000,2200000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,300000,47200000,109300000,3300000,2600000
100,Free Cash Flow,-400800000,-608600000,-158200000,73000000,124100000,263500000,258000000,164300000,340600000,632300000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1789832/000156459020005754/0001564590-20-005754-index.htm,https://www.sec.gov/Archives/edgar/data/1789832/000156459021007205/0001564590-21-007205-index.htm,https://www.sec.gov/Archives/edgar/data/1789832/000095017022002541/0000950170-22-002541-index.htm
102,false,,,,,,,,,,
