,https://roic.ai/company/JVA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,26120519,25853791,23089592,20097548,20326720,17432742,20239867,28030389,41545345,51171202,57423417,71186312,74451673,83491967,146755165,173656215,133980759,108863097,118153541,78948228,77127595,90655294,86467432,74335815,63922402
2,COGS,22961911,24090666,19796476,16673790,16065035,12452713,15373127,20927506,33875973,43575963,49128961,68762310,64439494,72931626,138210277,161649282,128011678,93334118,112436831,67066050,64977632,75040802,70708100,61256926,47901126
3,Gross Profit,3158608,1763125,3293116,3423758,4261685,4980029,4866740,7102883,7669372,7595239,8294456,2424002,10012179,10560341,8544888,12006933,5969081,15528979,5716710,11882178,12149963,15614492,15759332,13078889,16021276
4,Gross Profit Ratio,0.1209,0.0682,0.1426,0.1704,0.2097,0.2857,0.2405,0.2534,0.1846,0.1484,0.1444,0.0341,0.1345,0.1265,0.0582,0.0691,0.0446,0.1426,0.0484,0.1505,0.1575,0.1722,0.1823,0.1759,0.2506
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,2791916,- -,- -,- -,- -,- -,- -,- -,6389050,6544597,7345152,7607269,7521910,7527452,7654029,8019110,10927246,13213329,15218803,13904207,14576121
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6900199,6939819,6868052,7000744,7363710,10228506,12532329,14504707,13223207,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,2791916,- -,- -,- -,- -,- -,- -,- -,6389050,6544597,7345152,14507468,14461729,14395504,14654773,15382820,21155752,25745658,29723510,27127414,14576121
9,Other Expenses,2355548,2215134,2301306,2647629,370000,3504764,3992325,5400332,5698263,6230932,6842362,6362534,- -,- -,- -,-6900199,-6939819,-6868052,-7000744,-7363710,-10228506,-12532329,-14504707,-13223207,- -
10,Operating Expenses,2355548,2215134,2301306,2647629,3161916,3504764,3992325,5400332,5698263,6230932,6842362,6362534,6389050,6544597,7345152,7607269,7521910,7527452,7654029,8019110,10927246,13213329,15218803,13904207,14576121
11,COGS and Expenses,25317459,26305800,22097782,19321419,19226951,15957477,19365452,26327838,39574236,49806895,55971323,75124844,70828544,79476223,145555429,169256551,135533588,100861570,120090860,75085160,75904878,88254131,85926903,75161133,62477247
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9191,94355,150442,32967,43144,44962,45049,41176,19436,13347,11046,3354,7658
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253092,237348,289521,195093,106184,80493,200074,187310,264261,370705,254592,185177,85796
14,Depreciation and Amortization,170579,239687,252925,252988,262004,270994,299774,363612,373106,431750,383216,541204,537375,469787,433199,447404,506934,581400,545390,587572,762043,740454,742637,1139297,1013780
15,EBITDA,672191,-862342,861829,653322,1092707,1584089,1038222,1932149,2283894,1733891,1738707,-3486200,6240852,4575985,1764172,4598555,-1260884,8576530,-1431411,4353090,1737662,2681967,931839,1188460,2695110
16,EBITDA ratio,0.0257,-0.0334,0.0373,0.0325,0.0538,0.0909,0.0513,0.0689,0.0550,0.0339,0.0303,-0.0490,0.0838,0.0548,0.0120,0.0265,-0.0094,0.0788,-0.0121,0.0551,0.0225,0.0296,0.0108,0.0160,0.0422
17,Operating Income,803060,-452009,991810,776129,1099769,1475265,874415,1702501,1971109,1364307,1452094,-3938532,3623129,4015744,1199736,4399664,-1552829,8001527,-1937319,3863068,1222717,2401163,540529,-825318,1445155
18,Operating Income ratio,0.0307,-0.0175,0.0430,0.0386,0.0541,0.0846,0.0432,0.0607,0.0474,0.0267,0.0253,-0.0553,0.0487,0.0481,0.0082,0.0253,-0.0116,0.0735,-0.0164,0.0489,0.0159,0.0265,0.0063,-0.0111,0.0226
19,Total Other Income Expenses (Gains),-301448,-650020,-382906,-375795,-269066,-162170,-135967,-133964,-60321,-68332,-90037,-88872,1869300,-142993,-124231,-344885,-168821,-36305,-155858,-147106,-245781,-362225,-247315,447561,-237298
20,Income Before Tax,501612,-1102029,608904,400334,830703,1313095,738448,1568537,1910788,1295975,1362057,-4027404,5492429,3872751,1075505,4054779,-1721650,7965222,-2093177,3715962,976936,2038938,293214,-377757,1207857
21,Income Before Tax Ratio,0.0192,-0.0426,0.0264,0.0199,0.0409,0.0753,0.0365,0.0560,0.0460,0.0253,0.0237,-0.0566,0.0738,0.0464,0.0073,0.0233,-0.0128,0.0732,-0.0177,0.0471,0.0127,0.0225,0.0034,-0.0051,0.0189
22,Income Tax expense (Gain),64173,- -,- -,119000,312825,557720,116366,693195,725653,602059,418175,-1430110,2159319,1479489,229522,1470381,-393767,2947102,-763647,1365920,244096,511532,29208,-41713,340180
23,Net Income,437439,-1102029,608904,281334,517878,755375,622082,875342,1185135,700082,937316,-2597294,3291066,2389361,811930,2485677,-1480235,4967535,-1413228,2212288,467262,1059276,-94598,-94301,1255354
24,Net Income ratio,0.0167,-0.0426,0.0264,0.0140,0.0255,0.0433,0.0307,0.0312,0.0285,0.0137,0.0163,-0.0365,0.0442,0.0286,0.0055,0.0143,-0.0110,0.0456,-0.0120,0.0280,0.0061,0.0117,-0.0011,-0.0013,0.0196
25,EPS,0.07,-0.17,0.15,0.07,0.13,0.19,0.16,0.22,0.25,0.13,0.17,-0.47,0.60,0.44,0.15,0.39,-0.23,0.78,-0.23,0.36,0.08,0.19,-0.02,-0.02,0.15
26,EPS Diluted,0.07,-0.17,0.15,0.07,0.13,0.19,0.16,0.22,0.25,0.13,0.17,-0.47,0.60,0.44,0.14,0.37,-0.23,0.78,-0.23,0.36,0.08,0.19,-0.02,-0.02,0.15
27,Weighted Average Shares Outstanding,3999650,3999650,3999650,3999650,3999650,3999650,3999650,3999650,4721327,5529830,5525408,5476173,5441462,5463837,5563802,6372309,6372309,6333212,6212929,6082777,5858376,5691057,5569349,5575453,5708599
28,Weighted Average Shares Outstanding Diluted,3999650,3999650,3999650,3999650,3999650,3999650,3999650,3999650,4776757,5599830,5595408,5476173,5441462,5468439,5835802,6639309,6372309,6333212,6212929,6082777,5858376,5691057,5569349,5575453,5708599
