,https://roic.ai/company/HIL,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,73090000,78731000,- -,- -,197472000,290323000,380482000,421782000,451758000,501456000,480781000,576681000,640281000,720605000,520847000,483736000,428679000,376437000,368524000,377438000
2,COGS,23931000,51623000,- -,- -,138507000,194029000,229328000,266824000,283008000,330193000,302755000,360651000,393271000,452020000,358943000,336883000,297988000,249587000,249173000,253760000
3,Gross Profit,49159000,27108000,- -,- -,58965000,96294000,151154000,154958000,168750000,171263000,178026000,216030000,247010000,268585000,161904000,146853000,130691000,126850000,119351000,123678000
4,Gross Profit Ratio,0.6726,0.3443,- -,- -,0.2986,0.3317,0.3973,0.3674,0.3735,0.3415,0.3703,0.3746,0.3858,0.3727,0.3108,0.3036,0.3049,0.3370,0.3239,0.3277
5,Research and Development Exp.,- -,- -,158639,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109215000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,48672000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109215000,113590000
9,Other Expenses,48647000,27428000,- -,- -,-1080000,78682000,128956000,136683000,151634000,175122000,172779000,183572000,217730000,237504000,162721000,151186000,148038000,111124000,- -,- -
10,Operating Expenses,48647000,27428000,- -,- -,47592000,78682000,128956000,136683000,151634000,175122000,172779000,183572000,217730000,237504000,162721000,151186000,148038000,111124000,109215000,113590000
11,COGS and Expenses,72578000,79051000,158639,481473,186099000,272711000,358284000,403507000,434642000,505315000,475534000,544223000,611001000,689524000,521664000,488069000,446026000,360711000,358388000,367350000
12,Interest Income ,- -,- -,296782,1042998,- -,- -,134000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),483000,- -,- -,- -,312000,433000,- -,1737000,3144000,7262000,18150000,22864000,30485000,14663000,694000,3031000,5310000,5795000,5224000,- -
