,https://roic.ai/company/GRNQ,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,2946160,3091740,3916370,4213360,4484820,2254811,2949780
2,COGS,- -,- -,- -,- -,1852870,1135310,1487800,2081180,1376790,599413,472686
3,Gross Profit,- -,- -,- -,- -,1093290,1956430,2428570,2132180,3108030,1655398,2477094
4,Gross Profit Ratio,- -,- -,- -,- -,0.3711,0.6328,0.6201,0.5061,0.6930,0.7342,0.8398
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,22295,368731,1382424,1869494,3350896,4286753,4675050,4560973,5231778
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,22295,368731,1382424,1869494,3350896,4286753,4675050,4560973,5231778
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,368731,1382424,1869494,3350896,4286753,4675050,4560973,5231778
11,COGS and Expenses,- -,- -,22295,73110,3235290,3059600,6737420,8432360,6075910,5160386,5704464
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,60022,28011,1606,7494
13,Interest Expense (Gain),- -,- -,- -,40289,47271,67398,54310,144356,103396,1144530,12950750
14,Depreciation and Amortization,- -,- -,- -,470,77950,167200,188490,233940,265750,515255,317638
15,EBITDA,- -,- -,-22295,-72640,-251119,191238,-1973390,-8155234,-997834,-2102038,-1099784
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-0.0852,0.0619,-0.5039,-1.9356,-0.2225,-0.9322,-0.3728
17,Operating Income,- -,- -,-22295,-92939,-289125,-139374,-2821046,-4218999,-1591085,-2905575,-2754684
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-0.0981,-0.0451,-0.7203,-1.0013,-0.3548,-1.2886,-0.9339
