,https://roic.ai/company/REEMF,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,30000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000,-30000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,78328,119694,80806,- -,- -,- -,- -,- -,- -,1268000,1146000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,896178,1545453,9390094,11914000,6616000,4946000,4042000,2606000,1183000,1066000,979000,1823000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,896178,1545453,9390094,11914000,6616000,4946000,4042000,2606000,1183000,1066000,979000,1823000,- -
9,Other Expenses,- -,23620,- -,- -,- -,- -,- -,- -,- -,- -,- -,18484000,14323000,8768000,5188000,394000,-87000,- -,- -,1347000,-169000
10,Operating Expenses,- -,23620,- -,- -,- -,- -,- -,- -,974506,1665147,9470900,30398000,20939000,13714000,9230000,3000000,1096000,2334000,2125000,3170000,-169000
11,COGS and Expenses,- -,23620,38610,184996,182338,446558,737126,971052,1269259,1672047,18020876,30398000,20939000,13714000,9230000,3445000,1183000,2348000,2130000,3175000,-139000
12,Interest Income ,- -,193,- -,- -,- -,- -,- -,29786,32575,40163,631557,627000,232000,76000,28000,- -,4000,58000,40000,27000,- -
13,Interest Expense (Gain),- -,996,- -,7477,380,715,1023,1584,2420,5256,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000,-25000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,191,2117,2395,6900,37629,171000,197000,210000,118000,38000,18000,14000,5000,5000,5000
15,EBITDA,- -,-23620,-38610,-184996,-227358,-435424,-718747,-1057920,-1251781,-1608652,-18714604,-30636000,-22049000,-13819000,-9560000,3464000,871000,-1750000,-1428000,-3143000,144000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,Infinity
17,Operating Income,- -,-23620,-38610,-184996,-174954,-446558,-741967,-971052,-1271679,-1733798,-18020876,-31341000,-20939000,-13714000,-9230000,-3445000,-1114000,-1764000,-1433000,-3175000,139000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,45020,-11134,-18188,88985,-15083,-56495,1362914,1979000,-269000,308000,169000,57000,181000,80000,63000,-53000,-5541000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16657962,-29362000,-21208000,-13406000,-9061000,-3388000,-933000,-1684000,-1370000,-3228000,-5402000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-24422,-37480,-192472,-145081,-458407,-751496,-853866,-1254187,-1693635,-16657962,-29362000,-22246000,-14029000,-9678000,3426000,853000,-1764000,-1433000,-3228000,-5402000
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,-0.00,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.03,-0.03,-0.24,-0.36,-0.26,-0.16,-0.10,-0.04,-0.01,-0.01,-0.01,-0.02,-0.05
26,EPS Diluted,- -,-0.00,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.03,-0.03,-0.24,-0.36,-0.26,-0.16,-0.10,-0.04,-0.01,-0.01,-0.01,-0.02,-0.05
27,Weighted Average Shares Outstanding,- -,4752814,4752814,21271850,26087962,29815599,37243376,41913310,43919895,53694943,70399203,81338424,84473408,87040473,93477602,95771277,108581496,145215146,154414110,190179789,103996283
28,Weighted Average Shares Outstanding Diluted,- -,4752814,4752814,21271850,26087962,29815599,37243376,41913310,43919895,53694943,70399203,81338424,84473408,87040473,93477602,95771277,108581496,145215146,154414110,190179789,103996283
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419806/000105291814000067/0001052918-14-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1419806/000105291815000092/0001052918-15-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1419806/000105291816000897/0001052918-16-000897-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291817000165/0001052918-17-000165-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291818000086/0001052918-18-000086-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291819000058/0001052918-19-000058-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291820000052/0001052918-20-000052-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291821000080/0001052918-21-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1419806/000155837022004094/0001558370-22-004094-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,218293,214805,95924,428267,1085337,2271916,2334145,11460476,72311970000000,24985000,23902000,10139000,3881000,927000,4360000,2523000,5664000,2706000,22247000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15150000,- -,- -,- -,600000000,600000,600000,600000,600000,- -
33,Cash and Short-Term Investments,- -,- -,218293,214805,95924,428267,1085337,2271916,2334145,11460476,72311970000000,40135000,23902000,10139000,3881000,600927000,4960000,3123000,6264000,3306000,22247000
34,Net Receivables,- -,- -,3917,9869,11335,24412,44428,46726,50195,17054,327281000000,320000,29000,21000,10000,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,96,9302,11256,23205,49651,26883,27978,71419,406473000000,185000,406000,321000,162000,-599919000,-559000,-563000,-560000,-553000,2881000
37,Total Current Assets,- -,- -,222306,233976,118515,475884,1179416,2345525,2412318,11548949,73045724000000,40640000,24337000,10481000,4053000,1008000,4401000,2560000,5704000,2753000,25128000
38,PP&E,- -,- -,- -,167127,392877,608855,764820,1023615,1611368,6155152,- -,544000,521000,344000,227000,106000,88000,61000,56000,51000,372000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,10533,110533,201484,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29241000,33936000,36369000,35211000,54000,128000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,22281,- -,10000,10000,25083,15081,- -,- -,- -,- -,-28234000,-32929000,-35362000,-34611000,546000,472000,600000,600000,616000
45,Total Non-Current Assets,- -,- -,22281,167127,402877,618855,789903,1048696,1621901,6265685,- -,544000,1528000,1351000,1234000,706000,688000,661000,656000,651000,988000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2437987000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,244587,401103,521392,1094739,1969319,3394221,4034219,17814634,75483711000000,41184000,25865000,11832000,5287000,1714000,5089000,3221000,6360000,3404000,26116000
48,Accounts Payable,- -,- -,25718,16905,9734,23325,16456,48594,- -,410005,1019146000000,- -,1528000,1098000,909000,65000,52000,386000,470000,115000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,963000,706000,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,10000,5381,9556,8257,15254,66461,12023,73959000000,3599000,204000,164000,152000,152000,-963000,-706000,- -,- -,1119000
53,Total Current Liabilities,- -,- -,25718,26905,15115,32881,24713,63848,66461,422028,1093105000000,3599000,1732000,1262000,1061000,217000,52000,386000,470000,115000,1243000
54,Long-Term Debt,- -,- -,18508,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139000,- -,- -,- -,-54000,-128000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,312829,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1065000,1179000
58,Total Non-Current Liabilities,- -,- -,331337,- -,- -,-1,- -,- -,- -,- -,- -,- -,139000,- -,- -,- -,-54000,-128000,- -,1065000,1432000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,296493000000,238000,350000,202000,205000,805000,2257000,1641000,732000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,357055,26905,15115,32880,24713,63848,66461,422028,1389598000000,3837000,1943000,1464000,1266000,1022000,2363000,2155000,1202000,1180000,2675000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,19003005,- -,- -,100513000,100652000,103640000,103640000,106494000,106494000,112208000,111823000,- -
64,Retained Earnings,- -,- -,-370164,-1914524,-2059606,-2518013,-3269509,-4123374,-5377562,-7071197,- -,-77195000,-99441000,-113470000,-123148000,-126574000,-127427000,-129191000,-130881000,-133816000,-139218000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-191,-2032,-4428,-9990,3306000000,-43000,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,257696,2288721,2565883,3579872,5214306,7455779,9349748,5470788,74090807000000,- -,22850000,23186000,23529000,23626000,23659000,23763000,23831000,24217000,162659000
67,Total Stockholders Equity,- -,- -,-112468,374197,506277,1061859,1944606,3330373,3967758,17392606,74094113,37347000,23922000,10368000,4021000,692000,2726000,1066000,5158000,2224000,23441000
68,Total Liabilities And Stockholders Equity,- -,- -,244587,401102,521392,1094739,1969319,3394221,4034219,17814634,1389672094113,41184000,25865000,11832000,5287000,1714000,5089000,3221000,6360000,3404000,26116000
69,Minority Interest,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,74094038905887,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,244587,401103,521392,1094739,1969319,3394221,4034219,17814634,75483711000000,41184000,25865000,11832000,5287000,1714000,5089000,3221000,6360000,3404000,26116000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419806/000105291814000067/0001052918-14-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1419806/000105291815000092/0001052918-15-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1419806/000105291816000897/0001052918-16-000897-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291817000165/0001052918-17-000165-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291818000086/0001052918-18-000086-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291819000058/0001052918-19-000058-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291820000052/0001052918-20-000052-index.html,https://www.sec.gov/Archives/edgar/data/1419806/000105291821000080/0001052918-21-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1419806/000155837022004094/0001558370-22-004094-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-24422,-37480,-192472,-145081,-458407,-751496,-853866,-1254187,-1693635,-16657962,-29362000,-22246000,-14029000,-9678000,3426000,853000,-1764000,-1433000,-3228000,-5402000
