,https://roic.ai/company/VERU,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,10700000,13100000,11200000,12500000,16200000,2200000,2064258,2916408,5451399,4715477,5766868,6716174,8416512,9045560,8829255,11161555,14824242,19319889,25634126,27543341,22221955,18565102,35033897,31456778,24490586,32604865,22127342,13655592,15864483,31803387,42592060,61259528
2,COGS,- -,6100000,7200000,6100000,6900000,7500000,2500000,3684698,3475709,5273369,3314958,3604990,5337830,4855321,5456838,5206962,6370155,9334832,12163574,14904325,14025523,9297136,8699912,14412884,13952420,11369108,13634906,8777858,6636080,7081981,10146565,11805202,13332305
3,Gross Profit,- -,4600000,5900000,5100000,5600000,8700000,-300000,-1620440,-559301,178030,1400519,2161878,1378344,3561191,3588722,3622293,4791400,5489410,7156315,10729801,13517818,12924819,9865190,20621013,17504358,13121478,18969959,13349484,7019512,8782502,21656822,30786858,47927223
4,Gross Profit Ratio,- -,0.4299,0.4504,0.4554,0.4480,0.5370,-0.1364,-0.7850,-0.1918,0.0327,0.2970,0.3749,0.2052,0.4231,0.3967,0.4103,0.4293,0.3703,0.3704,0.4186,0.4908,0.5816,0.5314,0.5886,0.5565,0.5358,0.5818,0.6033,0.5140,0.5536,0.6810,0.7228,0.7824
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,361094,- -,- -,- -,- -,- -,- -,- -,179201,273776,210876,208608,284216,105916,381,10929,- -,- -,- -,219815,99393,3504482,10850958,13743826,16935222,32694405
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,2987839,3036765,2895108,3142727,2974764,1852044,4928639,4887305,4463018,5705775,4819678,5891925,7038060,7006111,6425175,6226155,9628134,7493043,9139445,12131737,8660174,11019091,14817433,14348890,14498330,20670319
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,2980540,1642347,433821,- -,- -,129155,43832,36533,47601,123103,218500,179874,223800,191153,220181,332764,52949,221718,58121,- -,88866,54270,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,3700000,7100000,6200000,8100000,10700000,8000000,5968379,4679112,3328929,3142727,2974764,1981199,4972471,4923838,4510619,5828878,5038178,6071799,7261860,7197264,6645356,6558919,9681083,7714761,9197566,12131737,8749040,11073361,14817433,14348890,14498330,20670319
9,Other Expenses,- -,100000,200000,300000,400000,500000,100000,- -,- -,- -,1283789,1825421,- -,1258210,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3986518,- -,- -,- -
10,Operating Expenses,- -,3800000,7300000,6500000,8500000,11200000,8100000,6329473,4679112,3328929,4426516,4800185,1981199,6230681,4923838,4689820,6102654,5249054,6280407,7546076,7303180,6645737,6569848,9681083,7714761,9197566,12351552,8848433,14577843,29654909,28092716,31433552,53364724
11,COGS and Expenses,- -,9900000,14500000,12600000,15400000,18700000,10600000,10014171,8154821,8602298,7741474,8405175,7319029,11086002,10380676,9896782,12472809,14583886,18443981,22450401,21328703,15942873,15269760,24093967,21667181,20566674,25986458,17626291,21213923,36736890,38239281,43238754,66697029
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55984,29168,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2950501,4706056,4621422,4886054
14,Depreciation and Amortization,- -,-100000,-200000,-300000,-400000,-500000,-100000,675084,553298,533994,1283789,1825421,923917,1011100,1545648,1086697,522797,333633,252936,217085,268382,466544,464909,461447,556304,589343,494258,422873,481008,452048,471421,462741,211394
15,EBITDA,- -,200000,-1700000,-4600000,-4100000,-3500000,-8400000,-7985219,-5055851,-2823322,-2466520,-1864742,-247339,-2470062,-824521,-932191,-832859,615659,1121849,4420991,5318493,4690676,3696884,11253470,10490158,4546534,7181298,3236789,-8121482,-19669738,-7143822,-14967813,9362684
16,EBITDA ratio,- -,0.0187,-0.1298,-0.4107,-0.3280,-0.2160,-3.8182,-3.8683,-1.7336,-0.5179,-0.5231,-0.3234,-0.0368,-0.2935,-0.0912,-0.1056,-0.0746,0.0415,0.0581,0.1725,0.1931,0.2111,0.1991,0.3212,0.3335,0.1856,0.2203,0.1463,-0.5947,-1.2399,-0.2246,-0.3514,0.1528
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,-7949913,-5238413,-3150899,-3025997,-2638307,-602855,-2669490,-1335116,-1067527,-1311254,240355,875908,3183725,4718014,4349160,3295342,10939930,9789597,3923912,6618407,3018512,-8494112,-20872407,-6435894,-14746694,12972657
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,-3.8512,-1.7962,-0.5780,-0.6417,-0.4575,-0.0898,-0.3172,-0.1476,-0.1209,-0.1175,0.0162,0.0453,0.1242,0.1713,0.1957,0.1775,0.3123,0.3112,0.1602,0.2030,0.1364,-0.6220,-1.3157,-0.2024,-0.3462,0.2118
19,Total Other Income Expenses (Gains),- -,100000,400000,-2100000,- -,200000,- -,-252607,79527,117141,100181,145204,-568401,-1258210,- -,-63943,-14103,-12346,-6995,1020181,332097,-125028,-63367,-147907,144257,33279,68633,-204596,-108378,-2199880,-5885405,-5305282,-8707421
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1171256,- -,- -,- -,- -,- -,868913,4203906,5050111,4224132,3231975,10792023,9933854,3957191,6687040,2813916,-8602490,-23072287,-12321299,-20051976,4265236
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1744,- -,- -,- -,- -,- -,0.0450,0.1640,0.1834,0.1901,0.1741,0.3080,0.3158,0.1616,0.2051,0.1272,-0.6300,-1.4543,-0.3874,-0.4708,0.0696
