,https://roic.ai/company/PRLX,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,20397,192246,- -,- -,- -,11579720,23137733,3195144,11739,128600
2,COGS,- -,- -,- -,- -,36046,90091,- -,- -,- -,9874244,19091952,3226247,20339,16827
3,Gross Profit,- -,- -,- -,- -,-15649,102155,- -,- -,- -,1705476,4045781,-31103,-8600,111773
4,Gross Profit Ratio,- -,- -,- -,- -,-0.7672,0.5314,- -,- -,- -,0.1473,0.1749,-0.0097,-0.7326,0.8692
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,105567,4316695,1062099,2020129,482568,473403,858658,1906488,- -,6426976,6432073,6128982
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,660400,- -,255507
8,"Selling, General and Administrative Exp.",- -,- -,105567,4316695,1062099,2020129,482568,473403,858658,1906488,- -,7087376,6432073,6384489
9,Other Expenses,24728,74839,- -,- -,653,- -,- -,- -,- -,1061069,6268777,- -,120620,120972
10,Operating Expenses,24728,74839,105567,4316695,1062752,2020129,482568,473403,858658,2967557,6268777,7087376,6552693,6505461
11,COGS and Expenses,24728,74839,105567,4316695,1098798,2110220,482568,473403,858658,12841801,25360729,10313623,6573032,6522288
12,Interest Income ,- -,924,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,167094,759387,49313,11180,20554,246551,213921,908713,1308027,1213069,582508
14,Depreciation and Amortization,- -,- -,- -,- -,653,4500,18550,12232,7988,77905,210988,345492,120620,187381
15,EBITDA,-24728,-74839,5871810,-3706977,-4369897,-1913474,-464018,-461171,-850670,-3128072,-7111803,-12222987,17623009,-12096443
16,EBITDA ratio,-Infinity,-Infinity,Infinity,-Infinity,-214.2421,-9.9533,-Infinity,-Infinity,-Infinity,-0.2701,-0.3074,-3.8255,1501.2360,-94.0625
17,Operating Income,-24728,-74839,-105567,-4316695,-1078401,-1917974,-482568,-473403,-858658,-1262081,-2222996,-7118479,-6561293,-6393688
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-52.8706,-9.9767,-Infinity,-Infinity,-Infinity,-0.1090,-0.0961,-2.2279,-558.9312,-49.7176
19,Total Other Income Expenses (Gains),- -,- -,-5977377,-609718,-3292149,- -,-72100,-31091,-254539,-2457817,-6008508,-6758027,23675011,-6472644
