,https://roic.ai/company/LNDC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2500000,9500000,33500000,35400000,197200000,190600000,183200000,112300000,192100000,205200000,232000000,210500000,238500000,235938000,238200000,276700000,317600000,441700000,476800000,539257000,476918000,469776000,524227000,557559000,590366000,544161000
2,COGS,500000,5100000,18200000,19300000,167200000,162800000,151800000,91600000,162300000,173300000,191900000,178100000,200300000,201658000,204500000,230000000,265400000,378900000,414200000,473850000,410137000,390564000,445889000,476556000,515378000,462687000
3,Gross Profit,2000000,4400000,15300000,16100000,30000000,27800000,31400000,20700000,29800000,31900000,40100000,32400000,38200000,34280000,33700000,46700000,52200000,62800000,62600000,65407000,66781000,79212000,78338000,81003000,74988000,81474000
4,Gross Profit Ratio,0.8000,0.4632,0.4567,0.4548,0.1521,0.1459,0.1714,0.1843,0.1551,0.1555,0.1728,0.1539,0.1602,0.1453,0.1415,0.1688,0.1644,0.1422,0.1313,0.1213,0.1400,0.1686,0.1494,0.1453,0.1270,0.1497
5,Research and Development Exp.,3800000,7600000,5700000,5800000,3400000,3300000,3500000,2100000,3500000,2500000,3000000,3100000,3300000,3665000,4400000,9300000,9600000,9300000,7200000,6988000,7228000,9473000,12800000,11466000,11099000,10222000
6,General and Administrative Exp.,3300000,4700000,10800000,11200000,26900000,27400000,26100000,15200000,22300000,23400000,28000000,21600000,19800000,18017000,17700000,24600000,26500000,32500000,35200000,39958000,46181000,52491000,51951000,58762000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3300000,4700000,10800000,11200000,28879000,26966000,26418000,- -,22004000,23412000,27979000,21616000,19801000,18017000,17698000,24608000,26515000,32531000,35170000,39958000,49515000,55628000,51951000,64062000,72188000,65364000
9,Other Expenses,500000,1100000,2100000,2200000,-1379000,434000,-218000,16300000,196000,-12000,21000,-22716000,-1000,- -,3602000,4792000,1485000,-3931000,30000,- -,30666000,676000,-0,-0,- -,- -
