,https://roic.ai/company/NMTC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,1167,5398,921,1249,773,742,- -,- -,- -,- -,1926566,178146
2,COGS,- -,- -,2138,- -,- -,- -,- -,- -,- -,- -,- -,- -,275895
3,Gross Profit,- -,1167,3260,921,1249,773,- -,- -,- -,- -,- -,- -,-97749
4,Gross Profit Ratio,- -,1.0000,0.6039,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,-0.5487
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,735333,- -,1529189,2075791,3925008
6,General and Administrative Exp.,- -,7211,30688,14654,26342,36687,49587,32611,2336988,- -,4284205,4753036,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,7211,30688,14654,26342,36687,49587,32611,2336988,- -,4284205,4753036,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6260266
10,Operating Expenses,- -,7211,30688,14654,26342,36687,49587,32611,3072321,- -,5813394,6828827,10185274
11,COGS and Expenses,- -,7211,32826,14654,26342,36687,49587,32611,3072321,- -,5813394,6828827,10461169
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,176,227,- -,- -,14018,- -,1395138,- -,284557,7524581,-3053
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,17633,- -,27569,47609,80748
15,EBITDA,- -,-6044,-27428,-13733,-30554,-36244,-48845,-32611,-3054688,- -,-5785825,-6067970,-9870473
16,EBITDA ratio,- -,-5.1791,-5.0811,-14.9110,-24.4628,-46.8875,-65.8288,-Infinity,-Infinity,- -,-Infinity,-3.1496,-55.4066
17,Operating Income,- -,-6044,-27428,-13733,-25093,-35914,-48845,-32611,-3072321,- -,-5813394,-4902261,-10218211
18,Operating Income ratio,- -,-5.1791,-5.0811,-14.9110,-20.0905,-46.4605,-65.8288,-Infinity,-Infinity,- -,-Infinity,-2.5446,-57.3586
19,Total Other Income Expenses (Gains),- -,- -,-176,-227,-5461,-330,-14018,- -,-1986105,- -,-967767,-8737899,270043
20,Income Before Tax,- -,-6044,-27604,-13960,-30554,-36244,-62863,-32611,-5058426,- -,-6781161,-13640160,-9948168
21,Income Before Tax Ratio,- -,-5.1791,-5.1137,-15.1574,-24.4628,-46.8875,-84.7210,-Infinity,-Infinity,- -,-Infinity,-7.0800,-55.8428
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-6044,-27604,-13960,-30554,-36244,-62863,-47775,-5058426,- -,-6781161,-13640160,-9948168
24,Net Income ratio,- -,-5.1791,-5.1137,-15.1574,-24.4628,-46.8875,-84.7210,-Infinity,-Infinity,- -,-Infinity,-7.0800,-55.8428
25,EPS,- -,-0.00,-0.03,-0.01,-0.03,-0.03,-0.03,-0.03,-2.31,- -,-1.71,-2.52,-0.93
26,EPS Diluted,- -,-0.00,-0.03,-0.01,-0.03,-0.03,-0.03,-0.03,-2.31,- -,-1.71,-2.52,-0.93
27,Weighted Average Shares Outstanding,4000000,1430554,1547748,1690998,1690998,1690998,1690998,1690998,2203355,2203355,3952519,5415371,10696799
