,https://roic.ai/company/WFG,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1093775203,1198044367,1306638714,1211022292,1521821684,1540140047,981360319,1036796438,1163002691,1996445506,3079646117,2853324468,3348217712,2619967132,2494317639,2885438330,2705288932,3015590603,3262676447,3321675310,2954550368,3310765568,4082703777,4491824703,3733531353,4587659588,10518000000
2,COGS,827699978,921482779,1034661076,999025151,1166723053,1095715905,742034448,790038175,993038858,1548558404,2596161529,2436358957,2555893164,1941906327,2318116703,2247540394,1877179236,2030497673,2122524113,2186310149,2071067746,2210401012,2484294235,2655594958,2795746668,2692995389,4645000000
3,Gross Profit,266075225,276561588,271977638,211997140,355098631,444424141,239325871,246758262,169963833,447887101,483484588,416965511,792324548,678060805,176200936,637897936,828109696,985092930,1140152333,1135365160,883482622,1100364556,1598409543,1836229745,937784685,1894664199,5873000000
4,Gross Profit Ratio,0.2433,0.2308,0.2082,0.1751,0.2333,0.2886,0.2439,0.2380,0.1461,0.2243,0.1570,0.1461,0.2366,0.2588,0.0706,0.2211,0.3061,0.3267,0.3495,0.3418,0.2990,0.3324,0.3915,0.4088,0.2512,0.4130,0.5584
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89153657,- -,- -,99902057,176914649,173746443,167117482,93680865,127222677,182107356,174739176,166121858,202327551,352000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,439112572,- -,- -,450832517,479478906,461132451,472063815,451830020,467971133,519284294,537433096,545828963,556008658,846000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528266228,- -,- -,550734574,656393555,634878894,639181297,545510885,595193810,701391650,712172272,711950822,758336209,1198000000
9,Other Expenses,119803505,133537653,151153040,147072204,139954292,258480827,121718238,114084901,163009632,208674530,318612020,80209334,956345552,275677896,356221946,381239002,220763957,201039374,158719724,146443154,158536849,146566476,205168986,336996982,322291716,275259575,730000000
