,https://roic.ai/company/RDCM,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,20700000,19121389,24720000,30580000,18680000,14590000,11200000,16060000,22340000,23540000,13500000,15240000,11920000,19170000,21990000,15790000,20480000,23636000,18673000,29510000,37233000,34050000,33010000,37562000,40282000
2,COGS,- -,4522509,7420000,10100000,8810000,5050000,4890000,5130000,7400000,7400000,5390000,6030000,4060000,6490000,6680000,6180000,7890000,8693000,4326000,8982000,10488000,8866000,9917000,10758000,11423000
3,Gross Profit,- -,14598880,17300000,20480000,9870000,9540000,6310000,10930000,14940000,16140000,8110000,9210000,7860000,12680000,15310000,9610000,12590000,14943000,14347000,20528000,26745000,25184000,23093000,26804000,28859000
4,Gross Profit Ratio,- -,0.7635,0.6998,0.6697,0.5284,0.6539,0.5634,0.6806,0.6688,0.6856,0.6007,0.6043,0.6594,0.6615,0.6962,0.6086,0.6147,0.6322,0.7683,0.6956,0.7183,0.7396,0.6996,0.7136,0.7164
5,Research and Development Exp.,- -,3150348,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5812000,6071000,8047000,10562000,15503000,18578000,17841000,19810000
6,General and Administrative Exp.,- -,- -,13760000,17500000,13950000,10320000,1619000,9163000,1689000,2554000,2391000,-7475700000,7480000,1539000,2238000,2105000,9640000,9432000,10109000,13023000,4191000,3391000,3674000,3836000,4184000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,7411000,7000,7881000,9196000,9279000,7486000000,- -,6971000,9962000,8515000,- -,125000,118000,28000,10996000,11426000,10514000,9709000,10358000
8,"Selling, General and Administrative Exp.",- -,10965519,14320416,18404671,13950000,10324000,9030000,9170000,9570000,11750000,11670000,10300000,7478000,8510000,12200000,10620000,9643000,9557000,10227000,13051000,15187000,14817000,14188000,13545000,14542000
9,Other Expenses,- -,1259159,5702769,7071496,7404000,4153000,3597000,3514000,4080000,4921000,5282000,4397000,2590000,2885000,4627000,4537000,4078000,-1664000,-1582000,-1693000,-1599000,-1648000,-1838000,- -,- -
10,Operating Expenses,- -,15375026,20023185,25476167,21354000,14477000,12627000,12684000,13650000,16671000,16952000,14697000,10068000,11395000,16827000,15157000,13721000,13705000,14716000,19405000,24150000,28672000,30928000,31386000,34352000
11,COGS and Expenses,- -,19897535,25210000,34660000,30880000,19540000,17520000,17810000,21050000,24070000,22350000,20720000,14130000,17880000,23510000,21340000,21610000,22398000,19042000,28387000,34638000,37538000,40845000,42144000,45775000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109000,4000,11000,20000,15000,49000,170000,229000,489000,572000,1455000,1775000,1133000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,418000,252000,733000,404000,108000,117000,40000,23000,23000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,1259159,1678292,1766627,1705000,1400000,1145000,797000,579000,603000,687000,610000,481000,294000,155000,119000,108000,87000,123000,286000,537000,657000,752000,699000,- -
15,EBITDA,100000,1755588,2048292,-1263373,-9745000,-3320000,-5085000,-883000,2109000,553000,-7893000,-4762000,-1917000,1597000,-1341000,-5643000,-1195000,1033000,-656000,2248000,3521000,-1695000,-5911000,-3073000,-5139000
16,EBITDA ratio,0.0048,0.0918,0.0829,-0.0413,-0.5217,-0.2276,-0.4540,-0.0550,0.0944,0.0235,-0.5847,-0.3125,-0.1608,0.0833,-0.0610,-0.3574,-0.0583,0.0437,-0.0351,0.0762,0.0946,-0.0498,-0.1791,-0.0818,-0.1276
17,Operating Income,20700000,-776146,-338657,-4078622,-11489000,-4933000,-6318000,-1756000,1292000,-526000,-8848000,-5484000,-2209000,1292000,-1520000,-5553000,-1129000,1238000,-369000,1123000,2595000,-3488000,-7835000,-4582000,-5493000
18,Operating Income ratio,1.0000,-0.0406,-0.0137,-0.1334,-0.6150,-0.3381,-0.5641,-0.1093,0.0578,-0.0223,-0.6554,-0.3598,-0.1853,0.0674,-0.0691,-0.3517,-0.0551,0.0524,-0.0198,0.0381,0.0697,-0.1024,-0.2374,-0.1220,-0.1364
19,Total Other Income Expenses (Gains),- -,1272575,708657,1048622,39000,213000,88000,76000,238000,476000,268000,-306000,-441000,-722000,-380000,-317000,-291000,-332000,-433000,816000,389000,1136000,1172000,810000,354000
20,Income Before Tax,- -,- -,370000,-3030000,-11450000,-4720000,-6230000,-1680000,1530000,-50000,-8580000,-5790000,-2650000,570000,-1900000,-5870000,-1420000,906000,-802000,1939000,2984000,-2352000,-6663000,-3772000,-5139000
21,Income Before Tax Ratio,- -,- -,0.0150,-0.0991,-0.6130,-0.3235,-0.5563,-0.1046,0.0685,-0.0021,-0.6356,-0.3799,-0.2223,0.0297,-0.0864,-0.3718,-0.0693,0.0383,-0.0429,0.0657,0.0801,-0.0691,-0.2018,-0.1004,-0.1276
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000,- -,180000,121000,24000,83000,63000,169000,220000,124000
23,Net Income,100000,496429,370000,-3030000,-11450000,-4720000,-6230000,-1680000,1530000,-50000,-8580000,-5790000,-2650000,570000,-1900000,-5990000,-1420000,726000,-923000,1915000,2901000,-2415000,-6832000,-3992000,-5263000
24,Net Income ratio,0.0048,0.0260,0.0150,-0.0991,-0.6130,-0.3235,-0.5563,-0.1046,0.0685,-0.0021,-0.6356,-0.3799,-0.2223,0.0297,-0.0864,-0.3794,-0.0693,0.0307,-0.0494,0.0649,0.0779,-0.0709,-0.2070,-0.1063,-0.1307
25,EPS,0.08,0.20,0.12,-1.17,-4.36,-1.80,-2.37,-0.50,0.40,-0.01,-2.10,-1.16,-0.52,0.11,-0.30,-0.93,-0.19,0.09,-0.11,0.18,0.24,-0.18,-0.50,-0.29,-0.37
26,EPS Diluted,0.08,0.20,0.12,-1.17,-4.36,-1.80,-2.37,-0.50,0.40,-0.01,-2.10,-1.16,-0.52,0.10,-0.30,-0.93,-0.19,0.08,-0.11,0.18,0.23,-0.18,-0.50,-0.29,-0.37
27,Weighted Average Shares Outstanding,1250000,2511952,2770046,2584319,2627947,2623012,2623296,3363377,3674022,3973509,4084789,4995586,5081986,5373515,6367560,6442068,7340056,8088974,8572681,10406897,12039176,13630793,13779885,13927788,14124404
28,Weighted Average Shares Outstanding Diluted,1250000,2511952,2770046,2584319,2627947,2623012,2623296,3363377,3890396,3973509,4084789,4995586,5081986,5829665,6367560,6442068,7340056,8592387,8572681,10779547,12351566,13630793,13779885,13927788,14124404
