,https://roic.ai/company/WK,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,14864000,52938000,85151000,112694000,145272000,178646000,207869000,244344000,297891000,351594000,443285000
2,COGS,6395000,19042000,24287000,33878000,40204000,51625000,60245000,65860000,85012000,90177000,103833000
3,Gross Profit,8469000,33896000,60864000,78816000,105068000,127021000,147624000,178484000,212879000,261417000,339452000
4,Gross Profit Ratio,0.5698,0.6403,0.7148,0.6994,0.7233,0.7110,0.7102,0.7305,0.7146,0.7435,0.7658
5,Research and Development Exp.,6865000,18385000,33400000,44145000,50466000,57438000,68172000,81602000,89921000,94844000,115735000
6,General and Administrative Exp.,5306000,16177000,14402000,19783000,28716000,32695000,39594000,56333000,48380000,59688000,74287000
7,Selling and Marketing Exp.,10657000,27537000,40824000,53498000,69569000,80466000,84161000,90337000,120300000,144687000,178785000
8,"Selling, General and Administrative Exp.",15963000,43714000,55226000,73281000,98285000,113161000,123755000,146670000,168680000,204375000,253072000
9,Other Expenses,- -,- -,- -,- -,-1638000,- -,- -,- -,- -,- -,- -
10,Operating Expenses,22828000,62099000,88626000,117426000,147113000,170599000,191927000,228272000,258601000,299219000,368807000
11,COGS and Expenses,29223000,81141000,112913000,151304000,187317000,222224000,252172000,294132000,343613000,389396000,472640000
12,Interest Income ,- -,98000,220000,73000,151000,286000,586000,1278000,4657000,3282000,1041000
13,Interest Expense (Gain),268000,1521000,366000,2044000,2025000,1875000,1845000,1827000,6366000,13964000,14015000
14,Depreciation and Amortization,- -,1039000,2373000,3877000,4410000,3820000,3546000,3781000,4160000,4296000,5244000
15,EBITDA,-14341000,-28025000,-25285000,-35201000,-36971000,-38258000,-38974000,-44216000,-37469000,-30429000,-19841000
16,EBITDA ratio,-0.9648,-0.5294,-0.2969,-0.3124,-0.2545,-0.2142,-0.1875,-0.1810,-0.1258,-0.0865,-0.0448
17,Operating Income,-14359000,-28203000,-27762000,-38610000,-43683000,-43578000,-44303000,-49788000,-45722000,-37802000,-29355000
18,Operating Income ratio,-0.9660,-0.5328,-0.3260,-0.3426,-0.3007,-0.2439,-0.2131,-0.2038,-0.1535,-0.1075,-0.0662
19,Total Other Income Expenses (Gains),-250000,-2382000,-262000,-2512000,277000,-375000,-62000,-36000,-2273000,-10887000,-9745000
20,Income Before Tax,-14609000,-30585000,-28024000,-41122000,-43406000,-43953000,-44365000,-49824000,-47995000,-48689000,-39100000
21,Income Before Tax Ratio,-0.9828,-0.5778,-0.3291,-0.3649,-0.2988,-0.2460,-0.2134,-0.2039,-0.1611,-0.1385,-0.0882
22,Income Tax expense (Gain),- -,- -,- -,32000,-7000,24000,61000,247000,139000,-291000,-1370000
23,Net Income,-14609000,-30585000,-28024000,-41154000,-43399000,-43977000,-44426000,-50071000,-48134000,-48398000,-37730000
24,Net Income ratio,-0.9828,-0.5778,-0.3291,-0.3652,-0.2987,-0.2462,-0.2137,-0.2049,-0.1616,-0.1377,-0.0851
25,EPS,-0.45,-0.95,-0.88,-1.28,-1.09,-1.08,-1.07,-1.15,-1.04,-1.00,-0.78
26,EPS Diluted,-0.45,-0.95,-0.88,-1.28,-1.09,-1.08,-1.07,-1.15,-1.04,-1.00,-0.78
27,Weighted Average Shares Outstanding,32203344,32203344,31746911,32156060,39852624,40671133,41618838,43640408,46302656,48448166,48448166
28,Weighted Average Shares Outstanding Diluted,32203344,32203344,31746911,32156060,39852624,40671133,41618838,43640408,46302656,48448166,48448166
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1445305/000144530516000085/0001445305-16-000085-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530517000008/0001445305-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530518000054/0001445305-18-000054-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530519000032/0001445305-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530520000037/0001445305-20-000037-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530521000035/0001445305-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1445305/000144530522000041/0001445305-22-000041-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,24979000,15515000,101131000,58750000,51281000,60333000,77584000,381742000,322831000,300386000
32,Short-Term Investments,- -,5200000,2436000,- -,17420000,11435000,16364000,20764000,106214000,207207000,230060000
33,Cash and Short-Term Investments,- -,30179000,17951000,101131000,76170000,62716000,76697000,98348000,487956000,530038000,530446000
34,Net Receivables,- -,5337000,16741000,11415000,16465000,24080000,29775000,66288000,62660000,68922000,80386000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1831000,1192000,3995000,5243000,11246000,8820000,12595000,20616000,34125000,46260000
37,Total Current Assets,- -,37347000,35884000,116541000,97878000,98042000,115292000,177231000,571232000,633085000,657092000
38,PP&E,- -,15561000,34715000,46265000,44410000,42590000,40444000,41468000,55097000,29365000,46581000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34556000
40,Intangible Assets,- -,- -,167000,549000,896000,1012000,1118000,1266000,1651000,1583000,10434000
41,Intangible Assets,- -,- -,167000,549000,896000,1012000,1118000,1266000,1651000,1583000,44990000
42,Investments,- -,- -,2368000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,614000,810000,1196000,711000,1499000,861000,11146000,18416000,42973000,38096000
45,Total Non-Current Assets,- -,16175000,38060000,48010000,46017000,45101000,42423000,53880000,75164000,73921000,129667000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,53522000,73944000,164551000,143895000,143143000,157715000,231111000,646396000,707006000,786759000
48,Accounts Payable,- -,2396000,3993000,3011000,5138000,849000,3060000,5461000,7057000,2843000,4114000
49,Short-Term Debt,- -,185000,3026000,2025000,1826000,1305000,1168000,1222000,4392000,6246000,306244000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,17120000,27367000,44929000,56726000,77038000,104901000,155940000,185768000,208990000,284540000
52,Other Current Liabilities,- -,6703000,8939000,16765000,20394000,20695000,20212000,28958000,34715000,63715000,51601000
53,Total Current Liabilities,- -,26404000,43325000,66730000,84084000,99887000,129341000,191581000,231932000,281794000,646499000
54,Long-Term Debt,- -,2796000,4513000,91000,73000,53000,- -,- -,280601000,17209000,31495000
55,Deferred Revenue,- -,1045000,9018000,17095000,9593000,22485000,22987000,25171000,32569000,35894000,34181000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,9257000,20482000,24816000,24426000,23843000,22321000,24099000,35951000,1680000,1605000
58,Total Non-Current Liabilities,- -,13098000,34013000,42002000,34092000,46381000,45308000,49270000,349121000,54783000,67281000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,415718000,- -
60,Capital Lease Obligations,- -,9190000,20870000,24688000,22891000,21028000,19593000,18430000,38845000,40117000,39078000
61,Total Liabilities,- -,39502000,77338000,108732000,118176000,146268000,174649000,240851000,581053000,642729000,713780000
62,Preferred Stock,- -,13078000,-7606000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,-2664000,482000,39000,41000,41000,42000,44000,47000,41000,51000
64,Retained Earnings,- -,- -,- -,-133535000,-176934000,-220911000,-265337000,-307027000,-355161000,- -,-452430000
65,Other Comprehensive Income/Loss,- -,-42000,-142000,147000,241000,291000,72000,98000,287000,230000,-288000
66,Other Total Stockholders Equity,- -,3648000,3872000,189168000,202371000,217454000,248289000,297145000,420170000,64006000,525646000
67,Total Stockholders Equity,- -,14020000,-3394000,55819000,25719000,-3125000,-16934000,-9740000,65343000,64277000,72979000
68,Total Liabilities And Stockholders Equity,- -,53522000,73944000,164551000,143895000,143143000,157715000,231111000,646396000,707006000,786759000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,53522000,73944000,164551000,143895000,143143000,157715000,231111000,646396000,707006000,786759000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1445305/000144530516000085/0001445305-16-000085-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530517000008/0001445305-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530518000054/0001445305-18-000054-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530519000032/0001445305-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530520000037/0001445305-20-000037-index.html,https://www.sec.gov/Archives/edgar/data/1445305/000144530521000035/0001445305-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1445305/000144530522000041/0001445305-22-000041-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-30585000,-28024000,-41154000,-43399000,-43977000,-44426000,-50071000,-48134000,-48398000,-37730000
74,Depreciation and Amortization,- -,1039000,2373000,3877000,4410000,3820000,3546000,3781000,4160000,4296000,5244000
75,Deferred Income Tax,- -,- -,- -,- -,-76000,-32000,- -,-9000,-65000,- -,-1973000
76,Stock Based Compensation,- -,8129000,3370000,7385000,11000000,14247000,19476000,30841000,35784000,45771000,48633000
77,Change in Working Capital,- -,13986000,-18384000,57252000,-36017000,-15639000,-12204000,-301000,353650000,11991000,27298000
78,Accounts Receivable,- -,1014000,-8647000,2602000,-5080000,-7101000,-5546000,-20216000,5166000,-8028000,-7683000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,827000,1598000,-1530000,2331000,-3930000,2206000,1699000,2153000,-4106000,972000
81,Other Working Capital,- -,10943000,-7441000,49811000,13794000,-1845000,-14049000,-14350000,339300000,351291000,28212000
82,Other Non-Cash Items,- -,1668000,31733000,-30865000,42490000,31212000,39128000,22159000,-314829000,19583000,8372000
83,Cash Provided by Operating Activities,- -,-5763000,-8932000,-3505000,-21592000,-10369000,5520000,6400000,30566000,33243000,49844000
84,CAPEX,- -,-5685000,-9672000,-8960000,-2229000,-2091000,-1385000,-1373000,-3838000,-1873000,-3753000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37467000
86,Purchases of Investments,- -,-5240000,-920000,- -,-24069000,-1301000,-14369000,-24659000,-112565000,-175926000,-170070000
