,https://roic.ai/company/YVR,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,7409178,2005013,30413625,36171397,46588106,49234136,35643283,40169133,45229394,78498873,66001257,70279875,55376925,42465028,44710366,53557831,30502354,28195650,20526233,18909031,18404052,17240342,15313468,13372964,11011204,1212529,687381,429236,47317
2,COGS,- -,956023,877193,7569613,30328325,40559057,42396061,31241125,43038357,45997096,77574263,51403559,56403032,42142633,29049666,30341990,39205643,22888856,19071688,11317750,11673948,11287079,10832783,8408558,7912307,7856351,1349734,758749,1985804,763184
3,Gross Profit,- -,6453155,1127820,22844012,5843072,6029049,6838075,4402158,-2869224,-767702,924609,14597698,13876844,13234292,13415362,14368376,14352189,7613498,9123962,9208483,7235083,7116973,6407559,6904910,5460657,3154853,-137205,-71368,-1556568,-715867
4,Gross Profit Ratio,- -,0.8710,0.5625,0.7511,0.1615,0.1294,0.1389,0.1235,-0.0714,-0.0170,0.0118,0.2212,0.1975,0.2390,0.3159,0.3214,0.2680,0.2496,0.3236,0.4486,0.3826,0.3867,0.3717,0.4509,0.4083,0.2865,-0.1132,-0.1038,-3.6264,-15.1292
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,430632
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5981054,4171637,4607838
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1166568,2102152
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5981054,5338205,6709990
9,Other Expenses,- -,1673040,1879699,4325493,4869226,8906550,8752735,7810281,1812141,2447339,2740144,11767121,14846559,15459421,11766007,12512221,16158822,13637331,10717348,7071003,6563578,5332762,5421420,5435786,5198689,4969301,3262175,377312,439787,323648
10,Operating Expenses,- -,1673040,1879699,4325493,4869226,8906550,8752735,7810281,1812141,2447339,2740144,11767121,14846559,15459421,11766007,12512221,16158822,13637331,10717348,7071003,6563578,5332762,5421420,5435786,5198689,4969301,3262175,6358366,5777992,7464270
11,COGS and Expenses,- -,2629063,2756892,11895106,35197551,49465607,51148796,39051406,44850498,48444435,80314407,63170680,71249591,57602054,40815673,42854211,55364464,36526186,29789036,18388753,18237526,16619841,16254203,13844344,13110996,12825652,4611909,7117115,7763796,8227454
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90002,33545,5066,15997,8216,2908,7012,11965,4900,- -,53548,68867,67922
13,Interest Expense (Gain),- -,- -,125313,270343,278242,411072,547046,568020,1208094,823952,1238366,1003582,614329,453168,388882,390838,545082,540563,464569,229557,167408,115627,18165,9474,1355,85,- -,133915,389922,224542
14,Depreciation and Amortization,- -,358509,375940,540687,1530328,1918334,2324945,1420051,1812141,2447339,2740144,2029642,1524399,1592195,1183955,1082675,1089166,688055,767798,728993,701389,676464,656554,753210,723610,705024,634692,621440,1921351,735649
15,EBITDA,- -,4302103,-626567,19194377,-5008347,-9865716,-2598469,-5822210,1208094,2336511,5846300,5179207,-9117352,-1489104,2589433,24293,-4207123,-4040054,-792043,2871539,1550232,2436052,1572675,2181387,1169512,-1034829,-5874997,-6780773,-5432687,-5270818
16,EBITDA ratio,- -,0.5806,-0.3125,0.6311,-0.1385,-0.2118,-0.0528,-0.1633,0.0301,0.0517,0.0745,0.0785,-0.1297,-0.0269,0.0610,0.0005,-0.0786,-0.1325,-0.0281,0.1399,0.0820,0.1324,0.0912,0.1424,0.0875,-0.0940,-4.8452,-9.8647,-12.6566,-111.3937
17,Operating Income,- -,4780115,751880,18518519,973845,2877501,1914661,3408123,4681365,3215041,1815534,2830577,969715,2225129,1649355,1856155,1806633,6023833,- -,- -,671505,1784210,986139,1469124,261968,1814448,3399380,-2149134,- -,- -
