,https://roic.ai/company/OSS,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,14229776,18879321,27538333,37027382,58308019,51895388,61982104
2,COGS,10246122,13365615,18873797,25692658,38905756,35460774,42342815
3,Gross Profit,3983654,5513706,8664536,11334724,19402263,16434614,19639289
4,Gross Profit Ratio,0.2800,0.2921,0.3146,0.3061,0.3328,0.3167,0.3169
5,Research and Development Exp.,1095919,1599585,2687249,4001757,4843554,4319759,4032616
6,General and Administrative Exp.,1324765,2146624,3502998,6513298,8501572,8418358,7658418
7,Selling and Marketing Exp.,1367856,1987358,2924727,3995258,5138762,4120778,- -
8,"Selling, General and Administrative Exp.",2692621,4133982,6427725,10508556,13640334,12539136,7658418
9,Other Expenses,- -,- -,- -,- -,- -,- -,6201228
10,Operating Expenses,3788540,5733567,9114974,14510313,18483888,16858895,17892262
11,COGS and Expenses,14034662,19099182,27988771,40202971,57389644,52319669,60235077
12,Interest Income ,- -,- -,- -,- -,- -,418379,244382
13,Interest Expense (Gain),128370,152877,199257,65693,165560,550774,-527139
14,Depreciation and Amortization,156945,437036,836274,1350329,1655288,-53838,557
15,EBITDA,345694,222539,729434,-1117040,1157763,-113352,2411866
16,EBITDA ratio,0.0243,0.0118,0.0265,-0.0302,0.0199,-0.0022,0.0389
17,Operating Income,195114,-219861,-450438,-3175589,-779019,-424281,1747027
18,Operating Income ratio,0.0137,-0.0116,-0.0164,-0.0858,-0.0134,-0.0082,0.0282
19,Total Other Income Expenses (Gains),-134735,-147513,-168817,206185,115934,-186007,1191421
20,Income Before Tax,60379,-367374,-619255,-2969404,-663085,-610288,2938448
21,Income Before Tax Ratio,0.0042,-0.0195,-0.0225,-0.0802,-0.0114,-0.0118,0.0474
22,Income Tax expense (Gain),43729,-182937,-402717,-1396784,237252,-603744,605675
23,Net Income,16650,-184437,96620,-1136278,-900337,-6544,2332773
24,Net Income ratio,0.0012,-0.0098,0.0035,-0.0307,-0.0154,-0.0001,0.0376
25,EPS,0.00,-0.02,0.01,-0.09,-0.06,-0.00,0.13
26,EPS Diluted,0.00,-0.02,0.01,-0.09,-0.06,-0.00,0.12
27,Weighted Average Shares Outstanding,7819553,7819553,11418948,12586513,15148613,16512203,18305878
28,Weighted Average Shares Outstanding Diluted,7819553,7819553,11418948,12586513,15148613,16512203,19503737
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1394056/000156459019008790/0001564590-19-008790-index.html,https://www.sec.gov/Archives/edgar/data/1394056/000156459020013196/0001564590-20-013196-index.html,https://www.sec.gov/Archives/edgar/data/1394056/000156459021015480/0001564590-21-015480-index.htm,https://www.sec.gov/Archives/edgar/data/1394056/000156459022011679/0001564590-22-011679-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,25074,14197,185717,2272256,5185321,6316921,5101174
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,14535750
33,Cash and Short-Term Investments,25074,14197,185717,2272256,5185321,6316921,19636924
34,Net Receivables,2994117,4936938,5192730,10540150,11667157,7458383,5089804
35,Inventory,2831833,3220968,3696330,6823930,7369356,9647504,12277873
36,Other Current Assets,77770,133964,978428,666330,453938,655708,580651
37,Total Current Assets,5928794,8306067,10053205,20302666,24675772,24078516,37585252
38,PP&E,626490,720355,1581814,1759086,3568564,3487178,3091415
39,Goodwill,1776770,3324128,3324128,7914211,7120510,7120510,7120510
40,Intangible Assets,- -,1004049,608405,3525257,1346192,662257,105385
41,Intangible Assets,1776770,4328177,3932533,11439468,8466702,7782767,7225895
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,937656,901833,1318447,2505632,3019823,3698593,3641032
44,Other Non-Current Assets,9538,27739,31215,49966,47146,81709,46845
45,Total Non-Current Assets,3350454,5978104,6864009,15754152,15102235,15050247,14005187
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9279248,14284171,16917214,36056818,39778007,39128763,51590439
48,Accounts Payable,1642890,2626559,3904613,3708865,4115977,976420,2059059
49,Short-Term Debt,- -,- -,- -,1579875,1939192,3354359,1137651
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,166171,761315,1033845,1135470,1260126,- -,- -
52,Other Current Liabilities,2769627,3951166,5011022,2795248,3347306,3481444,6435013
53,Total Current Liabilities,4578688,7339040,9949480,9219458,10662601,7812223,9631723
54,Long-Term Debt,606800,1124386,347963,265038,349244,2030707,1450874
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,606800,1124386,347963,265038,349244,2030707,1450874
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,5185488,8463426,10297443,9484496,11011845,9842930,9631723
62,Preferred Stock,2416527,2416527,2416527,- -,- -,- -,- -
63,Common Stock,395927,2170110,551,1422,1612,1668,1877
64,Retained Earnings,369240,184803,281423,-854855,-1755192,-1761736,571037
65,Other Comprehensive Income/Loss,-993333,-1247734,-1688363,-1880167,-2508025,287547,153361
66,Other Total Stockholders Equity,1905399,2297039,5172791,29305422,33027267,30758354,41232441
67,Total Stockholders Equity,4093760,5820745,6182929,26571822,28765662,29285833,41958716
68,Total Liabilities And Stockholders Equity,9279248,14284171,16480372,36056318,39777507,39128763,51590439
69,Minority Interest,- -,- -,436842,500,500,- -,- -
70,Total Liabilities & Equity,9279248,14284171,16917214,36056818,39778007,39128763,51590439
