,https://roic.ai/company/FLXT,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,870000,260000,1920000,770000,350000,20000,60000,30000,350000,10000,100000,30000,180000,60000,100000,70000,50000,100000,270280,138350,314490,340600,267770,833040,99438,- -
2,COGS,- -,- -,- -,470000,90000,820000,360000,120000,40000,10000,- -,90000,10000,10000,10000,10000,10000,20000,10000,10000,20000,8960,6710,23060,41380,37260,63480,35468,31400
3,Gross Profit,- -,- -,- -,400000,170000,1100000,410000,230000,-20000,50000,30000,260000,- -,90000,20000,170000,50000,80000,60000,40000,80000,261320,131640,291430,299220,230510,769560,63970,-31400
4,Gross Profit Ratio,- -,- -,- -,0.4598,0.6538,0.5729,0.5325,0.6571,-1.0000,0.8333,1.0000,0.7429,- -,0.9000,0.6667,0.9444,0.8333,0.8000,0.8571,0.8000,0.8000,0.9668,0.9515,0.9267,0.8785,0.8609,0.9238,0.6433,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,590000,1380000,3340000,2120000,- -,- -,- -,- -,480000,490000,490000,500000,450000,330000,270000,250000,240000,273190,279140,318450,319760,312190,271380,283471,262984
6,General and Administrative Exp.,- -,- -,- -,1810000,1060000,1950000,3920000,4240000,1220000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,896003,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,538959000000,576300,- -
8,"Selling, General and Administrative Exp.",- -,- -,2133,1810000,1060000,1953432,3915562,4240000,1218517,333260,112860,3179917,1219600,2006364,1566991,1275820,970485,939009,1017156,845843,681801,697497,896003,878584,735269,646696,538959,576300,- -
9,Other Expenses,- -,- -,51,-10000,10000,2101,-84,2360000,-51211,-20287,- -,96082,127524,154521,147955,137108,123287,108229,104623,108157,104661,104219,101387,82929,49716,32011,16285,35468,660539
10,Operating Expenses,- -,- -,2184,1800000,1660000,3335533,7255478,8720000,1167306,312973,112860,3275999,1827124,2650885,2204946,1912928,1543772,1377238,1391779,1204000,1026462,1074906,1276530,1279963,1104745,990897,826624,895239,923523
11,COGS and Expenses,- -,- -,2184,2270000,1750000,4160000,7610000,8840000,1310000,360000,150000,3360000,1840000,2660000,2520000,2170000,1560000,1390000,1660000,1420000,1020000,1078580,1451520,1303930,1030940,1028150,742460,895239,923523
12,Interest Income ,- -,- -,- -,- -,- -,22177,- -,- -,2541,- -,- -,- -,59544,40334,21831,9691,325,65,30,54,64,4374,6396,47,47,47,2087,284,3
13,Interest Expense (Gain),- -,- -,- -,-20000,-40000,17157,- -,-6780000,- -,- -,29730,1568823,7231,- -,- -,13286,190096,516539,33809,47993,149353,175396,1591993,1068389,332616,316980,283975,255185,96983
14,Depreciation and Amortization,- -,- -,56,110000,170000,227233,497675,610000,81625,19836,2703,1717063,309910,317250,318534,274847,248120,228339,216410,180487,183284,163596,101389,83307,51952,34249,18524,2239,1451
15,EBITDA,- -,- -,-2128,-1330000,-1410000,-1975610,-8302325,-21480000,-1368375,-310164,-117567,-1224114,-1452859,-2192750,-2141466,-1711867,-1251784,-1095122,-1369781,-821520,-627363,-640328,-1048648,-941484,-699072,-554861,-272561,-349642,-711823
16,EBITDA ratio,- -,- -,-Infinity,-1.5287,-5.4231,-1.0290,-10.7822,-61.3714,-68.4188,-5.1694,-3.9189,-3.4975,-145.2859,-21.9275,-71.3822,-9.5104,-20.8631,-10.9512,-19.5683,-16.4304,-6.2736,-2.3691,-7.5797,-2.9937,-2.0525,-2.0722,-0.3272,-3.5162,-Infinity
17,Operating Income,- -,- -,-2184,-1410000,-1490000,-2239836,-6838927,-8490000,-1245772,-276487,-84523,-3113253,-1822221,-2557058,-2184544,- -,- -,- -,- -,-1421028,-945217,-813580,-1144890,-988524,-805522,-760388,-57072,-795801,-713274
18,Operating Income ratio,- -,- -,-Infinity,-1.6207,-5.7308,-1.1666,-8.8817,-24.2571,-62.2886,-4.6081,-2.8174,-8.8950,-182.2221,-25.5706,-72.8181,- -,- -,- -,- -,-28.4206,-9.4522,-3.0101,-8.2753,-3.1433,-2.3650,-2.8397,-0.0685,-8.0030,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,-10000,-50000,19836,-1961073,-6870000,-404228,-53513,-65477,-1396747,52221,47058,-275456,- -,-200000,-540000,-40000,371028,-14783,-165740,-1597140,-1104656,-278118,-145702,-517988,188735,25572
20,Income Before Tax,- -,- -,- -,-1420000,-1540000,-2220000,-8800000,-15360000,-1650000,-330000,-150000,-4510000,-1770000,-2510000,-2460000,-2000000,-1690000,-1840000,-1620000,-1050000,-960000,-979320,-2742030,-2093180,-1083640,-906090,-575060,-607066,-687702
21,Income Before Tax Ratio,- -,- -,- -,-1.6322,-5.9231,-1.1563,-11.4286,-43.8857,-82.5000,-5.5000,-5.0000,-12.8857,-177.0000,-25.1000,-82.0000,-11.1111,-28.1667,-18.4000,-23.1429,-21.0000,-9.6000,-3.6234,-19.8195,-6.6558,-3.1816,-3.3838,-0.6903,-6.1050,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-2184,-1420000,-1540000,-2220000,-8800000,-15310000,-1450000,-330000,-150000,-4510000,-1770000,-2510000,-2460000,-2000000,-1690000,-1840000,-1620000,-1050000,-960000,-979320,-2742030,-2093180,-1083640,-906090,-575060,-607066,-687702
24,Net Income ratio,- -,- -,-Infinity,-1.6322,-5.9231,-1.1563,-11.4286,-43.7429,-72.5000,-5.5000,-5.0000,-12.8857,-177.0000,-25.1000,-82.0000,-11.1111,-28.1667,-18.4000,-23.1429,-21.0000,-9.6000,-3.6234,-19.8195,-6.6558,-3.1816,-3.3838,-0.6903,-6.1050,-Infinity
25,EPS,- -,- -,-0.04,-0.84,-0.93,-1.12,-3.78,-3.35,-0.14,-0.03,-0.01,-0.24,-0.08,-0.11,-0.10,-0.08,-0.07,-0.07,-0.04,-0.03,-0.02,-0.02,-0.04,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01
26,EPS Diluted,- -,- -,-0.04,-0.84,-0.93,-1.12,-3.78,-3.35,-0.14,-0.03,-0.01,-0.24,-0.08,-0.11,-0.10,-0.08,-0.07,-0.07,-0.04,-0.03,-0.02,-0.02,-0.04,-0.03,-0.01,-0.01,-0.01,-0.01,-0.01
27,Weighted Average Shares Outstanding,- -,- -,60657,1690000,1660000,2037131,2526313,4570000,10759046,10933518,10933518,18503026,22596558,23147008,24003846,24792887,24921627,28190693,36118668,39770710,48229045,53377114,60339443,72404678,93503090,92863464,96954697,99713464,99713464
28,Weighted Average Shares Outstanding Diluted,- -,- -,60657,1690000,1660000,2037131,2526313,4570000,10759046,10933518,10933518,18503026,22596558,23147008,24003846,24792887,24921627,28190693,36118668,39770710,48229045,53377114,60339443,72404678,93503090,92863464,96954697,99713464,99713464
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925660/000102317509000064/0001023175-09-000064-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/925660/000154812313000487/0001548123-13-000487-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812314000103/0001548123-14-000103-index.html,https://www.sec.gov/Archives/edgar/data/925660/000154812315000088/0001548123-15-000088-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812316000534/0001548123-16-000534-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812317000080/0001548123-17-000080-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812318000090/0001548123-18-000090-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812319000057/0001548123-19-000057-index.html,https://www.sec.gov/Archives/edgar/data/925660/000154812320000038/0001548123-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000101041221000004/0001010412-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/925660/000154812322000042/0001548123-22-000042-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,110000,657775,134642,- -,163336,8402,2051,54358,1964487,768220,1058135,178158,12680,6027,7294,55828,47051,18307,22706,- -,12832,17798,170004,- -,402
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,110000,657775,134642,- -,163336,8402,2051,54358,1964487,768220,1058135,178158,12680,6027,7294,55828,47051,18307,22706,- -,12832,17798,170004,- -,402
34,Net Receivables,- -,- -,- -,- -,490000,2024906,36656,- -,- -,- -,- -,749,- -,1263,6933,32551,11451,36600,21719,7688,31425,108361,185363,84499,47254,16153,26471,8173000,8918
35,Inventory,- -,- -,- -,- -,- -,42691,174750,- -,- -,- -,- -,- -,- -,- -,- -,10016,9265,9440,8178,5667,6584,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,50915,29323,- -,- -,- -,- -,- -,34661,32808,27224,30717,11882,11889,11713,- -,- -,11889,11949,9348,10144,12451,26517,14634000,512
37,Total Current Assets,- -,- -,- -,- -,600000,2776287,375371,- -,163336,8402,2051,55107,1999148,802291,1092292,251442,45278,63956,48904,69183,85060,138557,220018,93847,70230,46402,222992,22807000,9832
38,PP&E,- -,- -,- -,- -,720000,885468,2556479,- -,214352,- -,- -,1311139,1238404,1076383,792535,560161,441579,320673,211890,135639,59378,- -,- -,10823,8584,6344,3690,- -,- -
39,Goodwill,- -,- -,- -,- -,70000,41931,17970,- -,- -,- -,- -,- -,5356414,5356414,5356414,5356414,5356414,5356414,5105664,4896917,4896917,4896917,4896917,4896917,4896917,4896917,4896917,4896917000,4896917
40,Intangible Assets,- -,- -,- -,- -,80000,101331,119921,- -,7893,4303,1561,7183915,1703683,1550716,1216233,929237,802244,692373,584747,480511,373489,278500,179292,96358,48295,16285,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,150000,143262,137891,- -,7893,4303,1561,7183915,7060097,6907130,6572647,6285651,6158658,6048787,5690411,5377428,5270406,5175417,5076209,4993275,4945212,4913202,4896917,4896917000,4896917
42,Investments,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,-10000,246441,54549,- -,12000,- -,- -,6500,6500,6500,6500,6500,6500,10500,16500,16500,6550,6550,6550,6550,6550,6550,6550,- -,13624
