,https://roic.ai/company/NRIS,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,172890,149351,131943,499074,573016,280160
2,COGS,- -,- -,293877,158150,24146,210625,771837,787714
3,Gross Profit,- -,- -,-120987,-8799,107797,288449,-198821,-507554
4,Gross Profit Ratio,- -,- -,-0.6998,-0.0589,0.8170,0.5780,-0.3470,-1.8117
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,60000,- -,- -,- -,1273147,878051,577066,313515
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",60000,- -,- -,- -,1273147,878051,577066,313515
9,Other Expenses,- -,80523,179174,1729943,- -,- -,- -,- -
10,Operating Expenses,60000,80523,179174,1729943,1273147,878051,577066,313515
11,COGS and Expenses,60000,80523,473051,1888093,1428919,1368491,2080663,1101229
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,1000,23648,52268,73295,92526
14,Depreciation and Amortization,- -,- -,- -,4940,- -,- -,- -,235001
15,EBITDA,-60000,-80523,-300161,-1743478,-2525298,-869417,-2824837,-782265
16,EBITDA ratio,-Infinity,-Infinity,-1.7361,-11.6737,-19.1393,-1.7421,-4.9298,-2.7922
17,Operating Income,-60000,-80523,-300161,-1738742,-1296976,-869417,-2827091,-1017266
18,Operating Income ratio,-Infinity,-Infinity,-1.7361,-11.6420,-9.8298,-1.7421,-4.9337,-3.6310
19,Total Other Income Expenses (Gains),- -,- -,- -,-10676,-1251970,-52268,-71041,-92526
20,Income Before Tax,-60000,-80523,-300161,-1749418,-2548946,-921685,-2898132,-1109792
21,Income Before Tax Ratio,-Infinity,-Infinity,-1.7361,-11.7135,-19.3185,-1.8468,-5.0577,-3.9613
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-60000,-80523,-300161,-1749418,-2548946,-921685,-2898132,-1109792
24,Net Income ratio,-Infinity,-Infinity,-1.7361,-11.7135,-19.3185,-1.8468,-5.0577,-3.9613
25,EPS,-0.00,-0.00,-0.01,-0.04,-0.03,-0.01,-0.03,-0.01
26,EPS Diluted,-0.00,-0.00,-0.01,-0.04,-0.03,-0.01,-0.03,-0.01
27,Weighted Average Shares Outstanding,43480000,43453190,44131230,46416182,89211013,89443013,89738095,90883013
28,Weighted Average Shares Outstanding Diluted,43480000,43453190,44131230,46416182,89211013,89443013,89738095,90883013
