,https://roic.ai/company/IONI,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,2033072,9222880,9206360,7091650,7954020,10471502,16199710
2,COGS,- -,- -,1440538,4722090,6199390,5259400,5519930,6078030,10834719
3,Gross Profit,- -,- -,592534,4500790,3006970,1832250,2434090,4393472,5364991
4,Gross Profit Ratio,- -,- -,0.2914,0.4880,0.3266,0.2584,0.3060,0.4196,0.3312
5,Research and Development Exp.,- -,- -,- -,1387070,670710,329370,838240,999209,1500217
6,General and Administrative Exp.,- -,626614,588147,985825,1073856,1934899,1871818,1697377,2058481
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,777022,849827,1298350,1370387,1934899,1871818,1697377,2058481
9,Other Expenses,- -,- -,- -,-1387070,-670710,-4,-6394,-15487,- -
10,Operating Expenses,- -,777022,849827,1298350,1370387,2264265,2703664,2681099,3558698
11,COGS and Expenses,- -,2833,2217560,8195440,8619680,7523660,8446190,8759129,14393417
12,Interest Income ,- -,- -,- -,- -,- -,- -,52104,45405,45521
13,Interest Expense (Gain),- -,1928,12197,23252,63138,22763,48041,23507,13057
14,Depreciation and Amortization,- -,- -,189498,90896,182421,76818,240053,140985,108500
15,EBITDA,- -,-2833,347738,1176378,411569,-241669,-148336,1871510,1807025
16,EBITDA ratio,- -,-Infinity,0.1710,0.1275,0.0447,-0.0341,-0.0186,0.1787,0.1115
17,Operating Income,- -,-184488,-354138,-932106,-1383138,-432017,-275971,1696886,1806293
18,Operating Income ratio,- -,-Infinity,-0.1742,-0.1011,-0.1502,-0.0609,-0.0347,0.1620,0.1115
19,Total Other Income Expenses (Gains),- -,181655,500181,1958036,1603158,124447,-155479,10563,-120825
20,Income Before Tax,- -,-2833,146043,1025930,220020,-307570,-431450,1707449,1685468
21,Income Before Tax Ratio,- -,-Infinity,0.0718,0.1112,0.0239,-0.0434,-0.0542,0.1631,0.1040
22,Income Tax expense (Gain),- -,- -,25395,121780,146900,-423090,276020,86570,-306780
23,Net Income,- -,-2833,120648,940450,19110,81840,-712450,1620448,1992248
24,Net Income ratio,- -,-Infinity,0.0593,0.1020,0.0021,0.0115,-0.0896,0.1547,0.1230
25,EPS,- -,0.01,-0.08,-0.24,-0.30,0.00,-0.02,0.05,0.06
26,EPS Diluted,- -,0.01,-0.08,-0.24,-0.30,0.00,-0.02,0.05,0.06
27,Weighted Average Shares Outstanding,10000000,9973587,4469863,4637984,4802240,35030339,35030339,35030339,35030339
28,Weighted Average Shares Outstanding Diluted,10000000,9973587,4469863,4637984,4802240,35030339,35030339,35030339,35030339
