,https://roic.ai/company/ENDV,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,60000,60585,47767,30581,22896,24192,4265,- -,- -,83263,310164,165796
2,COGS,- -,- -,- -,- -,13993,15485,2162,- -,- -,12930,93385,65369
3,Gross Profit,- -,- -,- -,30581,8903,8707,2103,- -,- -,70333,216779,100427
4,Gross Profit Ratio,- -,- -,- -,1.0000,0.3888,0.3599,0.4931,- -,- -,0.8447,0.6989,0.6057
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,280000,20125,-26095,- -,- -,15485,2568926,5410923,4603886,4242525,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",280000,20125,-26095,- -,- -,15485,2568926,5410923,4603886,4242525,- -,- -
9,Other Expenses,100000,- -,- -,1772930,2437630,2184434,-68829,- -,- -,-12930,4025851,3012625
10,Operating Expenses,380000,- -,- -,1772930,2437630,2199919,2500097,5410923,4603886,4229595,4025851,3012625
11,COGS and Expenses,380000,- -,- -,1772930,2451623,2215404,2502259,5410923,4603886,4242525,4119236,3077994
12,Interest Income ,- -,9386,2223,- -,- -,- -,-1541924,-2394779,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,113549,267577,178832,- -,- -,5789302,5197120,6090245,2083074
14,Depreciation and Amortization,- -,964,979,37034,11964,15737,14773,15833,14761,650216,650315,651247
15,EBITDA,-330000,-67636,-92309,-1763968,-2612721,-764925,-5064328,-5395090,-4589125,-588503,-10573944,2338737
16,EBITDA ratio,-5.5000,-1.1164,-1.9325,-57.6818,-114.1126,-31.6189,-1187.4157,-Infinity,-Infinity,-7.0680,-34.0915,14.1061
17,Operating Income,-320000,- -,- -,-1742349,-2428727,-2191212,-2497994,-5410923,-4603886,-4159262,-3809072,-2912198
18,Operating Income ratio,-5.3333,- -,- -,-56.9749,-106.0765,-90.5759,-585.6961,-Infinity,-Infinity,-49.9533,-12.2808,-17.5649
