,https://roic.ai/company/DKL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,504408000,744079000,1022586000,907428000,841253000,589669000,448059000,538075000,657609000,583992000,563418000,700902000
2,COGS,482408000,713445000,982796000,841666000,736007000,481227000,339356000,416164000,509093000,432707000,358671000,483752000
3,Gross Profit,22000000,30634000,39790000,65762000,105246000,108442000,108703000,121911000,148516000,151285000,204747000,217150000
4,Gross Profit Ratio,0.0436,0.0412,0.0389,0.0725,0.1251,0.1839,0.2426,0.2266,0.2258,0.2591,0.3634,0.3098
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,4247000,- -,8389000,6856000,10616000,11384000,10256000,11840000,17166000,20815000,22587000,22545000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4247000,- -,8389000,6856000,10616000,11384000,10256000,11840000,17166000,20815000,22587000,22545000
9,Other Expenses,- -,10613000,8675000,12436000,14705000,19692000,20813000,21914000,4702000,4658000,2367000,4103000
10,Operating Expenses,4247000,10613000,17064000,19292000,25321000,31076000,31069000,33754000,21868000,25473000,24954000,26648000
11,COGS and Expenses,486655000,724058000,999860000,860958000,761328000,512303000,370425000,449918000,530961000,458180000,383625000,510400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2564000,2011000,2682000,4570000,8656000,10658000,13587000,23944000,41263000,47328000,42874000,50221000
14,Depreciation and Amortization,2810000,4820000,8675000,12436000,14705000,19692000,20813000,21914000,31999000,33912000,42942000,49981000
15,EBITDA,20563000,24841000,5743000,65593000,95490000,97003000,97285000,115045000,163978000,178956000,245295000,265177000
16,EBITDA ratio,0.0408,0.0334,0.0056,0.0723,0.1135,0.1645,0.2171,0.2138,0.2494,0.3064,0.4354,0.3783
17,Operating Income,17753000,20021000,22717000,46304000,79842000,77262000,77650000,88177000,125757000,125812000,179793000,190502000
18,Operating Income ratio,0.0352,0.0269,0.0222,0.0510,0.0949,0.1310,0.1733,0.1639,0.1912,0.2154,0.3191,0.2718
