,https://roic.ai/company/GURE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,1100000,800000,1000000,17825097,54200000,87500000,110300000,158300000,165000000,101700000,118400000,113660330,162317120,149275000,107522440,2594940,10596520,28207024
2,COGS,- -,- -,500000,400000,300000,10481567,32100000,52300000,61400000,80300000,89500000,73400000,84200000,81737610,109035870,94785670,63157090,1310270,3083120,19415034
3,Gross Profit,- -,- -,600000,400000,700000,7343530,22100000,35200000,48900000,78000000,75500000,28300000,34200000,31922720,53281250,54489330,44365350,1284670,7513400,8791990
4,Gross Profit Ratio,- -,- -,0.5455,0.5000,0.7000,0.4120,0.4077,0.4023,0.4433,0.4927,0.4576,0.2783,0.2889,0.2809,0.3283,0.3650,0.4126,0.4951,0.7090,0.3117
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,300000,500000,500000,2200000,7400000,200000,100000,623170,556430,261930,195200,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,4094312,6132848,6871091,17874296,6792110,8563282,7161047,6668838,5434755,15420314,32350492,28448201,-10239943
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,-136364000,86936,82004,96372,105588,375365,-343105000,-278600000,-66111000,12434,-42663
8,"Selling, General and Administrative Exp.",- -,- -,442694,421567,511139,5614784,1847374,4094312,6132848,-129492909,17961232,6874114,8659654,7266635,7044203,-337670245,-263179686,-33760508,28460635,-10282606
9,Other Expenses,- -,- -,34765,12194,7191,270,-31832,14780,406,136500655,-1788015,-339566,-547128,-468876,-453731,343014314,278596982,66585084,- -,10260220
10,Operating Expenses,- -,- -,477459,433761,518330,5615054,2115542,4609092,6633254,9207746,23573217,6734548,8212526,7420929,7146902,5605999,15612496,32824576,28460635,-22386
11,COGS and Expenses,- -,- -,1000000,800000,900000,16096621,34200000,56900000,68000000,89500000,120700000,81200000,89900000,89842110,117152410,101551660,96350830,86147470,33890900,19392648
12,Interest Income ,- -,- -,11112,11466,6984,5990,54969,94129,80805,242988,269614,312806,339798,482885,469271,487617,556163,661112,446770,291307
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,60111,17078,1052,212441,210705,208250,203296,194036,174921,164321,160422,145445,136430
14,Depreciation and Amortization,- -,- -,-40235,-62806,-215809,213092,2045467,4873349,7257643,11097149,17697439,23811443,28120695,28322773,29870160,25654496,21179421,18205031,14060927,15987860
15,EBITDA,- -,- -,59765,-90000,210000,1947828,22045467,35533460,49074721,80498201,62309880,44622148,56928945,52623889,75504146,73865457,32907192,-64686397,-8786688,8812717
16,EBITDA ratio,- -,- -,0.0543,-0.1125,0.2100,0.1093,0.4067,0.4061,0.4449,0.5085,0.3776,0.4388,0.4808,0.4630,0.4652,0.4948,0.3060,-24.9279,-0.8292,0.3124
17,Operating Income,- -,- -,123394,-49562,171845,1728476,20024928,30577157,42240834,68872518,44298458,20484855,28443493,23818221,45164710,47723342,11171611,-83552531,-23294383,-9683392
18,Operating Income ratio,- -,- -,0.1122,-0.0620,0.1718,0.0970,0.3695,0.3495,0.3830,0.4351,0.2685,0.2014,0.2402,0.2096,0.2782,0.3197,0.1039,-32.1983,-2.1983,-0.3433
19,Total Other Income Expenses (Gains),- -,- -,-23394,100000,300000,6260,-24928,22843,-440834,427482,101542,115145,156507,279589,275240,312698,391839,500691,301323,154877
20,Income Before Tax,- -,- -,100000,- -,- -,1734736,20000000,30600000,41800000,69300000,44400000,20600000,28600000,24097810,45439950,48036040,11563450,-83051840,-22993060,-9528515
21,Income Before Tax Ratio,- -,- -,0.0909,- -,- -,0.0973,0.3690,0.3497,0.3790,0.4378,0.2691,0.2026,0.2416,0.2120,0.2799,0.3218,0.1075,-32.0053,-2.1699,-0.3378
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,572463,7800000,8200000,11200000,18100000,13400000,5600000,7600000,6226020,11371910,11810210,3610140,-13087860,2806990,1108471
23,Net Income,- -,- -,100000,- -,- -,1162273,12200000,22400000,30600000,51300000,31000000,15000000,21000000,17871800,34068040,36225830,7953310,-69963990,-25800050,-8420044
24,Net Income ratio,- -,- -,0.0909,- -,- -,0.0652,0.2251,0.2560,0.2774,0.3241,0.1879,0.1475,0.1774,0.1572,0.2099,0.2427,0.0740,-26.9617,-2.4348,-0.2985
25,EPS,- -,- -,3.80,0.69,-1.25,0.20,2.60,4.40,5.00,7.40,4.45,2.15,2.75,2.30,3.75,3.90,0.25,-7.45,-2.73,-0.87
26,EPS Diluted,- -,- -,3.09,0.56,-1.25,0.20,2.60,4.40,5.00,7.40,4.45,2.15,2.70,2.30,3.70,3.90,0.25,-7.45,-2.73,-0.87
27,Weighted Average Shares Outstanding,- -,- -,26299,26299,26642,5403464,4834425,4983442,6139764,6922933,6932173,6941271,7679184,7738913,9033457,9255806,9359295,9360758,9465432,9650619
28,Weighted Average Shares Outstanding Diluted,- -,- -,32324,32334,40954,5403464,4834425,4983442,6140339,6935065,6934723,7013590,7765466,7852125,9221880,9325132,9367166,9360758,9465432,9650619
29,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885462/000119380508000846/e603494_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380509000587/0001193805-09-000587-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380510000606/0001193805-10-000606-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380511000481/e608177_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380512000502/0001193805-12-000502-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380513000663/0001193805-13-000663-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380514000460/e611967_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380515000367/e613413_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380516002846/0001193805-16-002846-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380517000466/0001193805-17-000466-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380518000422/0001193805-18-000422-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380519000291/0001193805-19-000291-index.html,https://www.sec.gov/Archives/edgar/data/885462/000119380520000481/e619546_10k-gulf.htm,https://www.sec.gov/Archives/edgar/data/885462/000119380521000465/0001193805-21-000465-index.htm
