,https://roic.ai/company/TMRC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,28200,78380,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,-28200,-78380,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,20000,130000,1290000,7630000,1280000,460000,520000,220000,90000,100000,139200,18181,- -
6,General and Administrative Exp.,- -,- -,30000,420000,5750000,6750000,2400000,2330000,1450000,990000,500000,520000,865570,1055881,1342805
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,30000,420000,5750000,6750000,2400000,2330000,1450000,990000,500000,520000,865570,1055881,1342805
9,Other Expenses,147436,47858,-17251,-125013,-1285017,-7625294,-1276774,-1016,2760,-5908,-3610,-6547,-80460,- -,-54021
10,Operating Expenses,147436,47858,32749,424987,5754983,6754706,2403226,2788984,1972760,1204092,586390,613453,924310,1074062,1288784
11,COGS and Expenses,175636,126238,70000,550000,7050000,14390000,3690000,2790000,1970000,1200000,1980000,620000,2368130,1074062,1288784
12,Interest Income ,2495,2940,2623,1031,27705,28306,24388,5289,622,448,2,- -,- -,- -,- -
13,Interest Expense (Gain),142,4291,8706,7495,1266,334,16191,7743,12132,15993,153886,120525,288739,7014,- -
14,Depreciation and Amortization,- -,- -,- -,3977,19996,84838,86272,65855,-35650,27737,10115,5421,11250,- -,4072
15,EBITDA,-175636,-126238,-140000,-570000,-7030000,-14310000,-3600000,-2720000,-1934350,-1172260,-1969880,-614580,-2360359,-1074062,-1278624
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-175636,-126238,-73590,-551916,-7046553,-14388074,-3685224,-2788984,-1972760,-1204092,-1981242,-617813,-924310,-1074062,-1562856
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,-56410,-8084,26553,18074,-4776,-1016,-7240,-5908,-158758,-122187,-1457060,-66767,3607059
20,Income Before Tax,- -,- -,-130000,-560000,-7020000,-14370000,-3690000,-2790000,-1980000,-1210000,-2140000,-740000,-2381370,-1140829,2044203
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-169892,-137929,-130000,-560000,-7020000,-14370000,-3690000,-2790000,-1980000,-1210000,-2140000,-740000,-2381370,-1140829,2044202
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
25,EPS,-0.02,-0.01,-0.01,-0.02,-0.25,-0.40,-0.10,-0.08,-0.05,-0.03,-0.05,-0.02,-0.03,-0.02,0.03
26,EPS Diluted,-0.02,-0.01,-0.01,-0.02,-0.25,-0.40,-0.10,-0.08,-0.05,-0.03,-0.05,-0.02,-0.03,-0.02,0.03
27,Weighted Average Shares Outstanding,7296473,15155202,21031972,23433144,27869787,35964877,36670297,37036916,39670068,43854977,44941532,44941532,46737894,61201735,71651114
28,Weighted Average Shares Outstanding Diluted,7296473,15155202,21031972,23433144,27869787,35964877,36670297,37036916,39670068,43854977,44941532,44941532,46737894,61201735,72862214
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1445942/000121478211000200/0001214782-11-000200-index.html,https://www.sec.gov/Archives/edgar/data/1445942/000121478212000103/0001214782-12-000103-index.html,https://www.sec.gov/Archives/edgar/data/1445942/000158069513000172/0001580695-13-000172-index.html,https://www.sec.gov/Archives/edgar/data/1445942/000121478214000142/0001214782-14-000142-index.html,https://www.sec.gov/Archives/edgar/data/1445942/000121478215000233/0001214782-15-000233-index.html,https://www.sec.gov/Archives/edgar/data/1445942/000158069516000890/0001580695-16-000890-index.htm,https://www.sec.gov/Archives/edgar/data/1445942/000158069517000589/0001580695-17-000589-index.htm,https://www.sec.gov/Archives/edgar/data/1445942/000158069518000538/0001580695-18-000538-index.htm,https://www.sec.gov/Archives/edgar/data/1445942/000158069519000462/0001580695-19-000462-index.html,https://www.sec.gov/Archives/edgar/data/1445942/000107878220000930/0001078782-20-000930-index.htm,https://www.sec.gov/Archives/edgar/data/1445942/000138713121011603/0001387131-21-011603-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,19895,11378,- -,70000,16890000,6520000,2370000,390000,2940,5160,1080,31590,1824550,2746451,5106653
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,19895,11378,- -,70000,16890000,6520000,2370000,390000,2940,5160,1080,31590,1824550,2746451,5106653
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,30000,70000,70000,40000,27420,6670,6670,3330,4450,183199,73029
37,Total Current Assets,19895,11378,- -,70000,16920000,6590000,2440000,430000,30360,11830,7750,34920,1829000,2929650,5179682
38,PP&E,31809,- -,- -,70000,360000,590000,1870000,1800000,1785800,1768980,364020,354230,354230,- -,212589
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,54370,- -,10000,20000,110000,100000,70000,29710,29710,23990,4010,- -,- -,12620
45,Total Non-Current Assets,31809,54370,- -,80000,380000,700000,1970000,1870000,1815510,1798690,388010,358240,354230,- -,225209
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,361734,- -
47,Total Assets,51704,65748,- -,150000,17300000,7290000,4410000,2300000,1845870,1810520,395760,393160,2183230,3291384,5404891
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,10000,111060,- -,- -,- -,- -,502427,175328
49,Short-Term Debt,142,95570,- -,- -,- -,- -,29007,30458,370845,265387,260387,260387,193760,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,6545,170000,110000,580000,480000,230993,149542,127175,674033,1249633,1778433,1186820,591401,26066
53,Total Current Liabilities,142,102115,170000,110000,580000,480000,260000,190000,609080,939420,1510020,2038820,1380580,1093828,201394
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,290000,260000,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,290000,260000,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2197556,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,142,102115,170000,110000,580000,480000,550000,450000,609080,939420,1510020,2038820,1380580,3291384,201394
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,151540,151553,230000,240000,350000,370000,370000,370000,413680,449420,449420,449420,562050,- -,719341
64,Retained Earnings,-592282,-730211,-860000,-1420000,-8440000,-22820000,-26510000,-29300000,-31282920,-32496860,-34631980,-35370320,-36576500,- -,-36848322
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-20000,-100000,-160000,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,492304,542291,459590,1214460,24831238,29360837,30164912,30770808,32106026,32990043,33068302,33275243,36817100,2197556,41332478
67,Total Stockholders Equity,51562,-36367,-170410,34460,16721238,6810837,3864912,1840808,1236786,942603,-1114258,-1645657,802650,2197556,5203497
68,Total Liabilities And Stockholders Equity,51704,65748,-410,144460,17301238,7290837,4414912,2290808,1845866,1882023,395762,393163,2183230,5488940,5404891
69,Minority Interest,- -,- -,410,5540,-1238,-837,-4912,9192,4,-71503,-2,-3,- -,-2197556,- -
70,Total Liabilities & Equity,51704,65748,- -,150000,17300000,7290000,4410000,2300000,1845870,1810520,395760,393160,2183230,3291384,5404891
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1445942/000121478211000200/0001214782-11-000200-index.html,https://www.sec.gov/Archives/edgar/data/1445942/000121478212000103/0001214782-12-000103-index.html,https://www.sec.gov/Archives/edgar/data/1445942/000158069513000172/0001580695-13-000172-index.html,https://www.sec.gov/Archives/edgar/data/1445942/000121478214000142/0001214782-14-000142-index.html,https://www.sec.gov/Archives/edgar/data/1445942/000121478215000233/0001214782-15-000233-index.html,https://www.sec.gov/Archives/edgar/data/1445942/000158069516000890/0001580695-16-000890-index.htm,https://www.sec.gov/Archives/edgar/data/1445942/000158069517000589/0001580695-17-000589-index.htm,https://www.sec.gov/Archives/edgar/data/1445942/000158069518000538/0001580695-18-000538-index.htm,https://www.sec.gov/Archives/edgar/data/1445942/000158069519000462/0001580695-19-000462-index.html,https://www.sec.gov/Archives/edgar/data/1445942/000107878220000930/0001078782-20-000930-index.htm,https://www.sec.gov/Archives/edgar/data/1445942/000138713121011603/0001387131-21-011603-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-169892,-137929,-130000,-560000,-7020000,-14370000,-3690000,-2790000,-1980000,-1210000,-2140000,-740000,-2381370,-1140829,2044202
74,Depreciation and Amortization,- -,- -,- -,3977,19996,84838,86272,65855,-35650,27737,10115,5421,11250,- -,4072
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,120000,- -,- -,308250,4593105,3361075,376629,767334,-440347,188756,18907,109431,675673,74857,880439
77,Change in Working Capital,1192,-110490,-79263,130000,16380000,-10230000,-3930000,-1940000,-818720,-348870,-574680,-501630,2452320,1387402,-200863
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,8390,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,19753,-90737,-170000,-40000,16340000,6110000,2180000,240000,-578720,-927590,-1502270,-2003900,448420,1835822,- -
82,Other Non-Cash Items,2800,152242,158523,-112718,-15873636,10015636,3697289,1940282,1890074,734285,2511909,982039,-905393,-1920430,-3326899
83,Cash Provided by Operating Activities,-45900,-96177,-50740,-230491,-1900535,-11138451,-3459810,-1956529,-1384643,-608092,-173749,-144739,-147520,-1599000,-599049
84,CAPEX,-8000,-2340,- -,-75075,-309774,-358304,-510696,-640,-20161,-15000,- -,- -,- -,- -,-264755
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5120
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,31175,-52000,-16638,-75075,- -,25500,4280,- -,- -,9777,- -,- -,- -,- -,3000000
89,Cash Used for Investing Activites,-6825,-54340,-16638,-75075,-309774,-332804,-506416,-640,-20161,-5223,- -,- -,- -,- -,2730125
90,Debt Repayment,- -,- -,- -,- -,-91846,- -,-45000,-29007,- -,-30459,- -,- -,-66627,-123542,- -
91,Common Stock Issued,- -,50000,- -,455000,19113787,1103124,- -,- -,939901,569500,- -,- -,1971785,280000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-132692,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,92000,56000,-75000,- -,- -,- -,- -,80000,76500,169665,175250,35317,2364447,229126
95,Cash Used/Provided by Financing Activities,- -,142000,56000,380000,19021941,1103124,-177692,-29007,1019901,615541,169665,175250,1940475,2520905,229126
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
