,https://roic.ai/company/DQ,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,56367625,111193477,242685524,255832018,86858401,108999805,182571852,182040968,229101211,352852151,301599897,349990753,675602000,1678793000
2,COGS,- -,19391613,69251610,136483927,169722974,124290384,135103408,139308511,144491083,148672693,209379466,203486191,269887185,441610000,581585000
3,Gross Profit,- -,36976012,41941867,106201597,86109044,-37431983,-26103603,43263341,37549885,80428518,143472685,98113706,80103568,233992000,1097208000
4,Gross Profit Ratio,- -,0.6560,0.3772,0.4376,0.3366,-0.4310,-0.2395,0.2370,0.2063,0.3511,0.4066,0.3253,0.2289,0.3463,0.6536
5,Research and Development Exp.,- -,4865165,2774608,1385611,744321,4130533,3391012,1486978,923664,4001438,880981,2736520,5708325,6856000,6495000
6,General and Administrative Exp.,- -,- -,- -,15692453,15563315,12930198,18132515,10293851,12603824,16104057,17664471,27076669,32456520,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,15692453,15563315,12930198,18132515,10293851,12603824,16104057,17664471,27076669,32456520,- -,39904000
9,Other Expenses,- -,4898626,2743531,-3382819,-12116746,-8729301,-5420777,-552444,-3824881,-5325336,-6769704,-13177254,-5546487,39281000,-609000
10,Operating Expenses,- -,9763791,5518139,13695245,4190890,8331430,16102750,11228385,9702607,14780159,11775748,16635935,32618358,46137000,45790000
11,COGS and Expenses,47542,29155404,74769749,150179172,173913864,132621814,151206158,150536896,154193690,163452852,221155214,220122126,302505543,487747000,627375000
12,Interest Income ,- -,115083,214321,544679,1897536,990117,149752,324118,493995,407996,487230,1235873,983158,907000,- -
13,Interest Expense (Gain),- -,3873451,6461733,9880259,9663562,15408023,19349190,15654106,13173958,14568158,18005329,10762677,10396961,26632000,20482000
14,Depreciation and Amortization,- -,7817151,16088049,30751063,35479645,37371791,52250595,28007943,31361026,33822082,38824055,27487163,47371130,68686000,- -
15,EBITDA,-47542,34817588,53625062,122039714,79181431,-48895540,1928066,60311225,58629694,99242085,167002738,88091090,96915930,252695000,939507000
16,EBITDA ratio,-Infinity,0.6177,0.4823,0.5029,0.3095,-0.5629,0.0177,0.3303,0.3221,0.4332,0.4733,0.2921,0.2769,0.3740,0.5596
17,Operating Income,-47542,27212221,36423728,92506352,43405778,-88517894,-200631180,32034956,26224690,65449670,128709269,81477771,47485210,187855000,1051418000
