,https://roic.ai/company/FAT,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,7532503,8457005,2173000,17834000,22505000,18118000,118881000
2,COGS,- -,- -,- -,- -,- -,- -,44242000
3,Gross Profit,- -,- -,- -,- -,- -,18118000,74639000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,1.0000,0.6278
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2589604,2932326,2147000,13531000,15583000,14876000,50249000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2589604,2932326,2147000,13531000,15583000,14876000,50249000
9,Other Expenses,- -,- -,- -,1021000,1992000,- -,- -
10,Operating Expenses,- -,- -,2147000,14552000,17575000,14876000,50249000
11,COGS and Expenses,2589604,2932326,2147000,14552000,17575000,33216000,118057000
12,Interest Income ,- -,- -,-206000,- -,- -,3631000,- -
13,Interest Expense (Gain),- -,- -,- -,4770000,6530000,8550000,- -
14,Depreciation and Amortization,- -,- -,23000,358000,785000,1172000,8568000
15,EBITDA,4942899,5524679,-185000,3055000,6807000,-8827000,-26552000
16,EBITDA ratio,0.6562,0.6533,-0.0851,0.1713,0.3025,-0.4872,-0.2233
17,Operating Income,4942899,5524679,26000,4236000,6703000,-15098000,824000
18,Operating Income ratio,0.6562,0.6533,0.0120,0.2375,0.2978,-0.8333,0.0069
19,Total Other Income Expenses (Gains),- -,- -,-234000,-6309000,-7211000,-3451000,-35944000
20,Income Before Tax,4942899,5524679,-208000,-2073000,-508000,-18549000,-35120000
21,Income Before Tax Ratio,0.6562,0.6533,-0.0957,-0.1162,-0.0226,-1.0238,-0.2954
22,Income Tax expense (Gain),2282692,1978607,406000,-275000,510000,-3689000,-3537000
23,Net Income,2660207,3546072,-614000,-1798000,-1018000,-14860000,-31583000
24,Net Income ratio,0.3532,0.4193,-0.2826,-0.1008,-0.0452,-0.8202,-0.2657
25,EPS,0.24,0.31,-0.06,-0.15,-0.08,-1.14,-2.15
26,EPS Diluted,0.24,0.31,-0.06,-0.15,-0.08,-1.14,-2.15
27,Weighted Average Shares Outstanding,11234300,11234300,9854086,11881924,12442222,13076800,14656880
28,Weighted Average Shares Outstanding Diluted,11234300,11234300,9854086,11881924,12442222,13076800,14656880
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1705012/000149315218004457/0001493152-18-004457-index.html,https://www.sec.gov/Archives/edgar/data/1705012/000149315219004280/0001493152-19-004280-index.html,https://www.sec.gov/Archives/edgar/data/1705012/000149315220007184/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1705012/000149315221007061/0001493152-21-007061-index.htm,https://www.sec.gov/Archives/edgar/data/1705012/000162828022007042/0001628280-22-007042-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,210872,- -,32000,653000,25000,3944,57
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,210872,- -,32000,653000,25000,3944,57
34,Net Receivables,350346,408655,995000,1844000,4406000,4208,20
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,754545,159358,153000,1042000,6057000,16271,42
37,Total Current Assets,1315763,568013,1180000,3539000,10488000,24423,119
38,PP&E,- -,- -,- -,- -,860000,- -,179
39,Goodwill,529400,529400,7356000,10391000,10912000,10909,295
40,Intangible Assets,2134800,2134800,11011000,23289000,29734000,47711,653
41,Intangible Assets,2664200,2664200,18367000,33680000,40646000,58620,948
42,Investments,- -,- -,- -,- -,- -,- -,- -
