,https://roic.ai/company/CUII,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,2740519,3153776,37842246,47449962,55023766,69934006,72848444,78667731,95919338,124267072,131363175
2,COGS,- -,- -,- -,1897359,2363581,24309716,30408118,35423762,46554495,42801007,49314709,65342976,87695053,84943319
3,Gross Profit,- -,- -,- -,843160,790195,13532530,17041844,19600004,23379511,30047437,29353022,30576362,36572019,46419856
4,Gross Profit Ratio,- -,- -,- -,0.3077,0.2506,0.3576,0.3592,0.3562,0.3343,0.4125,0.3731,0.3188,0.2943,0.3534
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,1095869,1166841,9062828,11971863,12675171,13852277,14959384,17854923,20214659,26955278,27400845
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,962958,4034409,3084408,2842744,2344633,3560840,2707176,3226109,2285956
8,"Selling, General and Administrative Exp.",- -,- -,- -,1095869,1166841,10025786,16006272,15759579,16695021,17304017,21415763,22921835,30181387,29686801
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,1095869,1166841,10025786,16006272,15759579,16695021,17304017,21415763,22921835,30181387,29686801
11,COGS and Expenses,- -,- -,- -,2993228,3530422,34335502,46414390,51183341,63249516,60105024,70730472,88264811,117876440,114630120
12,Interest Income ,- -,- -,- -,12760,4756,83682,229317,229855,208665,339169,446859,453184,453536,448657
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,19722,35375,130523,208008,202239,183927
14,Depreciation and Amortization,- -,- -,- -,44053,39366,108492,407390,463201,626028,561184,636980,693459,987689,5137597
15,EBITDA,- -,- -,- -,68507,-332542,8024468,1172098,3060354,5657503,11264914,6749080,6664612,5527909,11979841
16,EBITDA ratio,- -,- -,- -,0.0250,-0.1054,0.2121,0.0247,0.0556,0.0809,0.1546,0.0858,0.0695,0.0445,0.0912
17,Operating Income,- -,- -,- -,-252709,-376646,3506744,1035572,3840425,6684490,12743420,7937259,7654527,6390632,16733055
18,Operating Income ratio,- -,- -,- -,-0.0922,-0.1194,0.0927,0.0218,0.0698,0.0956,0.1749,0.1009,0.0798,0.0514,0.1274
19,Total Other Income Expenses (Gains),- -,- -,- -,277163,4738,5795788,594542,379926,454691,948162,1089559,946559,51008,-85436
20,Income Before Tax,- -,- -,- -,24454,-371908,9302532,1630114,4220351,7139181,13691582,9026818,8601086,6441640,16647619
21,Income Before Tax Ratio,- -,- -,- -,0.0089,-0.1179,0.2458,0.0344,0.0767,0.1021,0.1879,0.1147,0.0897,0.0518,0.1267
22,Income Tax expense (Gain),- -,- -,- -,354441,-268440,698508,1672840,1519226,2119598,3513717,3610172,2704297,3407868,-4994651
23,Net Income,- -,- -,- -,-329987,-103468,7217468,-908132,1077927,2892155,7154638,2371405,3058848,930113,11652968
24,Net Income ratio,- -,- -,- -,-0.1204,-0.0328,0.1907,-0.0191,0.0196,0.0414,0.0982,0.0301,0.0319,0.0075,0.0887
25,EPS,- -,- -,- -,-0.02,-0.01,0.26,-0.03,0.04,0.10,0.24,0.08,0.10,0.03,0.40
26,EPS Diluted,- -,- -,- -,-0.02,-0.01,0.26,-0.03,0.04,0.10,0.23,0.08,0.10,0.03,0.40
27,Weighted Average Shares Outstanding,- -,- -,- -,20100503,20100503,27593654,29100503,29365834,29452669,29452669,29452669,29429448,29421736,29421736
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,20100503,20100503,27593654,29100503,30365834,30476258,30509552,29452669,29429448,29421736,29421736
29,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1512927/000114420412053658/0001144204-12-053658-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1512927/000114420416091204/0001144204-16-091204-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000114420417014676/0001144204-17-014676-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000114420418014999/0001144204-18-014999-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000114420419017322/0001144204-19-017322-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000110465920036932/0001104659-20-036932-index.html,https://www.sec.gov/Archives/edgar/data/1512927/000110465921041492/0001104659-21-041492-index.htm,https://www.sec.gov/Archives/edgar/data/1512927/000141057822000847/0001410578-22-000847-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,460000,210000,1297213,1258211,18070093,19571799,20831824,25521802,15473949,16663942,12615008,9063338,18234350
32,Short-Term Investments,- -,- -,- -,- -,- -,2563685,2437006,2369082,2426870,21503494,25770964,38731658,54612081,- -
33,Cash and Short-Term Investments,- -,460000,210000,1297213,1258211,20633778,22008805,23200906,27948672,36977443,42434906,51346666,63675419,18234350
34,Net Receivables,- -,- -,40000,79939,184767,7282183,7707185,9725132,17341777,15192457,15808020,22541558,25346250,26761678
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,680000,70000,56518,48640,2916980,573555,960876,322933,1549975,3970015,2101115,1491168,65506672
37,Total Current Assets,- -,1140000,320000,1433670,1491618,30832941,30289545,33886914,45613382,53719875,62212941,75989339,90512837,110502700
38,PP&E,- -,160000,120000,126832,114945,1041189,1061762,918798,926905,946302,1195695,6925531,8897800,8510937
39,Goodwill,- -,90000,90000,116161,118855,- -,31651,2071491,2071491,31651,31651,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,308267,270956,468779,784219,775778,575985,518264,381747,333118
41,Intangible Assets,- -,90000,90000,116161,118855,308267,302607,2540270,2855710,807429,607636,518264,381747,333118
42,Investments,- -,- -,- -,- -,- -,102295,95328,1264611,1285064,1399762,2477558,2693082,2835095,2696812
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,123406,268237,- -,1021890,909032
44,Other Non-Current Assets,- -,60000,60000,94769,113217,- -,587522,791223,726482,2276469,2119777,3116206,4078860,4828922
45,Total Non-Current Assets,- -,310000,270000,337762,347017,1451751,2047219,5514902,5794161,5553368,6668903,13253083,17215392,17278821
46,Other Assets,- -,- -,- -,- -,- -,33736443,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1450000,590000,1771432,1838635,32284692,32336764,39401816,51407543,59273243,68881844,89242422,107728229,127781521
48,Accounts Payable,- -,- -,- -,80042,81899,- -,- -,- -,- -,- -,8014480,12545730,12088291,- -
49,Short-Term Debt,- -,- -,- -,137485,445332,- -,531447,1168167,400001,3140265,9432152,10804893,17296211,3059329
50,Tax Payable,- -,- -,- -,686034,405723,498441,1179365,2144905,3082082,4344200,2492537,3651874,4789100,3893047
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,2090718,- -,1028256,1781975,1119361,- -
52,Other Current Liabilities,- -,1070000,360000,765245,610733,- -,10491940,12392712,18799060,16298378,7919731,12264513,16737052,50780654
