,https://roic.ai/company/PDFS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,20135000,35472000,43724000,42526000,62346000,73928000,76184000,94463000,74037000,48438000,61650000,66712000,89540000,101453000,100163000,97977000,107461000,101871000,85794000,85585000,88046000,111060000
2,COGS,6915000,11843000,14986000,14412000,21855000,24612000,32897000,37618000,35123000,24218000,25674000,30042000,36497000,39470000,39714000,39023000,44448000,47521000,42803000,33474000,36765000,44193000
3,Gross Profit,13220000,23629000,28738000,28114000,40491000,49316000,43287000,56845000,38914000,24220000,35976000,36670000,53043000,61983000,60449000,58954000,63013000,54350000,42991000,52111000,51281000,66867000
4,Gross Profit Ratio,0.6566,0.6661,0.6573,0.6611,0.6495,0.6671,0.5682,0.6018,0.5256,0.5000,0.5836,0.5497,0.5924,0.6110,0.6035,0.6017,0.5864,0.5335,0.5011,0.6089,0.5824,0.6021
5,Research and Development Exp.,6418000,12196000,15247000,18441000,20332000,22106000,27613000,36074000,33994000,19773000,17187000,13972000,13251000,13314000,14064000,19096000,27559000,30078000,27998000,32747000,34654000,43780000
6,General and Administrative Exp.,- -,18377000,10352000,14627000,15949000,16244000,19814000,24891000,21778000,16561000,15989000,18358000,18599000,17025000,18457000,20421000,22056000,23684000,23934000,26299000,32677000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,18377000,10352000,14627000,15949000,16244000,19814000,24891000,21778000,16561000,15989000,18358000,18599000,17025000,18457000,20421000,22056000,23684000,23934000,26299000,32677000,37649000
9,Other Expenses,15883000,- -,2711000,2302000,6615000,6004000,2259000,3422000,893000,349000,295000,204000,174000,74000,31000,196000,432000,398000,435000,609000,741000,1255000
10,Operating Expenses,22301000,30573000,28310000,35370000,42896000,44354000,49686000,64387000,56665000,36683000,33471000,32534000,32024000,30413000,32552000,39713000,50047000,54160000,52367000,59655000,68072000,82684000
11,COGS and Expenses,29216000,42416000,43296000,49782000,64751000,68966000,82583000,102005000,91788000,60901000,59145000,62576000,68521000,69883000,72266000,78736000,94495000,101681000,95170000,93129000,104837000,126877000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,683000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1269000,- -
14,Depreciation and Amortization,833000,1406000,1722000,4853000,9118000,8239000,8832000,10707000,5343000,3209000,2414000,1289000,949000,1459000,2041000,3018000,4389000,5658000,5977000,7212000,8171000,9552000
15,EBITDA,-7901000,-4306000,3699000,-2008000,7388000,14859000,5260000,5056000,-82286000,-13529000,4034000,5608000,19831000,32768000,30000000,22440000,17345000,5584000,-3482000,-148000,-8620000,-8765000
16,EBITDA ratio,-0.3924,-0.1214,0.0846,-0.0472,0.1185,0.2010,0.0690,0.0535,-1.1114,-0.2793,0.0654,0.0841,0.2215,0.3230,0.2995,0.2290,0.1614,0.0548,-0.0406,-0.0017,-0.0979,-0.0789
17,Operating Income,-9081000,-6944000,428000,-8056000,-2405000,4962000,-6399000,-7542000,-87982000,-16975000,1620000,4246000,19130000,31373000,27840000,19241000,12966000,190000,-9952000,-7544000,-16791000,-14562000
18,Operating Income ratio,-0.4510,-0.1958,0.0098,-0.1894,-0.0386,0.0671,-0.0840,-0.0798,-1.1884,-0.3504,0.0263,0.0636,0.2136,0.3092,0.2779,0.1964,0.1207,0.0019,-0.1160,-0.0881,-0.1907,-0.1311
19,Total Other Income Expenses (Gains),347000,1232000,1549000,1195000,675000,1658000,2827000,1891000,353000,237000,- -,73000,-248000,-64000,119000,181000,-10000,-264000,493000,184000,-1269000,-3755000
20,Income Before Tax,-8734000,-5712000,1977000,-6861000,-1730000,6620000,-3572000,-5651000,-87629000,-16738000,1620000,4319000,18882000,31309000,27959000,19422000,12956000,-74000,-9459000,-7360000,-18060000,-18317000
21,Income Before Tax Ratio,-0.4338,-0.1610,0.0452,-0.1613,-0.0277,0.0895,-0.0469,-0.0598,-1.1836,-0.3456,0.0263,0.0647,0.2109,0.3086,0.2791,0.1982,0.1206,-0.0007,-0.1103,-0.0860,-0.2051,-0.1649
22,Income Tax expense (Gain),363000,-1840000,1453000,-2345000,-1116000,96000,-3133000,-2724000,8099000,753000,1393000,2439000,-18329000,10380000,9497000,7015000,3853000,1263000,-1743000,-1942000,22303000,3171000
23,Net Income,-9097000,-3872000,524000,-4516000,-614000,6524000,-439000,-2927000,-95728000,-17491000,227000,1880000,37211000,20929000,18462000,12407000,9103000,-1337000,-7716000,-5418000,-40363000,-21488000
24,Net Income ratio,-0.4518,-0.1092,0.0120,-0.1062,-0.0098,0.0882,-0.0058,-0.0310,-1.2930,-0.3611,0.0037,0.0282,0.4156,0.2063,0.1843,0.1266,0.0847,-0.0131,-0.0899,-0.0633,-0.4584,-0.1935
25,EPS,-1.24,-0.38,0.02,-0.19,-0.02,0.25,-0.02,-0.10,-3.48,-0.66,0.01,0.07,0.60,0.70,0.60,0.39,0.29,-0.04,-0.24,-0.17,-1.17,-0.58
26,EPS Diluted,-1.24,-0.38,0.02,-0.19,-0.02,0.24,-0.02,-0.10,-3.48,-0.66,0.01,0.07,0.58,0.67,0.58,0.39,0.28,-0.04,-0.24,-0.17,-1.17,-0.58
27,Weighted Average Shares Outstanding,7356000,14425000,21962000,23278000,25330000,25983000,26885000,28066000,27514000,26377000,27257000,28086000,28700000,29826000,30743000,31424000,31373000,32038000,32169000,32411000,34458000,37221000
28,Weighted Average Shares Outstanding Diluted,7356000,14425000,23199000,23278000,25330000,27473000,26885000,28066000,27514000,26377000,27471000,28431000,29923000,31393000,31939000,32164000,32431000,32038000,32169000,32411000,34458000,37221000
