,https://roic.ai/company/LAZY,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,- -,608194000,644912000,817110000,1235048000
2,COGS,- -,- -,- -,- -,476528000,512733000,638128000,910268000
3,Gross Profit,- -,- -,- -,- -,131666000,132179000,178982000,324780000
4,Gross Profit Ratio,- -,- -,- -,- -,0.2165,0.2050,0.2190,0.2630
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,513552,1001068,105582000,108373000,119247000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,513552,1001068,105582000,108373000,119247000,183781000
9,Other Expenses,- -,- -,- -,- -,9416000,10813000,11262000,- -
10,Operating Expenses,- -,- -,- -,- -,114998000,119186000,130509000,183781000
11,COGS and Expenses,- -,- -,513552,1001068,591526000,631919000,768637000,1094049000
12,Interest Income ,- -,- -,154441,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,8752000,10020000,10328000,8047000,-8500000
14,Depreciation and Amortization,- -,- -,- -,6030000,9416000,10813000,14894000,- -
15,EBITDA,- -,- -,-513552,-1001068,22188000,22952000,62425000,101763000
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,0.0365,0.0356,0.0764,0.0824
17,Operating Income,- -,- -,-513552,22041000,12770000,12128000,47538000,124094000
18,Operating Income ratio,- -,- -,-Infinity,Infinity,0.0210,0.0188,0.0582,0.1005
19,Total Other Income Expenses (Gains),- -,- -,154441,-22763113,-10018000,-10317000,-8054000,-13831000
20,Income Before Tax,- -,- -,-359111,-722113,2752000,1811000,39484000,110263000
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,0.0045,0.0028,0.0483,0.0893
22,Income Tax expense (Gain),- -,- -,- -,- -,3036000,1097000,10364000,-28242000
23,Net Income,- -,- -,-359111,-722113,-284000,714000,29120000,138505000
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-0.0005,0.0011,0.0356,0.1121
25,EPS,- -,- -,-0.20,-0.40,-0.03,0.08,3.06,6.32
26,EPS Diluted,- -,- -,-0.20,-0.40,-0.03,0.08,3.06,6.32
27,Weighted Average Shares Outstanding,- -,1753259,1753259,1783593,8471608,8428666,9514742,12987105
28,Weighted Average Shares Outstanding Diluted,- -,1753259,1753259,1783593,8471608,8428666,9514742,12987105
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1721741/000149315219003769/0001493152-19-003769-index.html,https://www.sec.gov/Archives/edgar/data/1721741/000149315220004435/0001493152-20-004435-index.html,https://www.sec.gov/Archives/edgar/data/1721741/000149315221006447/0001493152-21-006447-index.htm,https://www.sec.gov/Archives/edgar/data/1721741/000149315222006617/0001493152-22-006617-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,100,63789,31390,26603000,31458000,63512000,98120000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,100,63789,31390,26603000,31458000,63512000,98120000
34,Net Receivables,- -,24670,- -,- -,19597000,16351000,21362000,30604000
35,Inventory,- -,- -,- -,- -,167378000,160864000,116267000,242906000
36,Other Current Assets,- -,954,259053,278538,3166000,2999000,2740000,4005000
37,Total Current Assets,- -,25724,322842,309928,216744000,211672000,203881000,375635000
38,PP&E,- -,- -,- -,- -,78043000,86876000,121792000,120748000
39,Goodwill,- -,- -,- -,- -,36762000,38979000,45095000,80318000
40,Intangible Assets,- -,- -,- -,- -,70189000,68854000,72757000,87800000
41,Intangible Assets,- -,- -,- -,- -,106951000,107833000,117852000,168118000
42,Investments,- -,40600000,40651426,29194458,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-40145851,- -,- -,358000,255000,473000,33627000
45,Total Non-Current Assets,- -,454149,40651426,29194458,185352000,194964000,240117000,322493000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,479873,40974268,29504386,402096000,406636000,443998000,698128000
48,Accounts Payable,- -,152811,18944,410218,22599000,11231000,38781000,- -
49,Short-Term Debt,- -,- -,- -,106846000,148591000,150878000,134186000,198661000
50,Tax Payable,- -,- -,- -,1536000,- -,- -,- -,1302000
51,Deferred Revenue,- -,- -,- -,- -,- -,2267000,- -,- -
52,Other Current Liabilities,- -,359795,2166,-106164539,1210000,10357000,1210000,67689000
53,Total Current Liabilities,- -,512606,21110,1091679,172400000,174733000,174177000,266350000
54,Long-Term Debt,- -,- -,- -,- -,19013000,15573000,8445000,39247000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,13663000
56,Deferred Tax Liabilities,- -,- -,- -,- -,18717000,16450000,15091000,13663000
57,Other Non-Current Liabilities,- -,- -,- -,- -,60533000,63557000,90690000,104096000
58,Total Non-Current Liabilities,- -,- -,- -,- -,98263000,95580000,114226000,170669000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,61247000,64493000,95316000,- -
61,Total Liabilities,- -,512606,21110,1091679,270663000,270313000,288403000,437019000
62,Preferred Stock,- -,- -,- -,- -,54983000,60893000,54983000,- -
63,Common Stock,- -,115,35953326,23412892,- -,- -,- -,- -
64,Retained Earnings,- -,-57833,-416944,-1139057,-4156000,-3442000,21039000,96810000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-10923000,- -,- -
66,Other Total Stockholders Equity,- -,24985,5416776,28559165,135589000,150688000,134556000,109316000
67,Total Stockholders Equity,- -,-32733,40953158,50833000,131433000,136323000,155595000,206126000
68,Total Liabilities And Stockholders Equity,- -,479873,40974268,51924679,402096000,406636000,443998000,643145000
69,Minority Interest,- -,- -,- -,-22420293,- -,- -,- -,54983000
70,Total Liabilities & Equity,- -,479873,40974268,29504386,402096000,406636000,443998000,698128000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1721741/000149315219003769/0001493152-19-003769-index.html,https://www.sec.gov/Archives/edgar/data/1721741/000149315220004435/0001493152-20-004435-index.html,https://www.sec.gov/Archives/edgar/data/1721741/000149315221006447/0001493152-21-006447-index.htm,https://www.sec.gov/Archives/edgar/data/1721741/000149315222006617/0001493152-22-006617-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,- -,-359111,-722113,-284000,714000,29120000,138505000
74,Depreciation and Amortization,- -,- -,- -,6030000,9416000,10813000,14894000,- -
75,Deferred Income Tax,- -,- -,- -,-1030000,-1144000,-2267000,-1360000,- -
76,Stock Based Compensation,- -,- -,- -,497000,8618000,4864000,1566000,- -
77,Change in Working Capital,- -,- -,-289009,-1083483,45125751,-7405000,-7235000,79581000
78,Accounts Receivable,- -,- -,- -,- -,-2686000,629000,- -,- -
79,Inventory,- -,- -,- -,9823000,-18896000,21477000,63357000,- -
80,Accounts Payable,- -,- -,-57746,2168000,-6135000,-554000,10192000,- -
81,Other Working Capital,- -,- -,301732,-781751,44344000,36939000,29704000,109285000
82,Other Non-Cash Items,- -,- -,-154421,20364596,-67074751,32203000,74082000,-136139000
83,Cash Provided by Operating Activities,- -,- -,-802541,24056000,-5343000,38922000,111067000,81947000
84,CAPEX,- -,- -,- -,- -,-1000,-16875000,-18641000,- -
85,Acquisitions Net,- -,- -,- -,- -,-92000000,-2568000,-16653000,- -
86,Purchases of Investments,- -,- -,-40600000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,102995,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,249000,-4569000,37000,4970000,-30324000
89,Cash Used for Investing Activites,- -,- -,-40497005,-2335000,-96570000,-19406000,-30324000,-30324000
90,Debt Repayment,- -,- -,- -,-5323000,-8820000,-15981000,-64847000,- -
91,Common Stock Issued,- -,- -,41799151,- -,32719000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,90369000,-314000,-185000,- -
93,Dividends Paid,- -,- -,- -,-15000000,-2635000,-1210000,-10983000,- -
94,Other Financing Activites,- -,- -,-435916,7736000,2108000,2844000,27326000,-48689000
95,Cash Used/Provided by Financing Activities,- -,- -,41363235,-12587000,113741000,-14661000,-48689000,-48689000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,63689,-12587000,11828000,4855000,32054000,- -
98,Cash at the End of Period,- -,- -,63789,13292000,11828000,31458000,63512000,63512000
99,Cash at the Beginning of Period,- -,- -,100,- -,- -,26603000,31458000,63512000
100,Free Cash Flow,- -,- -,-802541,21472000,-9664000,22047000,92426000,81947000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1721741/000149315219003769/0001493152-19-003769-index.html,https://www.sec.gov/Archives/edgar/data/1721741/000149315220004435/0001493152-20-004435-index.html,https://www.sec.gov/Archives/edgar/data/1721741/000149315221006447/0001493152-21-006447-index.htm,https://www.sec.gov/Archives/edgar/data/1721741/000149315222006617/0001493152-22-006617-index.htm
102,false,,,,,,,,
