,https://roic.ai/company/TRCK,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,1117520,861868,1070141,8570540,12403677,12625908,12450971,17961803,19791492,15641062,12262198,20792715,27193807,29727018,30570219,34019152,33875167,39661325
2,COGS,1134535,823752,940132,8974174,13108990,12458143,7569775,10030254,13066774,8030168,5499093,8282106,10533229,14125699,13368075,15002161,15229464,18554011
3,Gross Profit,-17015,38116,130009,-403634,-705313,167765,4881196,7931549,6724718,7610894,6763105,12510609,16660578,15601319,17202144,19016991,18645703,21107314
4,Gross Profit Ratio,-0.0152,0.0442,0.1215,-0.0471,-0.0569,0.0133,0.3920,0.4416,0.3398,0.4866,0.5515,0.6017,0.6127,0.5248,0.5627,0.5590,0.5504,0.5322
5,Research and Development Exp.,205341,1766791,2087802,4708256,4811128,1777873,1483385,1453994,1248654,987934,1605662,1562566,2627228,1784867,862142,1313499,1182542,1548527
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14057657,14712650,12216041,13983924,12243459,10381859,10232116
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2183688,2269233,2311725,1895452,2257101,2257667,2716283
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16241345,16981883,14527766,15879376,14500560,12639526,12948399
9,Other Expenses,5541191,7230222,16025373,21976597,36466678,19345225,13481148,15929015,15809420,8039124,12905442,2932172,2709918,2332217,2120746,2047980,2064097,1896481
10,Operating Expenses,5746532,8997013,18113175,26684853,41277806,21123098,14964533,17383009,17058074,9027058,14511104,20736083,22319029,18644850,18862264,17862039,15886165,16393407
11,COGS and Expenses,6881067,9820765,19053307,35659027,54386796,33581241,22534308,27136551,29721170,16697226,19995906,26086017,30142340,34599326,32221839,32853637,31115629,34947418
12,Interest Income ,- -,- -,- -,- -,- -,18187,23139,13072,11445,- -,368434,148795,114235,20086,242973,23929,39592,21573
13,Interest Expense (Gain),- -,- -,- -,- -,- -,5012803,4146459,712840,1489897,17048519,1290289,2690404,2829003,2820924,3004983,2403047,2503542,2192108
14,Depreciation and Amortization,943403,1207931,10090794,3017673,1736492,2087949,1436876,1793557,2078127,2414270,2457991,4399582,4719355,4460885,3977480,4060955,3287809,4408264
15,EBITDA,-5463308,-9775758,-13706951,-23005239,-47850558,-15980748,-8200707,-7384177,-13890083,504181,-2044564,3341285,-947263,2555983,2147422,4784049,6465907,10759887
16,EBITDA ratio,-4.8888,-11.3425,-12.8085,-2.6842,-3.8578,-1.2657,-0.6586,-0.4111,-0.7018,0.0322,-0.1667,0.1607,-0.0348,0.0860,0.0702,0.1406,0.1909,0.2713
17,Operating Income,-5763547,-8958897,-17983166,-27088487,-41983119,-20955333,-10083337,-9451460,-15847751,-1416164,-7747999,-8225474,-5658451,-4872308,-1651620,1165515,2759538,4713907
18,Operating Income ratio,-5.1574,-10.3947,-16.8045,-3.1607,-3.3847,-1.6597,-0.8098,-0.5262,-0.8007,-0.0905,-0.6319,-0.3956,-0.2081,-0.1639,-0.0540,0.0343,0.0815,0.1189
