,https://roic.ai/company/EWLU,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,460874,4681178,6833768,379493,910766,760172,379026,1807965,439033,1481068
2,COGS,285275,654788,617289,344921,274832,156874,358041,287854,454346,1035091
3,Gross Profit,175599,4026390,6216479,34572,635934,603298,20985,1520111,-15313,445977
4,Gross Profit Ratio,0.3810,0.8601,0.9097,0.0911,0.6982,0.7936,0.0554,0.8408,-0.0349,0.3011
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1391858,1386678,2997237,2888079,1190323,1235376,2055709,2268023,1766108,1271500
7,Selling and Marketing Exp.,192460,344959,372913,304786,89220,82091,335628,165461,48190,82981
8,"Selling, General and Administrative Exp.",1584318,1731637,3370150,3192865,1279543,1317467,2391337,2433484,1814298,1354481
9,Other Expenses,51811,48745,39961,34071,33174,- -,- -,- -,- -,448792
10,Operating Expenses,1636129,1780382,3410111,3226936,1312717,1317467,2391337,2433484,1814298,1803273
11,COGS and Expenses,1921404,2435170,4027400,3571857,1587549,1474341,2749378,2721338,2268644,2838364
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,708124,1090881,59372,72582,74157,97572,156163,- -
14,Depreciation and Amortization,51811,48745,39961,34071,33174,31779,160557,150034,248858,252008
15,EBITDA,-1408719,2294753,-324319,-2368988,-643609,-930421,-2911304,-473998,-1412517,414580
16,EBITDA ratio,-3.0566,0.4902,-0.0475,-6.2425,-0.7067,-1.2240,-7.6810,-0.2622,-3.2173,0.2799
17,Operating Income,-1460530,2246008,-836331,-3192364,-676783,-714169,-3180352,-913373,-1813611,-1357296
18,Operating Income ratio,-3.1690,0.4798,-0.1224,-8.4122,-0.7431,-0.9395,-8.3909,-0.5052,-4.1309,-0.9164
19,Total Other Income Expenses (Gains),- -,- -,-708124,-178318,-59372,-320613,34334,191769,-3927,1519868
20,Income Before Tax,-1460530,2246008,-1544455,-3370682,-736155,-1034782,-3146018,-721604,-1817538,162572
21,Income Before Tax Ratio,-3.1690,0.4798,-0.2260,-8.8821,-0.8083,-1.3612,-8.3003,-0.3991,-4.1399,0.1098
22,Income Tax expense (Gain),- -,13011,375,800,800,800,800,800,800,800
23,Net Income,-1460530,2232997,-1072779,-3494740,-736955,-1035582,-3146818,-722404,-1818338,161772
24,Net Income ratio,-3.1690,0.4770,-0.1570,-9.2090,-0.8092,-1.3623,-8.3024,-0.3996,-4.1417,0.1092
25,EPS,-0.03,0.04,-0.02,-0.06,-0.02,-0.02,-0.06,-0.01,-0.03,0.00
26,EPS Diluted,-0.03,0.04,-0.02,-0.06,-0.02,-0.02,-0.06,-0.01,-0.03,0.00
27,Weighted Average Shares Outstanding,55942941,55942941,49230619,50143860,47609616,49308476,57238962,58908139,59769243,59769243
28,Weighted Average Shares Outstanding Diluted,55942941,55942941,49230619,50143860,47609616,49308476,57238962,58908139,59769243,59769243
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1517498/000147793214001190/0001477932-14-001190-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793216012793/0001477932-16-012793-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793217003448/0001477932-17-003448-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793217000563/0001477932-17-000563-index.html,https://www.sec.gov/Archives/edgar/data/1517498/000147793218001362/0001477932-18-001362-index.html,https://www.sec.gov/Archives/edgar/data/1517498/000147793219001247/0001477932-19-001247-index.html,https://www.sec.gov/Archives/edgar/data/1517498/000147793220001852/0001477932-20-001852-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793221001788/0001477932-21-001788-index.htm,https://www.sec.gov/Archives/edgar/data/1517498/000147793222002230/0001477932-22-002230-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,786575,5258236,317346,8550,2054,5038,295521,9237,9506,882
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,786575,5258236,317346,8550,2054,5038,295521,9237,9506,882
34,Net Receivables,38430,30262,3447,25444,77931,50864,673,39781,75258,25144
35,Inventory,232103,217392,228957,181049,81790,80769,50339,165744,80730,22174
36,Other Current Assets,144086,210157,5445544,81624,22559,29068,69631,23350,190059,76856
37,Total Current Assets,1201194,5716047,5995294,296667,184334,165739,416164,238112,355553,125056
38,PP&E,200741,174348,140273,106202,73028,41249,390692,858884,1012812,484303
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,15621,15621,22144278,9850,9850,- -,- -,15410,15410,15410
45,Total Non-Current Assets,216362,189969,22284551,116052,82878,41249,390692,874294,1028222,499713
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1417556,5906016,28279845,412719,267212,206988,806856,1112406,1383775,624769
48,Accounts Payable,2194349,2108586,862296,1025236,260738,297164,1173546,1208257,113125,- -
49,Short-Term Debt,532425,326157,19445551,635080,1010743,1398977,1231138,1643857,239371,305444
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,2329245,4810611,1617369,1486360,1588969,1610236,1522280,6665,503448,749600
52,Other Current Liabilities,7491889,7585612,13287052,10720360,11139050,3565746,3282851,438083,55607,357246
53,Total Current Liabilities,12547908,14830966,35212268,13867036,13999500,6872123,7209815,3296862,911551,1412290
54,Long-Term Debt,102706,75111,46151,39016,498000,484998,- -,2070000,229407,243995
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,611506,- -,- -,- -,- -,1061403,411584,153583
58,Total Non-Current Liabilities,102706,75111,657657,39016,498000,484998,- -,3131403,640991,397578
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,531421,633403,- -
61,Total Liabilities,12650614,14906077,35869925,13906052,14497500,7357121,7209815,6428265,1552542,1809868
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,142829,142829,167829,142829,142829,169162,174792,177404,184556,62287
64,Retained Earnings,-14959589,-12726592,-13799371,-17294111,-18031066,-19066648,-22213466,-22935870,-24754208,-24592436
65,Other Comprehensive Income/Loss,-132390,-180651,-634551,- -,-288341,-320120,-390677,-445369,- -,- -
66,Other Total Stockholders Equity,3716092,3764353,6676013,3657949,3946290,12067473,16026392,17887976,24400885,23345050
67,Total Stockholders Equity,-11233058,-9000061,-7590080,-13493333,-14230288,-7150133,-6402959,-5315859,-168767,-1185099
68,Total Liabilities And Stockholders Equity,1417556,5906016,28279845,412719,267212,206988,806856,1112406,1383775,624769
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
