,https://roic.ai/company/VASO,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,100000,100000,100000,1000000,1400000,100000,2700000,2100000,5200000,6000000,13673632,27508338,34830471,24823619,22207037,15095778,10942997,6354083,5182768,4471186,4205942000,16373424,29240000,32890000,34954000,57082000,72589000,72788000,73980000,75746000,69850000,75579000
2,COGS,- -,- -,- -,- -,100000,-200000,100000,900000,1500000,1800000,3060765,7910359,10538731,9251221,7590103,5504535,4774329,2903113,2830370,2565816,3988860000,5460572,8646000,10377000,9762000,21715000,31087000,32057000,32856000,33083000,62558000,32446000
3,Gross Profit,100000,100000,100000,1000000,1300000,300000,2600000,1200000,3700000,4200000,10612867,19597979,24291740,15572398,14616934,9591243,6168668,3450970,2352398,1905370,217082000,10912852,20594000,22513000,25192000,35367000,41502000,40731000,41124000,42663000,7292000,43133000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,0.9286,3.0000,0.9630,0.5714,0.7115,0.7000,0.7762,0.7124,0.6974,0.6273,0.6582,0.6354,0.5637,0.5431,0.4539,0.4261,0.0516,0.6665,0.7043,0.6845,0.7207,0.6196,0.5717,0.5596,0.5559,0.5632,0.1044,0.5707
5,Research and Development Exp.,- -,- -,- -,- -,400000,600000,400000,1000000,1600000,700000,1411503,2554470,5112258,4544822,3748389,3064683,1805667,933316,474111,519509,418803000,462110,576000,689000,803000,515000,530000,945000,886000,813000,745000,1721000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37054000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",800000,900000,4600000,5000000,4400000,2500000,3700000,4200000,5700000,5900000,7518836,11959965,14990958,17443397,14207756,12017858,7975850,4051993,2626045,3013276,3772569,14383380,23526000,23114000,23326000,30913000,39408000,43618000,43962000,40838000,37054000,38593000
9,Other Expenses,- -,- -,- -,300000,700000,300000,800000,500000,400000,500000,483627,- -,- -,- -,- -,- -,- -,- -,- -,- -,-418384197,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,800000,900000,4600000,5300000,5500000,3400000,4900000,5700000,7700000,7100000,9413966,14514435,20103216,21988219,17956145,15082541,9781517,4985309,3100156,3532785,4191372,14845490,24102000,23803000,24129000,31428000,39938000,44563000,44848000,41651000,37799000,40314000
11,COGS and Expenses,800000,900000,4600000,5300000,5600000,3200000,5000000,6600000,9200000,8900000,12474731,22424794,30641947,31239440,25546248,20587076,14555846,7888422,5930526,6098601,8180232000,20306062,32748000,34180000,33891000,53143000,71025000,76620000,77704000,74734000,100357000,72760000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201992,249722,176724,99393,74153,75508,53648,61083,55334,79871,27839,150000,- -,- -,312000,187000,101000,143000,131000,176000,- -
