,https://roic.ai/company/DSKE,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,678845000,- -,846304000,1613082000,1737000000,1454100000,1556800000
2,COGS,593291000,- -,764252000,1449745000,1579000000,1245500000,1316000000
3,Gross Profit,85554000,- -,82052000,163337000,158000000,208600000,240800000
4,Gross Profit Ratio,0.1260,- -,0.0970,0.1013,0.0910,0.1435,0.1547
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,43399000,9991000,59340000,107545000,129800000,137000000,144800000
7,Selling and Marketing Exp.,2911000,- -,1965000,3369000,5100000,1800000,- -
8,"Selling, General and Administrative Exp.",46310000,9991000,61305000,110914000,134900000,138800000,144800000
9,Other Expenses,9228000,- -,11055000,17174000,19200000,16400000,- -
10,Operating Expenses,55538000,9991000,72360000,128088000,154100000,155200000,144800000
11,COGS and Expenses,648829000,9991000,836612000,1577833000,1733100000,1400700000,1460800000
12,Interest Income ,69000,508000,398000,1323000,1000000,600000,- -
13,Interest Expense (Gain),20602000,- -,29556000,45505000,50400000,44900000,- -
14,Depreciation and Amortization,63573000,- -,76863000,131082000,146500000,98300000,- -
15,EBITDA,94901000,-9991000,81133000,155478000,-165100000,149200000,82000000
16,EBITDA ratio,0.1398,-Infinity,0.0959,0.0964,-0.0950,0.1026,0.0527
17,Operating Income,31008000,-9991000,7015000,21911000,-312100000,35400000,112800000
18,Operating Income ratio,0.0457,-Infinity,0.0083,0.0136,-0.1797,0.0243,0.0725
19,Total Other Income Expenses (Gains),-20282000,508000,-32301000,-43020000,-49900000,-29400000,-30800000
20,Income Before Tax,10726000,-9483000,-25286000,-21109000,-362000000,6000000,82000000
21,Income Before Tax Ratio,0.0158,-Infinity,-0.0299,-0.0131,-0.2084,0.0041,0.0527
22,Income Tax expense (Gain),7463000,- -,-52282000,-15922000,-54600000,-200000,26000000
23,Net Income,3263000,-9483000,26996000,-5187000,-307400000,6200000,56000000
24,Net Income ratio,0.0048,-Infinity,0.0319,-0.0032,-0.1770,0.0043,0.0360
25,EPS,-0.07,-1.46,0.59,-0.16,-4.86,0.02,0.86
26,EPS Diluted,-0.07,-1.46,0.56,-0.16,-4.86,0.02,0.86
27,Weighted Average Shares Outstanding,20980961,6490000,37592549,61654820,64303438,64775275,62583115
28,Weighted Average Shares Outstanding Diluted,20980961,6490000,39593701,61654820,64303438,65671246,70000603
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1642453/000121390016011096/0001213900-16-011096-index.htm,https://www.sec.gov/Archives/edgar/data/1642453/000121390017001766/0001213900-17-001766-index.htm,https://www.sec.gov/Archives/edgar/data/1642453/000155837018002217/0001558370-18-002217-index.htm,https://www.sec.gov/Archives/edgar/data/1642453/000155837019001728/0001558370-19-001728-index.htm,https://www.sec.gov/Archives/edgar/data/1642453/000155837020002328/0001558370-20-002328-index.htm,https://www.sec.gov/Archives/edgar/data/1642453/000155837021001921/0001558370-21-001921-index.htm,https://www.sec.gov/Archives/edgar/data/1642453/000095017022001690/0000950170-22-001690-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,2004000,591000,90679000,45974000,95700000,176200000,147500000
32,Short-Term Investments,- -,- -,10979000,- -,- -,- -,- -
33,Cash and Short-Term Investments,2004000,591000,101658000,45974000,95700000,176200000,147500000
34,Net Receivables,- -,- -,139676000,226841000,199400000,157100000,172300000
35,Inventory,- -,- -,4653000,4914000,3500000,3100000,- -
36,Other Current Assets,50000,44000,20724000,30321000,28500000,28700000,30000000
37,Total Current Assets,2054000,635000,266711000,308050000,327100000,365100000,349800000
38,PP&E,- -,- -,429639000,572719000,534900000,523800000,397700000
39,Goodwill,- -,- -,302702000,258365000,139900000,140100000,- -
40,Intangible Assets,- -,- -,93120000,208791000,109100000,93800000,- -
41,Intangible Assets,- -,- -,395822000,467156000,249000000,233900000,227000000
42,Investments,199654000,199783000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,33496000,42943000,29600000,4100000,112600000
45,Total Non-Current Assets,199654000,199783000,858957000,1082818000,813500000,761800000,737300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,201708000,200418000,1125668000,1390868000,1140600000,1126900000,1087100000
48,Accounts Payable,197000,328000,12488000,22160000,20500000,16500000,14700000
49,Short-Term Debt,- -,- -,43056000,63535000,59400000,84900000,55500000
50,Tax Payable,- -,83000,378000,4456000,3000000,2600000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,8062000,52524000,108164000,139900000,89300000,141700000
53,Total Current Liabilities,197000,8390000,108068000,193859000,219800000,190700000,211900000
54,Long-Term Debt,- -,- -,574301000,622650000,614000000,714600000,531400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,90434000,126830000,69900000,70000000,- -
57,Other Non-Current Liabilities,7185000,7185000,1632000,531000,98200000,6500000,167800000
58,Total Non-Current Liabilities,7185000,7185000,666367000,750011000,782100000,791100000,699200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,25500000,158200000,- -
61,Total Liabilities,7382000,15575000,774435000,943870000,1001900000,981800000,911100000
62,Preferred Stock,- -,- -,65000000,65000000,65000000,65000000,- -
63,Common Stock,189327000,179844000,5000,6000,- -,- -,- -
64,Retained Earnings,-270000,-9753000,7338000,-51005000,-363400000,-362100000,- -
65,Other Comprehensive Income/Loss,- -,- -,959000,-870000,-400000,- -,- -
66,Other Total Stockholders Equity,5269000,14752000,277931000,433867000,824500000,- -,- -
67,Total Stockholders Equity,194326000,184843000,351233000,446998000,138700000,145100000,176000000
68,Total Liabilities And Stockholders Equity,201708000,200418000,1125668000,1390868000,1140600000,1126900000,1087100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,201708000,200418000,1125668000,1390868000,1140600000,1126900000,1087100000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1642453/000121390016011096/0001213900-16-011096-index.htm,https://www.sec.gov/Archives/edgar/data/1642453/000121390017001766/0001213900-17-001766-index.htm,https://www.sec.gov/Archives/edgar/data/1642453/000155837018002217/0001558370-18-002217-index.htm,https://www.sec.gov/Archives/edgar/data/1642453/000155837019001728/0001558370-19-001728-index.htm,https://www.sec.gov/Archives/edgar/data/1642453/000155837020002328/0001558370-20-002328-index.htm,https://www.sec.gov/Archives/edgar/data/1642453/000155837021001921/0001558370-21-001921-index.htm,https://www.sec.gov/Archives/edgar/data/1642453/000095017022001690/0000950170-22-001690-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,3263000,-9483000,26996000,-5187000,-307400000,6200000,56000000
74,Depreciation and Amortization,63573000,- -,76863000,131082000,146500000,98300000,- -
75,Deferred Income Tax,7007000,- -,-53394000,-19836000,-59800000,-100000,- -
76,Stock Based Compensation,- -,- -,1875000,3585000,3800000,5900000,- -
77,Change in Working Capital,8868000,-9612000,166398000,-44452000,-6891000,67100000,- -
78,Accounts Receivable,6837000,- -,-15294000,-33176000,8200000,42200000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-5139000,8193000,283000,-8889000,-1800000,-4100000,- -
81,Other Working Capital,1857000,-7755000,158643000,114191000,107300000,174400000,- -
82,Other Non-Cash Items,2373000,17682000,-172974000,40071000,337891000,-32500000,88700000
83,Cash Provided by Operating Activities,85084000,-1413000,45764000,105263000,114100000,144900000,144700000
84,CAPEX,-6431000,- -,-19792000,-66414000,-22000000,-37200000,- -
85,Acquisitions Net,64000,- -,-279834000,-131716000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,2215000,- -,5773000,26359000,37800000,68800000,4900000
89,Cash Used for Investing Activites,-4152000,- -,-293853000,-171771000,15800000,31600000,4900000
90,Debt Repayment,-744303000,- -,-1063153000,-1164352000,-1431300000,-1568600000,- -
91,Common Stock Issued,- -,- -,127893000,84397000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-36168000,- -,- -,- -,- -
93,Dividends Paid,-4487000,- -,-6174000,-4956000,-5000000,-4900000,- -
94,Other Financing Activites,670338000,- -,1312743000,1105822000,1356700000,1477100000,-178200000
95,Cash Used/Provided by Financing Activities,-78452000,- -,335141000,20911000,-79600000,-96400000,-178200000
96,Effect of Forex Changes on Cash,- -,- -,-68000,892000,-600000,400000,-100000
97,Net Change In Cash,2480000,-1413000,86984000,-44705000,49700000,80500000,-178200000
98,Cash at the End of Period,4886000,591000,90679000,45974000,95700000,176200000,- -
99,Cash at the Beginning of Period,2406000,2004000,3695000,90679000,46000000,95700000,- -
100,Free Cash Flow,78653000,-1413000,25972000,38849000,92100000,107700000,144700000
