,https://roic.ai/company/DSX,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,11359000,11942000,25277000,63839000,103104000,116101000,190480000,337391000,239342000,275448000,256786000,223232000,164452000,175576000,157712000,114259000,161897000,226189000,220728000,169733000,214203000
2,COGS,- -,- -,- -,10014000,16319000,21435000,28548000,38029000,54902000,53334000,64977000,65972000,136577000,150071000,168091000,180133000,181359000,185978000,155121000,153046000,142363000,120818000
3,Gross Profit,- -,- -,- -,15263000,47520000,81669000,87553000,152451000,282489000,186008000,210471000,190814000,86655000,14381000,7485000,-22421000,-67100000,-24081000,71068000,67682000,27370000,93385000
4,Gross Profit Ratio,- -,- -,- -,0.6038,0.7444,0.7921,0.7541,0.8004,0.8373,0.7772,0.7641,0.7431,0.3882,0.0874,0.0426,-0.1422,-0.5873,-0.1487,0.3142,0.3066,0.1613,0.4360
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24913000,23724000,26217000,25740000,26974000,28215000,31912000,30756000,34795000,29192000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,70000,140000,3049000,3722000,2871000,6331000,11718000,13831000,17464000,25347000,25123000,24913000,23724000,26217000,25740000,26974000,28215000,31912000,30756000,34795000,29192000
9,Other Expenses,- -,2347000,- -,5448000,6618000,12099000,17306000,2795000,42821000,44208000,53083000,55278000,- -,- -,- -,- -,- -,296000,-542000,- -,-230000,2035000
10,Operating Expenses,- -,2417000,- -,8497000,10340000,14970000,23637000,14513000,56652000,61672000,78430000,80401000,24913000,23724000,26217000,25740000,26974000,28511000,31370000,30756000,34565000,31227000
11,COGS and Expenses,- -,2417000,3144000,18511000,26659000,36405000,52185000,52542000,111554000,115006000,143407000,146373000,161490000,173795000,194308000,205873000,208333000,214489000,186491000,183802000,176928000,152045000
