,https://roic.ai/company/NDRAW,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,559355,1410064,515582,351622,6174,- -,- -,- -
2,COGS,259145,666233,235878,172782,- -,- -,- -,- -
3,Gross Profit,300210,743831,279704,178840,6174,- -,- -,- -
4,Gross Profit Ratio,0.5367,0.5275,0.5425,0.5086,1.0000,- -,- -,- -
5,Research and Development Exp.,873167,1038878,495377,1931075,4722465,6574999,5917944,5482531
6,General and Administrative Exp.,896926,1222888,1541956,2628615,3489894,3443725,4420187,4940398
7,Selling and Marketing Exp.,56298,50635,34130,122604,262641,412434,581893,1075376
8,"Selling, General and Administrative Exp.",953224,1273523,1576086,2751219,3752535,3856159,5002080,6015774
9,Other Expenses,- -,1,-1,122604,550182,412434,581893,- -
10,Operating Expenses,1826391,2312402,2071462,4804898,9025182,10843592,11501917,11498305
11,COGS and Expenses,2085536,2978635,2307340,4977680,9025182,10843592,11501917,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,2355469,232426,- -
14,Depreciation and Amortization,37242,72225,64936,772953,797557,2470480,99342,224415
15,EBITDA,-2143636,-2206979,-2710433,-4604009,-8998704,-8373112,-11626159,-11006835
16,EBITDA ratio,-3.8323,-1.5652,-5.2570,-13.0936,-1457.5160,-Infinity,-Infinity,-Infinity
17,Operating Income,-1526181,-1568571,-1791759,-4626058,-9019008,-10843592,-11501917,- -
18,Operating Income ratio,-2.7285,-1.1124,-3.4752,-13.1563,-1460.8047,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),-654697,-710633,-983610,-750904,-777253,-2462372,-223584,- -
20,Income Before Tax,-2180878,-2279204,-2775369,-5376962,-9796261,-13305964,-11725501,-11231250
21,Income Before Tax Ratio,-3.8989,-1.6164,-5.3830,-15.2919,-1586.6960,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,121071
23,Net Income,-2180878,-2279204,-2775369,-5376962,-9796261,-17525741,-11725501,-11352321
24,Net Income ratio,-3.8989,-1.6164,-5.3830,-15.2919,-1586.6960,-Infinity,-Infinity,-Infinity
25,EPS,-0.79,-0.83,-1.01,-1.95,-2.17,-2.34,-0.85,-0.82
26,EPS Diluted,-0.79,-0.83,-1.01,-1.95,-2.17,-2.34,-0.85,-0.82
27,Weighted Average Shares Outstanding,2756956,2756956,2756956,2756956,4504873,7499984,13803215,13803215
28,Weighted Average Shares Outstanding Diluted,2756956,2756956,2756956,2756956,4504873,7499984,13803215,13803215
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1681682/000165495418002829/0001654954-18-002829-index.htm,https://www.sec.gov/Archives/edgar/data/1681682/000165495419002560/0001654954-19-002560-index.htm,https://www.sec.gov/Archives/edgar/data/1681682/000165495420003346/0001654954-20-003346-index.htm,https://www.sec.gov/Archives/edgar/data/1681682/000165495421003302/0001654954-21-003302-index.htm,https://www.sec.gov/Archives/edgar/data/1681682/000165495422004172/0001654954-22-004172-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,156442,19128,144953,5601878,6471375,6174207,7227316,9461534
32,Short-Term Investments,- -,- -,- -,67496,- -,- -,- -,- -
