,https://roic.ai/company/PSNL,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,9393000,37774000,65207000,78648000,85494000
2,COGS,11736000,25969000,43127000,58534000,53837000
3,Gross Profit,-2343000,11805000,22080000,20114000,31657000
4,Gross Profit Ratio,-0.2494,0.3125,0.3386,0.2557,0.3703
5,Research and Development Exp.,9919000,14304000,22418000,28568000,49312000
6,General and Administrative Exp.,9901000,11271000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",9901000,11271000,22080000,33692000,47698000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,19820000,25575000,44498000,62260000,97010000
11,COGS and Expenses,31556000,51544000,87625000,120794000,150847000
12,Interest Income ,100000,293000,1620000,949000,367000
13,Interest Expense (Gain),1303000,1894000,1133000,2000,184000
14,Depreciation and Amortization,1216000,3066000,4748000,5758000,6014000
15,EBITDA,-21074000,-14919000,-19194000,-35463000,-59014000
16,EBITDA ratio,-2.2436,-0.3950,-0.2944,-0.4509,-0.6903
17,Operating Income,-22163000,-13770000,-22418000,-42146000,-65353000
18,Operating Income ratio,-2.3595,-0.3645,-0.3438,-0.5359,-0.7644
19,Total Other Income Expenses (Gains),-1430000,-6109000,-2657000,923000,141000
20,Income Before Tax,-23593000,-19879000,-25075000,-41223000,-65212000
21,Income Before Tax Ratio,-2.5118,-0.5263,-0.3845,-0.5241,-0.7628
22,Income Tax expense (Gain),5000,7000,9000,57000,14000
23,Net Income,-23598000,-19886000,-25084000,-41280000,-65226000
24,Net Income ratio,-2.5123,-0.5264,-0.3847,-0.5249,-0.7629
25,EPS,-1.08,-0.95,-1.39,-1.20,-1.49
26,EPS Diluted,-1.08,-0.95,-1.39,-1.20,-1.49
27,Weighted Average Shares Outstanding,21754727,20483543,18011470,34374903,43886730
28,Weighted Average Shares Outstanding Diluted,21754727,20483543,18011470,34374903,43886730
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1527753/000156459020012826/0001564590-20-012826-index.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459021008848/0001564590-21-008848-index.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459022006722/0001564590-22-006722-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,22617000,19744000,55046000,68525000,105585000
32,Short-Term Investments,- -,- -,73243000,134765000,181479000
33,Cash and Short-Term Investments,22617000,19744000,128289000,203290000,287064000
34,Net Receivables,1937000,4457000,3300000,6349000,18468000
35,Inventory,822000,2134000,1424000,2675000,4081000
36,Other Current Assets,1350000,3224000,6565000,8405000,8618000
37,Total Current Assets,26726000,29559000,139578000,220719000,318231000
38,PP&E,6342000,11452000,15951000,22105000,73472000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,495000,659000,1762000,2018000,4825000
45,Total Non-Current Assets,6837000,12111000,17713000,24123000,78297000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,33563000,41670000,157291000,244842000,396528000
48,Accounts Payable,4035000,6565000,7337000,8301000,9221000
49,Short-Term Debt,12506000,4996000,1361000,2445000,5534000
50,Tax Payable,- -,- -,210000,95000,121000
51,Deferred Revenue,24708000,42900000,35977000,21034000,4364000
52,Other Current Liabilities,7739000,3389000,5287000,8856000,12194000
53,Total Current Liabilities,48988000,57850000,49962000,40636000,31313000
54,Long-Term Debt,- -,- -,639000,8541000,52797000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,77178000,90208000,- -,720000,2117000
58,Total Non-Current Liabilities,77178000,90208000,639000,9261000,54914000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,2000000,10986000,56525000
61,Total Liabilities,126166000,148058000,50601000,49897000,86227000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,3000,4000,4000
64,Retained Earnings,-95619000,-115505000,-140589000,-181869000,-247095000
65,Other Comprehensive Income/Loss,-3268000,-5204000,-6000,22000,-166000
66,Other Total Stockholders Equity,6283000,14320000,247282000,376788000,557558000
67,Total Stockholders Equity,-92603000,-106388000,106690000,194945000,310301000
68,Total Liabilities And Stockholders Equity,33563000,41670000,157291000,244842000,396528000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,33563000,41670000,157291000,244842000,396528000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1527753/000156459020012826/0001564590-20-012826-index.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459021008848/0001564590-21-008848-index.htm,https://www.sec.gov/Archives/edgar/data/1527753/000156459022006722/0001564590-22-006722-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-23598000,-19886000,-25084000,-41280000,-65226000
74,Depreciation and Amortization,1216000,3066000,4748000,5758000,6014000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,753000,1317000,4858000,8238000,14378000
77,Change in Working Capital,20759000,-6029000,-7263000,-17229000,-31144000
78,Accounts Receivable,-1203000,-2519000,1069000,-3049000,-12118000
79,Inventory,-539000,-2068000,-1174000,-1076000,29000
80,Accounts Payable,2635000,2164000,1398000,751000,-1457000
81,Other Working Capital,-22262000,-28291000,-6920000,-14942000,-17052000
82,Other Non-Cash Items,1160000,27104000,4672000,1860000,5150000
