,https://roic.ai/company/CEI,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,300000,1330084,3080668,3382060,1777736,3022085,5258461,8247084,5219752,3000886,968146,5302024,6859767,2742102,397118
2,COGS,- -,130000,313004,727968,1345928,1048333,1903285,4605979,7777897,4801122,3290515,1743485,6216083,6655573,3482671,514516
3,Gross Profit,- -,170000,1017080,2352700,2036132,729403,1118800,652482,469187,418630,-289629,-775339,-914059,204194,-740569,-117398
4,Gross Profit Ratio,- -,0.5667,0.7647,0.7637,0.6020,0.4103,0.3702,0.1241,0.0569,0.0802,-0.0965,-0.8008,-0.1724,0.0298,-0.2701,-0.2956
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,60000,208395,1597412,1594598,1690170,4064001,5630016,6098773,3958314,3312689,2500814,4044148,7173829,5152766,4909871
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",22985,60000,208395,1597412,1594598,1690170,4064001,5630016,6098773,3958314,3312689,2500814,4044148,7173829,5152766,4909871
9,Other Expenses,- -,40000,153903,697599,1071637,916772,1291581,2008235,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,22985,100000,362298,2295011,2666235,2606942,5355582,7638251,6098773,3958314,3312689,2500814,4044148,7173829,5152766,4909871
11,COGS and Expenses,22985,230000,675302,3022979,4012163,3655275,7258867,12244230,13876670,8759436,6603204,4244299,10260231,13829402,8635437,5424387
12,Interest Income ,- -,- -,- -,- -,1970,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,-10000,- -,- -,89193,301787,262144,633182,1367844,1169440,1365672,696506,3165151,6018829,2438097,14771
14,Depreciation and Amortization,- -,40000,153903,697599,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-22985,100000,603371,788890,-2844425,-2018930,-4258138,-6968300,-5388474,-3518174,-3749102,-24753249,-85973088,-18752759,19084250,-3841528
16,EBITDA ratio,-Infinity,0.3333,0.4536,0.2561,-0.8410,-1.1357,-1.4090,-1.3252,-0.6534,-0.6740,-1.2493,-25.5677,-16.2151,-2.7337,6.9597,-9.6735
17,Operating Income,-22985,80000,654782,57689,-630103,-1877539,-4236782,-6985769,-5629586,-3539684,-3602318,-24667643,-84100320,-18666705,18610126,-5027269
18,Operating Income ratio,-Infinity,0.2667,0.4923,0.0187,-0.1863,-1.0561,-1.4019,-1.3285,-0.6826,-0.6781,-1.2004,-25.4793,-15.8619,-2.7212,6.7868,-12.6594
19,Total Other Income Expenses (Gains),- -,-10000,-205314,33602,-2303515,-443168,-283500,-615713,-1126732,-1147930,-1512456,-782112,-5037919,-6104883,-1963973,1170970
20,Income Before Tax,- -,70000,449468,91291,-2933618,-2320707,-4520282,-7601482,-6756318,-4687614,-5114774,-25449755,-89138239,-24771588,16646153,-3856299
21,Income Before Tax Ratio,- -,0.2333,0.3379,0.0296,-0.8674,-1.3054,-1.4957,-1.4456,-0.8192,-0.8981,-1.7044,-26.2871,-16.8121,-3.6111,6.0706,-9.7107
22,Income Tax expense (Gain),- -,10000,127340,68689,-834127,- -,- -,- -,39161,- -,13500,- -,-15000,- -,3000,- -
23,Net Income,-23253,60000,322128,22602,-2099491,-2320717,-4520282,-7601482,-6795479,-4687614,-5128274,-25449755,-89123239,-24771588,16643153,-3856299
24,Net Income ratio,-Infinity,0.2000,0.2422,0.0073,-0.6208,-1.3054,-1.4957,-1.4456,-0.8240,-0.8981,-1.7089,-26.2871,-16.8093,-3.6111,6.0695,-9.7107
25,EPS,-23253.00,60000.00,322128.00,43465.38,-4037482.69,-3626120.31,-5381288.10,-7601482.00,-6795479.00,-4687614.00,-5128274.00,-12724877.50,-2621271.74,-134628.20,2775.00,-5.50
26,EPS Diluted,-23253.00,60000.00,322128.00,43465.38,-4037482.69,-3626120.31,-5381288.10,-7601482.00,-6795479.00,-4687614.00,-5128274.00,-12724877.50,-2621271.74,-134628.20,262.50,-5.50
27,Weighted Average Shares Outstanding,1,360111036,1,1,1,1,1,1,1,1,1,2,34,184,3950,2109622
28,Weighted Average Shares Outstanding Diluted,1,360111036,1,1,1,1,1,1,1,1,1,2,34,184,41805,2109622
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1309082/000114090508000085/0001140905-08-000085-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000114090509000084/0001140905-09-000084-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000114036110029396/form10k.htm,https://www.sec.gov/Archives/edgar/data/1309082/000121478211000112/0001214782-11-000112-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000143209312000511/lucas10k033112.htm,https://www.sec.gov/Archives/edgar/data/1309082/000121478213000266/0001214782-13-000266-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000158069514000371/0001580695-14-000371-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000121478215000065/lei10k033115.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069516000544/lei-10k_033116.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069517000318/cei-10k_033117.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069518000342/cei-10k_033118.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069519000263/cei-10k_033119.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069520000260/0001580695-20-000260-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,26579,60000,710018,1142386,136841,1822780,2471108,683979,450691,522155,166597,197662,705234,760317,7778723,656615
32,Short-Term Investments,- -,- -,- -,2388355,293336,21450,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,26579,60000,710018,3530741,430177,1844230,2471108,683979,450691,522155,166597,197662,705234,760317,7778723,656615
34,Net Receivables,- -,30000,131485,559886,138283,244164,806098,1476976,832801,609097,170542,93523,1218251,646891,129037,255363
35,Inventory,- -,- -,- -,- -,- -,- -,- -,63868,64630,112677,194519,194997,202677,- -,- -,- -
36,Other Current Assets,471,10000,70823,38849,179370,414602,152793,199677,337860,342787,165800,56805,1804522,257567,263205,220682
37,Total Current Assets,27050,100000,912326,4129476,747830,2502996,3429999,2424500,1685982,1586716,697458,542987,3930684,1664775,8170965,1132660
38,PP&E,- -,530000,9457541,18134484,21099346,22238186,20990764,61169997,36057305,38808488,37115915,14190429,35781159,12545579,213188,110617
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,957169
43,Tax Assets,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,80000,56123,51766,307750,57525,557112,426570,- -,343273,125145,58716,146369,57510,198519,7494772
45,Total Non-Current Assets,- -,620000,9513664,18186250,21407096,22295711,21547876,61596567,36057305,39151761,37241060,14249145,35927528,12603089,411707,8562558
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,27050,720000,10425990,22315726,22154926,24798707,24977875,64021067,37743287,40738477,37938518,14792132,39858212,14267864,8582672,9695218
48,Accounts Payable,4750,- -,386004,1174737,808598,1391446,2236917,8605490,3696848,2554977,2436543,2423949,3094131,2972261,1521329,1474221
49,Short-Term Debt,- -,- -,- -,- -,300000,2150000,30727,22076894,2259085,1793367,7599411,8095551,44281649,35691567,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,3000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,40000,52766,- -,152472,3110833,1116388,3209593,592932,297879,246338,565804,838207,1340730,582473,554687
53,Total Current Liabilities,4750,40000,438770,1174737,1261070,6652279,3384032,33891977,6548865,4646223,10282292,11085304,48213987,40004558,2103802,2028908
54,Long-Term Debt,- -,130000,2300000,- -,2350000,- -,60114,25489,- -,5430144,- -,- -,145695,247403,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,132185,834126,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,111022,141512,181599,327412,409112,985152,851873,978430,1051694,1306130,2067509,979164,303814,5041523
58,Total Non-Current Liabilities,- -,130000,2543207,975638,2531599,327412,469226,1010641,851873,6408574,1051694,1306130,2213204,1226567,303814,5041523
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,4750,170000,2981977,2150375,3792669,6979691,3853258,34902618,7400738,11054797,11333986,12391434,50427191,41231125,2407616,7070431
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,8262354,3095600,3095600,773900,773900,553,410,46,2
63,Common Stock,2500,20000,29792,10246,10383,12837,16728,19582,26751,30018,35057,1605,27116,5759,16803,5000
64,Retained Earnings,-29700,60000,384444,407046,-463192,-2783909,-7304191,-14905673,-21701152,-26388766,-31517040,-56966795,-146090034,-170861622,-154218469,-158074768
65,Other Comprehensive Income/Loss,- -,-40000,-166204,1229253,- -,-2497505,-3753275,-5716989,-9204649,-11190505,-12604570,-34748434,598650,2467910,8141843,15878926
66,Other Total Stockholders Equity,- -,510000,7195981,18518806,18815066,23087593,32165355,41459175,58125999,64137333,69917185,93340422,134894736,141424282,152234833,144815627
67,Total Stockholders Equity,22300,550000,7444013,20165351,18362257,17819016,21124617,29118449,30342549,29683680,26604532,2400698,-10568979,-26963261,6175056,2624787
68,Total Liabilities And Stockholders Equity,27050,720000,10425990,22315726,22154926,24798707,24977875,64021067,37743287,40738477,37938518,14792132,39858212,14267864,8582672,9695218
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,27050,720000,10425990,22315726,22154926,24798707,24977875,64021067,37743287,40738477,37938518,14792132,39858212,14267864,8582672,9695218
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1309082/000114090508000085/0001140905-08-000085-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000114090509000084/0001140905-09-000084-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000114036110029396/form10k.htm,https://www.sec.gov/Archives/edgar/data/1309082/000121478211000112/0001214782-11-000112-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000143209312000511/lucas10k033112.htm,https://www.sec.gov/Archives/edgar/data/1309082/000121478213000266/0001214782-13-000266-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000158069514000371/0001580695-14-000371-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000121478215000065/lei10k033115.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069516000544/lei-10k_033116.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069517000318/cei-10k_033117.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069518000342/cei-10k_033118.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069519000263/cei-10k_033119.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069520000260/0001580695-20-000260-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-23253,60000,322128,22602,-2099491,-2320717,-4520282,-7601482,-6795479,-4687614,-5128274,-25449755,-89123239,-24771588,16643153,-3856299
74,Depreciation and Amortization,- -,40000,153903,697599,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,68689,-834126,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,320928,128472,1130070,423992,761210,413711,211572,159318,114874,1194243,343631,200690
77,Change in Working Capital,-1151,37700,334735,268466,29154,385939,-2351430,8121736,852706,-1915884,1575169,554700,-1440641,3272303,-425533,-431028
78,Accounts Receivable,- -,- -,- -,- -,421603,- -,-590085,-610721,584018,223704,438555,77019,-1268667,312766,327489,-144020
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-63868,-762,-48047,-81842,-478,-7680,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,60000,-25857,4357,-5062,-25195,403,57112,36231,-1384085,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,6000,-47700,- -,105000,3165464,1088339,896834,-4305226,3366923,2505323,1865013,22666418,84055798,14538938,-22334679,498173
83,Cash Provided by Operating Activities,-18404,90000,810766,1162356,581929,-717967,-4844808,-3360980,-1814640,-3684464,-1476520,-2069319,-6393208,-5766104,-5773428,-3588464
84,CAPEX,- -,-780000,-4859477,-9749471,-3988596,-1986677,-13500381,-14448407,-9209320,-5892543,-2015763,-221763,-20850,-1570,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54021,-4975000,- -,- -,-1652116
86,Purchases of Investments,- -,- -,- -,-10000,-121273,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,365000,- -,92495,- -,13273,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,150000,741508,-400000,188500,1595208,14321004,10562069,3834651,482935,1275446,352384,-3855997,-121542,-2237000,-7988903
89,Cash Used for Investing Activites,- -,-630000,-4117969,-9794471,-3921369,-298974,820623,-3873065,-5374669,-5409608,-740317,184642,-8851847,-123112,-2237000,-9641019
90,Debt Repayment,- -,- -,- -,- -,- -,-500000,-2150000,-313458,-283220,-4316183,-249853,-117000,-35425766,-2861394,- -,- -
91,Common Stock Issued,- -,- -,1936000,11364483,- -,277500,6777513,5760374,6826740,3303057,1802090,104754,- -,- -,- -,- -
92,Common Stock Repurchased,- -,480000,- -,- -,-49159,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000
94,Other Financing Activites,- -,120000,2021989,-2300000,2383054,2925380,45000,- -,412501,10178662,309042,1927988,51178393,8805693,15000000,6132375
95,Cash Used/Provided by Financing Activities,- -,600000,3957989,9064483,2333895,2702880,4672513,5446916,6956021,9165536,1861279,1915742,15752627,5944299,15000000,6107375
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-18404,60000,650786,432368,-1005545,1685939,648328,-1787129,-233288,71464,-355558,31065,507572,55083,6989572,-7122108
98,Cash at the End of Period,26579,90000,710018,1142386,136841,1822780,2471108,683979,450691,522155,166597,197662,705234,760317,7778723,656615
99,Cash at the Beginning of Period,44983,30000,59232,710018,1142386,136841,1822780,2471108,683979,450691,522155,166597,197662,705234,789151,7778723
100,Free Cash Flow,-18404,-690000,-4048711,-8587115,-3406667,-2704644,-18345189,-17809387,-11023960,-9577007,-3492283,-2291082,-6414058,-5767674,-5773428,-3588464
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1309082/000114090508000085/0001140905-08-000085-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000114090509000084/0001140905-09-000084-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000114036110029396/form10k.htm,https://www.sec.gov/Archives/edgar/data/1309082/000121478211000112/0001214782-11-000112-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000143209312000511/lucas10k033112.htm,https://www.sec.gov/Archives/edgar/data/1309082/000121478213000266/0001214782-13-000266-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000158069514000371/0001580695-14-000371-index.html,https://www.sec.gov/Archives/edgar/data/1309082/000121478215000065/lei10k033115.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069516000544/lei-10k_033116.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069517000318/cei-10k_033117.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069518000342/cei-10k_033118.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069519000263/cei-10k_033119.htm,https://www.sec.gov/Archives/edgar/data/1309082/000158069520000260/0001580695-20-000260-index.htm
102,false,,,,,,,,,,,,,,,,
