,https://roic.ai/company/EVGN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,14901000,17072000,17580000,14511000,11129000,6540000,3381000,1747000,753000,1040000,930000
2,COGS,8247000,9552000,10420000,10637000,9763000,7759000,4481000,2701000,334000,574000,767000
3,Gross Profit,6654000,7520000,7160000,3874000,1366000,-1219000,-1100000,-954000,419000,466000,163000
4,Gross Profit Ratio,0.4465,0.4405,0.4073,0.2670,0.1227,-0.1864,-0.3253,-0.5461,0.5564,0.4481,0.1753
5,Research and Development Exp.,6384000,7252000,8220000,10333000,10660000,11560000,12043000,11768000,13049000,17287000,21125000
6,General and Administrative Exp.,3453000,3394000,6540000,7492000,7096000,6615000,6931000,6606000,5661000,7993000,9991000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3453000,3394000,6540000,7492000,7096000,6615000,6931000,6606000,5661000,7993000,9991000
9,Other Expenses,- -,- -,1428000,2233000,3039000,3815000,3509000,1910000,2875000,- -,- -
10,Operating Expenses,9837000,10646000,16188000,20058000,20795000,21990000,22483000,20284000,21585000,25280000,31116000
11,COGS and Expenses,18084000,20198000,26300000,29856000,29382000,27629000,25328000,21736000,21919000,25854000,31883000
12,Interest Income ,383000,869000,1041000,2224000,2530000,2400000,2125000,1413000,759000,230000,1935000
13,Interest Expense (Gain),7000,89000,950000,1015000,1235000,1688000,1249000,-652000,2075000,237000,1414000
14,Depreciation and Amortization,1419000,1835000,2042000,2249000,2433000,2279000,2145000,2020000,2769000,2727000,2234000
15,EBITDA,2071000,-524000,-5888000,-11266000,-13545000,-15589000,-17433000,-19360000,-13244000,-20378000,-24132000
16,EBITDA ratio,0.1390,-0.0307,-0.3349,-0.7764,-1.2171,-2.3836,-5.1562,-11.0819,-17.5883,-19.5942,-25.9484
17,Operating Income,-3183000,-3126000,-8721000,-15256000,-17921000,-21089000,-21947000,-19989000,-21166000,-24814000,-30953000
18,Operating Income ratio,-0.2136,-0.1831,-0.4961,-1.0513,-1.6103,-3.2246,-6.4913,-11.4419,-28.1089,-23.8596,-33.2828
19,Total Other Income Expenses (Gains),3828000,678000,-159000,726000,708000,1533000,1120000,-793000,2075000,-1360000,521000
20,Income Before Tax,645000,-2448000,-8880000,-14530000,-17213000,-19556000,-20827000,-20782000,-19091000,-26174000,-30432000
21,Income Before Tax Ratio,0.0433,-0.1434,-0.5051,-1.0013,-1.5467,-2.9902,-6.1600,-11.8958,-25.3533,-25.1673,-32.7226
22,Income Tax expense (Gain),- -,74000,- -,- -,- -,36000,11000,30000,24000,32000,13000
23,Net Income,645000,-2522000,-8880000,-14530000,-17213000,-19592000,-20838000,-20758000,-18112000,-23374000,-27793000
24,Net Income ratio,0.0433,-0.1477,-0.5051,-1.0013,-1.5467,-2.9957,-6.1633,-11.8821,-24.0531,-22.4750,-29.8849
25,EPS,0.04,-0.14,-0.45,-0.58,-0.68,-0.77,-0.81,-0.81,-0.70,-0.83,-0.99
26,EPS Diluted,0.03,-0.14,-0.45,-0.58,-0.68,-0.77,-0.81,-0.81,-0.70,-0.83,-0.99
27,Weighted Average Shares Outstanding,17505136,18421568,19728889,25051724,25313235,25444156,25725926,25753411,25754297,28158779,28158779
28,Weighted Average Shares Outstanding Diluted,18731118,18421568,19728889,25051724,25313235,25444156,25725926,25753411,25754297,28158779,28158779
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1574565/000117891315001382/zk1516637.htm,https://www.sec.gov/Archives/edgar/data/1574565/000117891316005166/zk1618375.htm,https://www.sec.gov/Archives/edgar/data/1574565/000117891317001247/zk1719865.htm,https://www.sec.gov/Archives/edgar/data/1574565/000117891318001042/0001178913-18-001042-index.html,https://www.sec.gov/Archives/edgar/data/1574565/000117891319001243/zk1922913.htm,https://www.sec.gov/Archives/edgar/data/1574565/000117891320001229/zk2024279.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,24262000,95454000,5213000,10221000,3236000,3435000,5810000,34748000,46229000,32325000
32,Short-Term Investments,- -,30868000,31452000,110086000,90410000,84875000,68320000,48657000,12128000,2000000,21541000
33,Cash and Short-Term Investments,- -,55130000,126906000,115299000,100631000,88111000,71755000,54467000,46876000,48229000,53866000
34,Net Receivables,- -,1542000,1913000,1665000,3013000,538000,295000,464000,430000,2032000,2932000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92000
36,Other Current Assets,- -,650000,733000,1407000,732000,841000,741000,557000,1721000,1562000,- -
37,Total Current Assets,- -,57322000,129552000,118371000,104376000,89490000,72791000,55488000,49027000,51823000,56890000
38,PP&E,- -,7401000,7215000,8812000,8197000,6483000,4792000,3187000,5255000,3944000,4182000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,89000,45000,- -,- -,- -,- -,- -,17074000,16139000,- -
41,Intangible Assets,- -,89000,45000,- -,- -,- -,- -,- -,17074000,16139000,15207000
42,Investments,- -,- -,471000,382000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,43000,28000,21000,22000,13000,19000,19000,8000,9000,25000
45,Total Non-Current Assets,- -,7533000,7759000,9215000,8219000,6496000,4811000,3206000,22337000,20092000,19414000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,64855000,137311000,127586000,112595000,95986000,77602000,58694000,71364000,71915000,76304000
48,Accounts Payable,- -,1416000,2014000,1984000,1771000,1330000,1110000,1015000,1001000,863000,1463000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,895000,777000,974000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,4944000,1572000,1511000,560000,967000,516000,412000,386000,119000,264000
52,Other Current Liabilities,- -,3139000,4988000,4424000,3308000,2928000,3038000,4004000,3447000,7917000,4181000
53,Total Current Liabilities,- -,9499000,8574000,7919000,5639000,5225000,4664000,5431000,5729000,9676000,6882000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1695000
55,Deferred Revenue,- -,7086000,963000,453000,298000,138000,89000,28000,9000,3694000,4307000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,11000,3027000,3132000,2906000,3334000,3471000,2929000,5409000,1663000,- -
58,Total Non-Current Liabilities,- -,7097000,3990000,3585000,3204000,3472000,3560000,2957000,5418000,5357000,6002000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,2971000,2440000,2669000
61,Total Liabilities,- -,16596000,12564000,11504000,8843000,8697000,8224000,8388000,11147000,15033000,12884000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,102000,137000,140000,140000,141000,142000,142000,142000,200000,234000
64,Retained Earnings,- -,-35981000,-44859000,-59389000,-76602000,-96194000,-117032000,-137790000,-155902000,-179276000,-207069000
65,Other Comprehensive Income/Loss,- -,-5599000,1156000,-222000,-12233000,-14458000,-16603000,-18623000,-20948000,-20513000,- -
66,Other Total Stockholders Equity,- -,89737000,168313000,175553000,192447000,197800000,202871000,206324000,226852000,245634000,260866000
67,Total Stockholders Equity,- -,48259000,124747000,116082000,103752000,87289000,69378000,50053000,50144000,46045000,54031000
68,Total Liabilities And Stockholders Equity,- -,64855000,137311000,127586000,112595000,95986000,77602000,58441000,61291000,61078000,66915000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,253000,10073000,10837000,9389000
70,Total Liabilities & Equity,- -,64855000,137311000,127586000,112595000,95986000,77602000,58694000,71364000,71915000,76304000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1574565/000117891315001382/zk1516637.htm,https://www.sec.gov/Archives/edgar/data/1574565/000117891316005166/zk1618375.htm,https://www.sec.gov/Archives/edgar/data/1574565/000117891317001247/zk1719865.htm,https://www.sec.gov/Archives/edgar/data/1574565/000117891318001042/0001178913-18-001042-index.html,https://www.sec.gov/Archives/edgar/data/1574565/000117891319001243/zk1922913.htm,https://www.sec.gov/Archives/edgar/data/1574565/000117891320001229/zk2024279.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,645000,-2522000,-8880000,-14530000,-17213000,-19592000,-20838000,-20758000,-18112000,-23374000,-27793000
74,Depreciation and Amortization,1419000,1835000,2042000,2249000,2433000,2279000,2145000,2020000,2769000,2727000,2234000
75,Deferred Income Tax,- -,74000,- -,- -,- -,36000,11000,30000,24000,32000,13000
76,Stock Based Compensation,2129000,1173000,2730000,3230000,4365000,2943000,2244000,1731000,1578000,4097000,2609000
77,Change in Working Capital,692000,-2532000,-2362000,-928000,-3836000,1936000,-196000,-161000,-997000,-1449000,1656000
78,Accounts Receivable,1341000,-742000,-345000,730000,-1492000,2506000,37000,-28000,88000,-150000,-59000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-92000
80,Accounts Payable,423000,231000,292000,-267000,-68000,-215000,-86000,-114000,-122000,-29000,625000
81,Other Working Capital,-907000,-3331000,-3183000,-561000,-1058000,-76000,-498000,-165000,-68000,-339000,128000
82,Other Non-Cash Items,-2752000,84000,1200000,1084000,1844000,705000,705000,1977000,-2928000,-1547000,-3558000
83,Cash Provided by Operating Activities,2133000,-1888000,-5270000,-8895000,-12407000,-11693000,-15929000,-15161000,-17666000,-19514000,-24839000
84,CAPEX,-3759000,-2963000,-1613000,-3564000,-2005000,-808000,-590000,-374000,-900000,-682000,-724000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-37542000,-11935000,-19444000,-110661000,-31168000,-24561000,-11659000,-45912000,-1637000,- -,-24114000
87,Sales/Maturities of Investments,10710000,33349000,18157000,31195000,49607000,29392000,27494000,63639000,39676000,10097000,4395000
88,Other Investing Activites,9000,34000,- -,-1000000,953000,5000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-30582000,18485000,-2900000,-84030000,17387000,4028000,15245000,17353000,37139000,9415000,-20443000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-597000,-639000,-580000
91,Common Stock Issued,9582000,- -,77014000,- -,- -,- -,- -,- -,10000000,18658000,29582000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15994000,1111000,2394000,2666000,45000,655000,814000,297000,-97000,2355000,1274000
95,Cash Used/Provided by Financing Activities,25576000,1111000,79408000,2666000,45000,655000,814000,297000,9306000,20374000,30276000
96,Effect of Forex Changes on Cash,-782000,89000,-46000,18000,-17000,25000,69000,-114000,159000,1206000,1102000
97,Net Change In Cash,-3655000,17797000,71192000,-90241000,5008000,-6985000,199000,2375000,28938000,11481000,-13904000
98,Cash at the End of Period,6465000,24262000,95454000,5213000,10221000,3236000,3435000,5810000,34748000,46229000,32325000
99,Cash at the Beginning of Period,10120000,6465000,24262000,95454000,5213000,10221000,3236000,3435000,5810000,34748000,46229000
100,Free Cash Flow,-1626000,-4851000,-6883000,-12459000,-14412000,-12501000,-16519000,-15535000,-18566000,-20196000,-25563000
