,https://roic.ai/company/AA,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,12573000000,13147000000,11199000000,9318000000,11652000000,13403000000,10433000000,9286000000,12152000000
2,COGS,11040000000,10548000000,9039000000,7898000000,9072000000,10081000000,8537000000,7969000000,9153000000
3,Gross Profit,1533000000,2599000000,2160000000,1420000000,2580000000,3322000000,1896000000,1317000000,2999000000
4,Gross Profit Ratio,0.1219,0.1977,0.1929,0.1524,0.2214,0.2479,0.1817,0.1418,0.2468
5,Research and Development Exp.,86000000,95000000,69000000,33000000,32000000,31000000,27000000,27000000,31000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,227000000
9,Other Expenses,1432000000,1452000000,1133000000,1200000000,1052000000,1095000000,1137000000,862000000,664000000
10,Operating Expenses,1518000000,1547000000,1202000000,1233000000,1084000000,1126000000,1164000000,889000000,922000000
11,COGS and Expenses,12558000000,12095000000,10241000000,9131000000,10156000000,11207000000,9701000000,8858000000,10075000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),305000000,309000000,270000000,243000000,104000000,122000000,121000000,146000000,195000000
14,Depreciation and Amortization,1026000000,954000000,780000000,718000000,752000000,733000000,713000000,653000000,664000000
15,EBITDA,-1455000000,1291000000,589000000,745000000,1673000000,1808000000,124000000,816000000,1917000000
16,EBITDA ratio,-0.1157,0.0982,0.0526,0.0800,0.1436,0.1349,0.0119,0.0879,0.1578
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-2762000000,-1115000000,-1295000000,-349000000,-337000000,-599000000,-1170000000,-255000000,-878000000
20,Income Before Tax,-2747000000,-63000000,-337000000,-162000000,1159000000,1597000000,-438000000,173000000,1199000000
21,Income Before Tax Ratio,-0.2185,-0.0048,-0.0301,-0.0174,0.0995,0.1192,-0.0420,0.0186,0.0987
22,Income Tax expense (Gain),123000000,284000000,402000000,184000000,600000000,726000000,415000000,187000000,629000000
23,Net Income,-2909000000,-256000000,-863000000,-400000000,217000000,227000000,-1125000000,-170000000,429000000
24,Net Income ratio,-0.2314,-0.0195,-0.0771,-0.0429,0.0186,0.0169,-0.1078,-0.0183,0.0353
25,EPS,-16.01,-1.40,-3.30,-2.19,1.18,1.22,-6.07,-0.91,2.31
26,EPS Diluted,-16.01,-1.40,-3.30,-2.19,1.16,1.20,-6.07,-0.91,2.31
27,Weighted Average Shares Outstanding,181700000,182400000,181700000,182538152,184420404,186230908,185489491,185875964,185875964
28,Weighted Average Shares Outstanding Diluted,181700000,182400000,181700000,182538152,186981665,188534139,185489491,185875964,185875964
