,https://roic.ai/company/MEDP,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,359059000,421582000,436152000,704589000,860969000,925925000,1142377000
2,COGS,- -,202665000,249471000,261463000,489059000,615272000,647199000,814222000
3,Gross Profit,- -,156394000,172111000,174689000,215530000,245697000,278726000,328155000
4,Gross Profit Ratio,- -,0.4356,0.4083,0.4005,0.3059,0.2854,0.3010,0.2873
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,61507000,63357000,75681000,95245000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,61507000,63357000,75681000,95245000,- -,108421000
9,Other Expenses,- -,126519000,58114000,46474000,38801000,23189000,111684000,21119000
10,Operating Expenses,- -,126519000,119621000,109831000,114482000,118434000,111684000,129540000
11,COGS and Expenses,- -,329184000,369092000,371294000,603541000,733706000,758883000,943762000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,27259000,19384000,7559000,8157000,1568000,- -,- -
14,Depreciation and Amortization,- -,69521000,58114000,46474000,38801000,23189000,19528000,21119000
15,EBITDA,- -,88950000,99455000,110978000,140909000,149589000,188060000,222971000
16,EBITDA ratio,- -,0.2477,0.2359,0.2544,0.2000,0.1737,0.2031,0.1952
17,Operating Income,- -,20562000,52490000,64858000,101048000,127263000,167042000,198615000
18,Operating Income ratio,- -,0.0573,0.1245,0.1487,0.1434,0.1478,0.1804,0.1739
19,Total Other Income Expenses (Gains),- -,-28392000,-30533000,-7913000,-7097000,-2431000,1490000,3237000
20,Income Before Tax,- -,-7830000,21957000,56945000,93951000,124832000,168532000,201852000
21,Income Before Tax Ratio,- -,-0.0218,0.0521,0.1306,0.1333,0.1450,0.1820,0.1767
22,Income Tax expense (Gain),- -,843000,8532000,17823000,20766000,24389000,23148000,20004000
23,Net Income,- -,-8673000,13425000,39122000,73185000,100443000,145384000,181848000
24,Net Income ratio,- -,-0.0242,0.0318,0.0897,0.1039,0.1167,0.1570,0.1592
25,EPS,- -,-0.11,0.38,1.00,2.05,2.79,4.07,5.08
26,EPS Diluted,- -,-0.11,0.37,0.98,1.97,2.67,3.84,4.85
27,Weighted Average Shares Outstanding,- -,38346000,35690000,39056000,35547000,35881000,35635000,35816000
28,Weighted Average Shares Outstanding Diluted,- -,38346000,36329000,39839000,36912000,37576000,37708000,37519000
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1668397/000156459017002839/0001564590-17-002839-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000156459018003500/0001564590-18-003500-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000156459019004451/0001564590-19-004451-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000156459020006385/0001564590-20-006385-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000156459021006072/0001564590-21-006072-index.htm,https://www.sec.gov/Archives/edgar/data/1668397/000095017022001280/0000950170-22-001280-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,54285000,14880000,37099000,26485000,23275000,131920000,277766000,461304000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
