,https://roic.ai/company/RDWR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4900000,14141000,38400000,43300000,43700000,54800000,68400000,77600000,81400000,88600000,94600000,108900000,144100000,167000000,189200000,193000000,221900000,216566000,196585000,211369000,234404000,252072000,250027000,286496000
2,COGS,800000,1434000,6100000,7700000,7900000,9900000,12200000,14900000,15800000,19000000,21600000,23300000,29200000,33400000,35700000,36700000,39700000,38200000,35695000,39616000,41675000,45174000,45084000,52446000
3,Gross Profit,4100000,12707000,32300000,35600000,35800000,44900000,56200000,62700000,65600000,69600000,73000000,85600000,114900000,133600000,153500000,156300000,182200000,178366000,160890000,171753000,192729000,206898000,204943000,234050000
4,Gross Profit Ratio,0.8367,0.8986,0.8411,0.8222,0.8192,0.8193,0.8216,0.8080,0.8059,0.7856,0.7717,0.7860,0.7974,0.8000,0.8113,0.8098,0.8211,0.8236,0.8184,0.8126,0.8222,0.8208,0.8197,0.8169
5,Research and Development Exp.,700000,1633000,5500000,8300000,7800000,8400000,10300000,13000000,17700000,23500000,28400000,25700000,31700000,36100000,36200000,41000000,44100000,49987000,51732000,59003000,57674000,61841000,66836000,74098000
6,General and Administrative Exp.,- -,- -,27700000,34500000,34200000,33900000,36400000,45200000,56300000,65100000,75700000,64600000,74800000,77500000,86300000,97700000,113000000,110380000,121907000,126321000,127531000,128140000,18924000,21885000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113015000,119842000
8,"Selling, General and Administrative Exp.",4500000,10815000,27749000,34529000,34238000,33873000,36391000,45246000,56306000,65091000,75657000,67060000,74799000,79172000,86342000,97710000,113000000,110380000,121907000,126321000,127531000,128140000,131939000,141727000
9,Other Expenses,100000,835000,-35000,-7000,9000,-2000,42000,17000,-41000,15000,-43000,-26000,-40000,-36000,-13000,-17000,-19000,0,- -,-6900000,-0,- -,- -,- -
10,Operating Expenses,5300000,13283000,33214000,42822000,42047000,42271000,46733000,58263000,73965000,88606000,104014000,92734000,106459000,115236000,122529000,138693000,157081000,160367000,173639000,178424000,185205000,189981000,198775000,215825000
11,COGS and Expenses,6100000,14717000,39300000,50500000,50000000,52100000,58900000,73200000,89800000,107600000,125600000,116000000,135700000,148600000,158200000,175400000,196800000,198567000,209334000,218040000,226880000,235155000,243859000,268271000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143000,2057000,- -,2476000,2223000,2053000,2580000,4760000,5536000,7583000,10655000,9616000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,100000,835000,1242000,1753000,1809000,1821000,1747000,1504000,3434000,1571000,6073000,9794000,9052000,10299000,9867000,8086000,8102000,9401000,10372000,11232000,9782000,11283000,10559000,10196000
15,EBITDA,-1200000,1115000,7742000,-5447000,-291000,8221000,15847000,11004000,2534000,-10029000,-21327000,4793000,19552000,32899000,45667000,30186000,39002000,33267000,3364000,6142000,23884000,36992000,24523000,32828000
16,EBITDA ratio,-0.2449,0.0788,0.2016,-0.1258,-0.0067,0.1500,0.2317,0.1418,0.0311,-0.1132,-0.2254,0.0440,0.1357,0.1970,0.2414,0.1564,0.1758,0.1536,0.0171,0.0291,0.1019,0.1468,0.0981,0.1146
17,Operating Income,-1200000,-576000,-984000,-7204000,-6330000,2655000,9522000,4425000,-8346000,-19003000,-31007000,-7105000,8456000,18427000,30923000,17569000,25079000,17999000,-12749000,-6671000,7524000,16917000,6168000,18225000
18,Operating Income ratio,-0.2449,-0.0407,-0.0256,-0.1664,-0.1449,0.0484,0.1392,0.0570,-0.1025,-0.2145,-0.3278,-0.0652,0.0587,0.1103,0.1634,0.0910,0.1130,0.0831,-0.0649,-0.0316,0.0321,0.0671,0.0247,0.0636
19,Total Other Income Expenses (Gains),- -,- -,7484000,6304000,4230000,3745000,4578000,5175000,7446000,7403000,3607000,2005000,2044000,4173000,4777000,4531000,5821000,5867000,5741000,4830000,7274000,8792000,7796000,4407000
20,Income Before Tax,- -,- -,6500000,-900000,-2100000,6400000,14100000,9600000,-900000,-11600000,-27400000,-5100000,10500000,22600000,35700000,22100000,30900000,23866000,-7008000,-1841000,14798000,25709000,13964000,22632000
21,Income Before Tax Ratio,- -,- -,0.1693,-0.0208,-0.0481,0.1168,0.2061,0.1237,-0.0111,-0.1309,-0.2896,-0.0468,0.0729,0.1353,0.1887,0.1145,0.1393,0.1102,-0.0356,-0.0087,0.0631,0.1020,0.0558,0.0790
22,Income Tax expense (Gain),- -,- -,400000,400000,- -,- -,300000,200000,400000,400000,3600000,800000,900000,1300000,4000000,4000000,5900000,5297000,1651000,2403000,2367000,3143000,4328000,14821000
23,Net Income,-1300000,280000,6100000,-7600000,-2100000,6400000,13800000,9300000,-1300000,-12000000,-31000000,-5900000,9600000,21300000,31800000,18100000,25000000,18569000,-8659000,-7493000,11735000,22566000,9636000,7811000
24,Net Income ratio,-0.2653,0.0198,0.1589,-0.1755,-0.0481,0.1168,0.2018,0.1198,-0.0160,-0.1354,-0.3277,-0.0542,0.0666,0.1275,0.1681,0.0938,0.1127,0.0857,-0.0440,-0.0354,0.0501,0.0895,0.0385,0.0273
25,EPS,-0.08,0.01,0.19,-0.23,-0.07,0.18,0.39,0.25,-0.04,-0.31,-0.80,-0.15,0.24,0.51,0.72,0.40,0.55,0.40,-0.20,-0.17,0.26,0.48,0.21,0.17
26,EPS Diluted,-0.08,0.01,0.17,-0.23,-0.07,0.17,0.35,0.23,-0.04,-0.31,-0.80,-0.15,0.22,0.47,0.68,0.39,0.53,0.40,-0.20,-0.17,0.25,0.47,0.20,0.17
27,Weighted Average Shares Outstanding,16250000,22349278,31748344,32845942,32507692,34351351,35792208,37376000,36571429,38745161,38879552,37758460,39115090,41905732,43709278,44760197,45308554,45895321,43868221,43475844,45289296,46816899,46460974,46460974
28,Weighted Average Shares Outstanding Diluted,16250000,24944636,35204010,32845942,32507692,37382353,39371429,39761702,36571429,38745161,38879552,37758460,43467276,45776128,46588894,46716929,46894615,46738604,43868221,43475844,47691868,48523120,47739540,46460974
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094366/000112528203002709/0001125282-03-002709-index.html,https://www.sec.gov/Archives/edgar/data/1094366/000112528204001050/0001125282-04-001050-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094366/000117891309000672/0001178913-09-000672-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1094366/000117891312000829/0001178913-12-000829-index.html,https://www.sec.gov/Archives/edgar/data/1094366/000117891313000919/0001178913-13-000919-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1094366/000117891318000982/0001178913-18-000982-index.html,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,4500000,300000,16100000,31800000,8800000,56300000,25300000,61400000,28100000,19800000,15300000,17400000,20000000,20100000,45000000,33744000,79639000,65237000,45203000,40751000,54771000,92513000
32,Short-Term Investments,- -,- -,126300000,125300000,36200000,31100000,100200000,70600000,115100000,90700000,60700000,39200000,75600000,99100000,68200000,114800000,59400000,96925000,146447000,135724000,271196000,137200000,255722000,195376000
33,Cash and Short-Term Investments,- -,- -,130800000,125600000,52300000,62900000,109000000,126900000,140400000,152100000,88800000,59000000,90900000,116500000,88200000,134900000,104400000,130669000,226086000,200961000,316399000,177951000,310493000,287889000
34,Net Receivables,- -,- -,10900000,9000000,9800000,10800000,14500000,16100000,19400000,20400000,15400000,19500000,16500000,12600000,18400000,24900000,25600000,26410000,19407000,16150000,17166000,22610000,16848000,20732000
35,Inventory,- -,- -,4200000,4800000,3000000,3000000,4100000,5300000,6900000,5400000,6700000,9800000,9700000,12100000,12500000,14200000,16800000,16322000,17114000,18772000,18401000,13940000,13935000,11580000
36,Other Current Assets,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,100000,3500000,3200000,4000000,6300000,5000000,5042000,4159000,14574000,7071000,7469000,6526000,- -
37,Total Current Assets,- -,- -,145900000,139500000,65100000,76700000,127600000,148300000,166700000,177900000,110900000,88400000,120600000,144400000,123100000,180300000,151800000,178443000,266766000,250457000,359037000,221970000,347802000,320201000
38,PP&E,- -,- -,2800000,4000000,3600000,3500000,4500000,6000000,9300000,12200000,11700000,11200000,11800000,11100000,13600000,17500000,20600000,26203000,26354000,23642000,23677000,41115000,50799000,45069000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,6500000,9500000,13500000,13500000,24500000,24500000,24500000,24500000,30100000,30100000,30069000,30069000,32174000,32174000,41144000,41144000,41144000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,600000,2800000,2400000,4800000,1900000,14800000,12000000,8200000,5100000,5100000,4800000,3518000,2399000,10415000,9467000,14481000,12588000,10731000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,600000,9300000,11900000,18300000,15400000,39300000,36500000,32700000,29600000,35200000,34900000,33587000,32468000,42589000,41641000,55625000,53732000,51875000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69535000,91206000,105691000,186739000,150874000,226273000,184457000,94059000,143338000,84669000,249791000,138257000,177932000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1400000,1000000,74300000,77900000,50500000,40700000,27800000,7700000,47500000,465000,494000,1309000,4661000,4826000,9027000,8197000,10689000,11384000,23697000,26698000,32675000,39788000
45,Total Non-Current Assets,- -,- -,4200000,5000000,77900000,81400000,55600000,56000000,49000000,38200000,74600000,120500000,140000000,150800000,234600000,208400000,290800000,252444000,163570000,220953000,173684000,373229000,275463000,314664000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,150100000,144500000,143000000,158100000,183200000,204300000,215700000,216100000,185500000,208900000,260600000,295200000,357700000,388700000,442600000,430887000,430336000,471410000,532721000,595199000,623265000,634865000
