,https://roic.ai/company/TROO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,217300745,313135771,166701000,200974000,43230000,1921000,5069000,51000,1580000,5525000,4293000
2,COGS,- -,- -,- -,184601757,279398945,154221000,185045000,41213000,1826000,4867000,1343000,2635000,4119000,5359000
3,Gross Profit,- -,- -,- -,32698988,33736826,12480000,15929000,2017000,95000,202000,-1292000,-1055000,1406000,-1066000
4,Gross Profit Ratio,- -,- -,- -,0.1505,0.1077,0.0749,0.0793,0.0467,0.0495,0.0399,-25.3333,-0.6677,0.2545,-0.2483
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,267387,- -,6443314,5778875,5322000,3802000,3069000,1498000,4115000,3312000,2391000,4350000,2617000
7,Selling and Marketing Exp.,- -,- -,- -,700148,1705737,670000,1073000,297000,131000,55000,257000,- -,- -,- -
8,"Selling, General and Administrative Exp.",21737,267387,- -,7143462,7484612,5992000,4875000,3366000,1629000,4170000,3569000,2391000,4350000,2617000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157000,-780000,2019000
10,Operating Expenses,21737,267387,- -,7143462,7484612,5992000,4875000,3366000,1629000,4170000,3569000,2548000,3570000,4636000
11,COGS and Expenses,21737,267387,- -,191745219,286883557,160213000,189920000,44579000,3455000,9037000,4912000,5183000,7689000,9995000
12,Interest Income ,- -,- -,- -,89900,288415,8000,12000,338000,220000,121000,134000,- -,1000,- -
13,Interest Expense (Gain),- -,- -,- -,1021066,2074034,61000,260000,304000,57000,15000,13000,198000,218000,1020000
14,Depreciation and Amortization,- -,- -,- -,1611372,1460162,69000,76000,19000,3000,1264000,2716000,2383000,3516000,4799000
15,EBITDA,-21737,-267387,- -,26077737,28804551,6510000,11331000,-654000,-2358000,-4083000,-9164000,-10102000,-20308000,-62408000
16,EBITDA ratio,-Infinity,-Infinity,- -,0.1200,0.0920,0.0391,0.0564,-0.0151,-1.2275,-0.8055,-179.6863,-6.3937,-3.6757,-14.5372
17,Operating Income,-21737,-267387,- -,25555526,26252214,6488000,11054000,-1349000,-1534000,-3968000,-11866000,-14318000,-41673000,-67342000
18,Operating Income ratio,-Infinity,-Infinity,- -,0.1176,0.0838,0.0389,0.0550,-0.0312,-0.7985,-0.7828,-232.6667,-9.0620,-7.5426,-15.6865
19,Total Other Income Expenses (Gains),- -,- -,- -,-2110227,-981859,-108000,-59000,372000,-884000,-1394000,-27000,456000,-19000,-890000
20,Income Before Tax,- -,- -,- -,23445299,25270355,6380000,10995000,-977000,-2418000,-5362000,-11893000,-13862000,-41692000,-68232000
21,Income Before Tax Ratio,- -,- -,- -,0.1079,0.0807,0.0383,0.0547,-0.0226,-1.2587,-1.0578,-233.1961,-8.7734,-7.5461,-15.8938
22,Income Tax expense (Gain),- -,- -,- -,3513710,8651298,2167000,2551000,1311000,- -,-315000,-679000,-311000,-4640000,-309000
23,Net Income,-21737,236505,- -,19931589,16619057,4213000,8444000,-2288000,-2418000,-5047000,-11214000,-12372000,-19402000,-67918000
24,Net Income ratio,-Infinity,Infinity,- -,0.0917,0.0531,0.0253,0.0420,-0.0529,-1.2587,-0.9957,-219.8824,-7.8304,-3.5117,-15.8206
25,EPS,-0.06,0.28,- -,8.52,4.12,1.00,1.96,-0.52,-0.55,-0.68,-0.99,-0.35,-0.24,-0.69
26,EPS Diluted,-0.06,0.20,- -,7.44,4.08,1.00,1.96,-0.52,-0.55,-0.68,-0.99,-0.35,-0.24,-0.69
27,Weighted Average Shares Outstanding,287500,875850,- -,2338546,4021649,4264893,4298297,4351517,4400298,7422208,11341629,35080704,79197068,98110873
28,Weighted Average Shares Outstanding Diluted,287500,1303334,- -,2676489,4072060,4264893,4298297,4351517,4400298,7422208,11341629,35080704,79197068,98110873
29,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,101671,100312,30271,23493805,534501,11548000,13497000,92000,345000,29000,4262000,14342000,5161000,3028000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
