,https://roic.ai/company/SUN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,2683792000,3820378000,4277341000,4492579000,5382016000,16935347000,15698000000,11723000000,16994000000,16596000000,10710000000,17596000000
2,COGS,2652464000,3777355000,4232870000,4430302000,5233045000,15678202000,13798000000,10784000000,16054000000,15563000000,9843000000,16423000000
3,Gross Profit,31328000,43023000,44471000,62277000,148971000,1257145000,1900000000,939000000,940000000,1033000000,867000000,1173000000
4,Gross Profit Ratio,0.0117,0.0113,0.0104,0.0139,0.0277,0.0742,0.1210,0.0801,0.0553,0.0622,0.0810,0.0667
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,12277000,14881000,15540000,17828000,37621000,259638000,409000000,221000000,213000000,197000000,173000000,168000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12277000,14881000,15540000,17828000,37621000,259638000,409000000,221000000,213000000,197000000,173000000,168000000
9,Other Expenses,4229000,10960000,5178000,3187000,34252000,677207000,1059000000,375000000,363000000,304000000,275000000,270000000
10,Operating Expenses,16506000,25841000,20718000,21015000,71873000,936845000,1468000000,596000000,576000000,501000000,448000000,438000000
11,COGS and Expenses,2668970000,3803196000,4253588000,4451317000,5304918000,16615047000,15266000000,11380000000,16630000000,16064000000,10291000000,16861000000
12,Interest Income ,48000,88000,233000,266000,- -,2764000,10000000,1000000,3000000,2000000,2000000,- -
13,Interest Expense (Gain),332000,412000,940000,3356000,14329000,86824000,188000000,195000000,141000000,168000000,170000000,156000000
14,Depreciation and Amortization,4771000,6090000,7031000,8687000,26955000,201019000,319000000,169000000,182000000,183000000,189000000,177000000
15,EBITDA,19555000,23139000,30574000,48630000,95675000,464735000,70000000,207000000,150000000,647000000,595000000,809000000
16,EBITDA ratio,0.0073,0.0061,0.0071,0.0108,0.0178,0.0274,0.0045,0.0177,0.0088,0.0390,0.0556,0.0460
17,Operating Income,14736000,16961000,23412000,40938000,74467000,318250000,-248000000,229000000,345000000,464000000,417000000,749000000
18,Operating Income ratio,0.0055,0.0044,0.0055,0.0091,0.0138,0.0188,-0.0158,0.0195,0.0203,0.0280,0.0389,0.0426
19,Total Other Income Expenses (Gains),-284000,-324000,-809000,-3471000,-14329000,-87575000,-189000000,-209000000,-253000000,-168000000,-181000000,-195000000
20,Income Before Tax,14452000,16637000,22603000,37467000,60138000,230675000,-437000000,20000000,92000000,296000000,236000000,554000000
