,https://roic.ai/company/FZMD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,25000000,19680000,16190000,15680000,11670000,10250000,4310000,- -,10000,- -,30000,- -,- -,10000,1000,156817,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,941086,1676609,567607,26407206,26342038,22900277,21398936,20414268
2,COGS,20130000,15580000,12800000,12290000,8730000,8660000,3340000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,485384,664266,204044,14582416,13352558,11762790,8694713,8546199
3,Gross Profit,4870000,4100000,3390000,3390000,2940000,1590000,970000,- -,- -,- -,- -,- -,- -,- -,- -,156817,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,455702,1012343,363563,11824790,12989480,11137487,12704223,11868069
4,Gross Profit Ratio,0.1948,0.2083,0.2094,0.2162,0.2519,0.1551,0.2251,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4842,0.6038,0.6405,0.4478,0.4931,0.4863,0.5937,0.5814
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,4260000,3590000,3460000,3010000,3050000,2950000,1690000,310000,80000,90000,80000,60000,80000,140000,513000,355050,195206,- -,- -,- -,- -,- -,- -,121195,167262,123159,101613,109284,1469864,1804371,854050,10997597,8466128,8466077,6541659,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6431967,5982075,- -,- -
8,"Selling, General and Administrative Exp.",4260000,3590000,3460000,3010000,3050000,2950000,1690000,310000,80000,90000,80000,60000,80000,140000,513000,355050,195206,- -,- -,- -,- -,- -,- -,121195,167262,123159,101613,109284,1469864,1804371,854050,10997597,14898095,14448152,6541659,7013297
9,Other Expenses,970000,740000,650000,490000,380000,1020000,50000,-70000,- -,- -,- -,- -,- -,60000,134000,1560,518,168087,385250,156050,182626,153591,139087,- -,- -,- -,- -,- -,- -,- -,- -,14521,49685,107073,7190478,7117916
10,Operating Expenses,5230000,4330000,4110000,3500000,3430000,3970000,1740000,240000,80000,90000,80000,60000,80000,200000,647000,356610,195724,168087,385250,156050,182626,153591,139087,121195,167262,123159,101613,109284,1469864,1804371,854050,11012118,14947780,14555225,13732137,14131213
11,COGS and Expenses,25360000,19910000,16910000,15790000,12160000,12630000,5080000,240000,80000,90000,80000,60000,80000,200000,647000,356610,195724,168087,385250,156050,182626,153591,139087,121195,167262,123159,101613,109284,1955248,2468637,1058094,25594534,28300338,26318015,22426850,22677412
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40913,25514,- -,- -,94571,112747,57307,10831,9800,897,30,- -,1177,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,70000,70000,110000,110000,100000,100000,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,571,71612,7112,129385,161669,133944,121633,94953,78230
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,134000,1560,518,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13280,25073,14167,14521,49685,107073,104143,67638
15,EBITDA,-350000,-220000,-720000,-50000,-500000,-2390000,-590000,-40000,70000,140000,160000,150000,130000,50000,-369000,-203287,-195206,-168087,-385250,-156050,-182626,-153591,-139087,-121195,-167262,-123159,-101613,-109284,-1320153,-769362,-442383,875868,3754399,-2306704,-1214406,-1424300
16,EBITDA ratio,-0.0140,-0.0112,-0.0445,-0.0032,-0.0428,-0.2332,-0.1369,-Infinity,7.0000,Infinity,5.3333,Infinity,Infinity,5.0000,-369.0000,-1.2963,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.4028,-0.4589,-0.7794,0.0332,0.1425,-0.1007,-0.0568,-0.0698
17,Operating Income,-350000,-220000,-720000,-110000,-500000,-2390000,-770000,-240000,-70000,-90000,-50000,-60000,-80000,-200000,-646000,-199793,-195724,-168087,-385250,-156050,-182626,-153591,-139087,-121195,-167262,-123159,-101613,-109284,-1334610,-792028,-492067,818039,-1958300,-4349941,-1027914,-2195506
18,Operating Income ratio,-0.0140,-0.0112,-0.0445,-0.0070,-0.0428,-0.2332,-0.1787,-Infinity,-7.0000,-Infinity,-1.6667,-Infinity,-Infinity,-20.0000,-646.0000,-1.2741,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.4182,-0.4724,-0.8669,0.0310,-0.0743,-0.1900,-0.0480,-0.1075
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,180000,130000,10000,120000,100000,110000,110000,90000,6000,-5054,-30629,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70435,-9519,-93868,-118361,5529070,1814531,-385588,625338
20,Income Before Tax,-350000,-220000,-720000,-110000,-500000,-2390000,-590000,-110000,- -,30000,50000,50000,30000,-110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1405045,-801547,-585935,699678,3570770,-2535410,-1413502,-1570168
21,Income Before Tax Ratio,-0.0140,-0.0112,-0.0445,-0.0070,-0.0428,-0.2332,-0.1369,-Infinity,- -,Infinity,1.6667,Infinity,Infinity,-11.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.4930,-0.4781,-1.0323,0.0265,0.1356,-0.1107,-0.0661,-0.0769
22,Income Tax expense (Gain),90000,120000,10000,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-386784,781085,18993,17723
23,Net Income,-440000,-340000,-730000,-100000,-500000,-2390000,-590000,-110000,- -,30000,50000,50000,30000,-110000,-503000,-204847,-185440,-142573,-366128,-104114,-88055,-40844,-81780,-110364,-157462,-122262,-101583,-109855,-1405045,-801547,-585935,699678,3957554,-3316495,-1432495,-1587891
24,Net Income ratio,-0.0176,-0.0173,-0.0451,-0.0064,-0.0428,-0.2332,-0.1369,-Infinity,- -,Infinity,1.6667,Infinity,Infinity,-11.0000,-503.0000,-1.3063,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.4930,-0.4781,-1.0323,0.0265,0.1502,-0.1448,-0.0669,-0.0778
25,EPS,-3.14,-2.43,-5.21,-0.71,-3.57,-17.07,-4.21,-0.79,0.02,0.23,0.38,0.38,0.23,-0.79,-2.63,-0.88,-0.73,-0.58,-1.61,-0.44,-0.44,-0.15,-0.29,-0.44,-0.73,-0.44,-0.44,-0.44,-0.37,-0.13,-0.08,0.04,0.06,-0.05,-0.02,-0.02
